ACCOM_CODE,SCORE,ACCOM_REV_POS,ACCOM_REV_NEG
AC1000,3.56,13,2
AC1001,2.54,1,2
AC1002,3.13,3,0
AC1003,3.33,13,2
AC1004,3.33,12,3
AC1005,3.62,12,0
AC1006,3.64,14,1
AC1007,3.36,12,3
AC1008,3.52,13,2
AC1009,3.56,12,2
AC1010,2.64,3,0
AC1011,2.25,0,3
AC1012,3.9,15,0
AC1013,3.84,12,0
AC1014,3.11,6,3
AC1015,2.79,10,5
AC1016,3.23,10,5
AC1017,3.46,11,2
AC1018,3.82,11,0
AC1019,3.23,4,2
AC1020,3.46,3,0
AC1021,3.3,13,2
AC1022,3.54,6,0
AC1023,3.9,15,0
AC1024,2.69,9,6
AC1025,2.69,3,3
AC1026,3.26,13,2
AC1027,3.87,15,0
AC1028,2.49,8,7
AC1029,3.39,13,2
AC1030,3.59,42,18
AC1031,3.15,74,46
AC1032,3.75,44,16
AC1033,4.39,53,7
AC1034,4.05,47,9
AC1035,3.49,42,18
AC1036,4.1,48,9
AC1037,3.74,43,17
AC1038,3.64,43,16
AC1039,3.87,44,13
AC1040,3.56,9,0
AC1041,4.25,24,0
AC1042,2.69,3,2
AC1043,4.69,57,3
AC1044,4.72,55,3
AC1045,4.3,52,8
AC1046,4.05,47,13
AC1047,3.61,15,0
AC1048,4.75,58,2
AC1049,3.66,19,5
AC1050,3.38,14,5
AC1051,3.44,15,3
AC1052,1.18,0,12
AC1053,4.34,30,0
AC1054,4.15,33,3
AC1055,4.25,42,3
AC1056,3.59,12,0
AC1057,2.64,3,0
AC1058,3.95,12,0
AC1059,3.31,16,7
AC1060,4.92,58,0
AC1061,3.92,16,1
AC1062,2.61,18,18
AC1063,3.3,6,0
AC1064,3.07,2,0
AC1065,4.61,56,3
AC1066,3.21,15,6
AC1067,4.46,55,3
AC1068,3.95,9,0
AC1069,4.39,52,8
AC1070,2.77,6,3
AC1071,4.0,15,0
AC1072,3.98,48,12
AC1073,3.57,21,8
AC1074,4.52,46,3
AC1075,4.26,38,4
AC1076,2.77,7,3
AC1077,3.26,18,6
AC1078,4.44,51,7
AC1079,3.49,21,9
AC1080,2.95,6,3
AC1081,3.85,27,3
AC1082,2.89,24,20
AC1083,2.44,3,3
AC1084,2.95,26,17
AC1085,3.26,18,9
AC1086,3.52,15,3
AC1087,2.95,6,3
AC1088,4.11,21,0
AC1089,3.95,9,0
AC1090,4.44,51,0
AC1091,3.92,24,0
AC1092,3.34,37,21
AC1093,2.82,24,18
AC1094,2.25,0,3
AC1095,1.0,3,42
AC1096,3.57,42,16
AC1097,3.89,46,14
AC1098,3.79,9,0
AC1099,4.69,56,4
AC1100,3.52,43,17
AC1101,4.38,54,5
AC1102,4.05,47,12
AC1103,3.57,43,17
AC1104,2.85,31,24
AC1105,3.36,40,19
AC1106,3.56,9,0
AC1107,2.98,10,5
AC1108,2.16,4,10
AC1109,3.38,15,0
AC1110,3.25,10,4
AC1111,3.16,16,8
AC1112,3.25,15,0
AC1113,3.28,8,4
AC1114,3.44,10,5
AC1115,2.72,9,6
AC1116,3.2,11,4
AC1117,3.28,12,2
AC1118,2.54,6,7
AC1119,2.79,9,6
AC1120,3.13,10,5
AC1121,4.07,15,0
AC1122,2.95,10,5
AC1123,2.69,2,2
AC1124,2.74,5,5
AC1125,3.79,6,0
AC1126,1.66,4,11
AC1127,1.62,3,9
AC1128,2.3,5,7
AC1129,3.75,10,1
AC1130,2.3,6,9
AC1131,3.62,3,0
AC1132,2.9,8,4
AC1133,3.44,5,0
AC1134,2.82,6,6
AC1135,3.77,15,0
AC1136,3.03,11,4
AC1137,2.33,6,6
AC1138,2.77,6,5
AC1139,2.66,6,7
AC1140,2.62,5,3
AC1141,3.41,14,1
AC1142,1.46,0,4
AC1143,2.08,0,6
AC1144,3.51,14,1
AC1145,2.82,6,6
AC1146,3.62,3,0
AC1147,3.62,3,0
AC1148,2.67,2,1
AC1149,3.3,9,0
AC1150,3.79,9,0
AC1151,3.59,12,0
AC1152,3.26,11,4
AC1153,3.25,12,2
AC1154,2.05,1,2
AC1155,3.57,15,0
AC1156,2.49,6,9
AC1157,3.95,14,0
AC1158,3.13,3,0
AC1159,3.07,7,2
AC1160,3.49,13,2
AC1161,3.62,3,0
