ATTR_CODE,SCORE,ATTR_REV_POS,ATTR_REV_NEG
AT1000,4.71,29,1
AT1001,4.73,30,0
AT1002,4.82,10,0
AT1003,2.98,6,4
AT1004,3.37,7,3
AT1005,3.94,27,3
AT1006,4.39,29,1
AT1007,3.37,6,3
AT1008,4.71,10,0
AT1009,4.25,9,1
AT1010,4.82,10,0
AT1011,4.61,9,1
AT1012,4.59,10,0
AT1013,4.2,27,3
AT1014,4.78,30,0
AT1015,4.71,10,0
AT1016,4.59,10,0
AT1017,3.73,25,5
AT1018,4.31,9,1
AT1019,4.53,10,0
AT1020,4.2,9,1
AT1021,4.31,9,1
AT1022,3.37,7,3
AT1023,4.08,9,1
AT1024,4.24,8,2
AT1025,4.2,28,2
AT1026,4.73,30,0
AT1027,4.41,29,1
AT1028,4.47,10,0
AT1029,4.88,30,0
AT1030,4.53,30,0
AT1031,3.53,24,6
AT1032,4.8,30,0
AT1033,4.41,29,1
AT1034,4.22,28,2
AT1035,3.9,26,4
AT1036,4.51,30,0
AT1037,3.84,27,3
AT1038,4.14,9,1
AT1039,3.69,25,5
AT1040,4.63,28,2
AT1041,4.9,30,0
AT1042,4.2,1,0
AT1043,3.35,2,1
AT1044,4.59,29,1
AT1045,3.16,6,4
AT1046,4.59,30,0
AT1047,4.43,30,0
AT1048,4.43,9,1
AT1049,4.53,10,0
AT1050,4.63,29,1
AT1051,4.53,10,0
AT1052,4.27,28,2
AT1053,4.43,9,1
AT1054,3.96,28,2
AT1055,4.35,6,0
AT1056,4.18,26,4
AT1057,4.65,10,0
AT1058,4.47,10,0
AT1059,4.61,7,0
AT1060,4.04,27,3
AT1061,3.9,9,1
AT1062,4.16,28,2
AT1063,3.82,8,2
AT1064,4.25,5,0
AT1065,4.51,30,0
AT1066,3.94,26,4
AT1067,3.84,26,4
AT1068,4.71,30,0
AT1069,3.96,27,3
AT1070,4.9,30,0
AT1071,4.57,30,0
AT1072,4.55,29,1
AT1073,4.78,30,0
AT1074,4.2,27,3
AT1075,4.25,29,1
AT1076,3.57,25,5
AT1077,4.88,30,0
AT1078,4.71,30,0
AT1079,3.24,22,8
AT1080,4.39,28,2
AT1081,4.33,29,1
AT1082,4.31,30,0
AT1083,4.45,29,1
AT1084,4.67,30,0
AT1085,4.78,30,0
AT1086,4.2,29,1
AT1087,4.78,30,0
AT1088,4.73,30,0
AT1089,4.14,9,1
AT1090,3.71,24,6
AT1091,3.39,24,6
