CNT_NAME,REG_CODE,REG_NAME,CNT_CODE
일본,JP001,도쿄,JP
일본,JP002,오사카,JP
일본,JP003,교토,JP
일본,JP004,삿포로,JP
중국,CN001,상하이,CN
중국,CN002,베이징,CN
중국,CN003,광저우,CN
중국,CN004,항저우,CN
베트남,VN001,호치민시티,VN
베트남,VN002,하노이,VN
베트남,VN003,다낭,VN
태국,TH001,방콕,TH
태국,TH002,푸켓,TH
태국,TH003,치앙마이,TH
태국,TH004,파타야,TH
필리핀,PH001,보라카이,PH
필리핀,PH002,마닐라,PH
필리핀,PH003,세부,PH
필리핀,PH004,마카티,PH
홍콩,HK001,홍콩,HK
대만,TW001,타이페이,TW
대만,TW002,가오슝,TW
대만,TW003,화롄,TW
대만,TW004,타이난,TW
마카오,MO001,마카오,MO
싱가포르,SG001,싱가포르,SG
말레이시아,MY001,쿠알라룸푸르,MY
말레이시아,MY002,코타키나발루,MY
말레이시아,MY003,랑카위,MY
말레이시아,MY004,멜라카,MY
인도네시아,ID001,발리,ID
인도네시아,ID002,반둥,ID
인도네시아,ID003,자카르타,ID
캄보디아,KH001,시엠립,KH
캄보디아,KH002,프놈펜,KH
캄보디아,KH003,시하누크빌,KH
캄보디아,KH004,캄폿,KH
터키,TR001,이스탄불,TR
터키,TR002,괴레메,TR
인도,IN001,뭄바이,IN
인도,IN002,뉴델리,IN
인도,IN003,아그라,IN
인도,IN004,자이푸르,IN
몽골,MN001,울란바토르,MN
미얀마,MM001,양곤,MM
미얀마,MM002,만달레이,MM
미얀마,MM003,바간,MM
스페인,ES001,바르셀로나,ES
스페인,ES002,마드리드,ES
스페인,ES003,세비야,ES
스페인,ES004,발렌시아,ES
독일,DE001,베를린,DE
독일,DE002,뮌헨,DE
독일,DE003,프랑크푸르트,DE
독일,DE004,함부르크,DE
영국,GB001,런던,GB
영국,GB002,에든버러,GB
영국,GB003,맨체스터,GB
영국,GB004,케임브리지,GB
미국,US001,뉴욕,US
미국,US002,샌프란시스코,US
미국,US003,로스엔젤레스,US
미국,US004,라스베이거스,US
캐나다,CA001,토론토,CA
캐나다,CA002,밴쿠버,CA
캐나다,CA003,몬트리올,CA
멕시코,MX001,멕시코시티,MX
멕시코,MX002,칸쿤,MX
멕시코,MX003,툴룸,MX
멕시코,MX004,프라야 델 카르멘,MX
오스트레일리아,AU001,시드니,AU
오스트레일리아,AU002,멜버른,AU
오스트레일리아,AU003,브리즈번,AU
오스트레일리아,AU004,케언스,AU
뉴질랜드,NZ001,오클랜드 중심가,NZ
뉴질랜드,NZ002,퀸즈타운,NZ
뉴질랜드,NZ003,크라이스트처치,NZ
뉴질랜드,NZ004,웰링턴,NZ
