ATTR_CODE,REG_CODE,ATTR_NAME
AT1000,NZ003,크라이스트처치 식물원
AT1001,NZ003,해글리 공원
AT1002,NZ003,Quake City
AT1003,NZ003,Christchurch Tramway
AT1004,NZ003,International Antarctic Centre
AT1005,NZ003,Christchurch Cathedral
AT1006,NZ003,캔터베리 박물관
AT1007,NZ003,Robert Falcon Scott Statue
AT1008,NZ003,Margaret Mahy Family Playground
AT1009,NZ003,Mona Vale
AT1010,NZ003,Hassle Free Tours
AT1011,NZ003,Botanic Gardens Tour
AT1012,NZ003,Victoria Park
AT1013,NZ004,웰링턴 케이블 카
AT1014,NZ004,뉴질랜드 박물관 (테파파)
AT1015,NZ004,빅토리아 산
AT1016,NZ004,웰링턴 식물원
AT1017,NZ004,쿠바 스트리트 지구
AT1018,NZ004,Oriental Bay
AT1019,NZ004,국회 의사당
AT1020,NZ004,Wellington Waterfront
AT1021,NZ004,웰링턴 시티 & 해양 박물관
AT1022,NZ004,웰링턴 동물원
AT1023,NZ004,인터아일랜더 쿡 스트레이트 페리
AT1024,NZ004,Wellington Chocolate Factory
AT1025,TW002,The Pier-2 Art Centre
AT1026,TW002,포광산
AT1027,TW002,Kaohsiung Main Public Library
AT1028,TW002,Kaohsiung Museum of Fine Arts
AT1029,TW002,Fo Guang Shan Buddha Museum
AT1030,TW002,Dragon Tiger Tower
AT1031,TW002,Tuntex 85 Sky Tower
AT1032,TW002,Cijin Island
AT1033,TW002,Xiziwan
AT1034,TW002,Formosa Boulevard Station
AT1035,TW002,Central Park Kaohsiung
AT1036,TW002,Kaohsiung (Cihou) Lighthouse
AT1037,TW002,The Dome of Light
AT1038,TW002,Chengcing Lake
AT1039,TW003,Chishingtan Scenic Area
AT1040,TW003,Taroko National Park
AT1041,TW003,Taroko Gorge
AT1042,TW003,Hualien Tourist Fish Harbor
AT1043,TW003,Hualien Harbor Scenic Bridge
AT1044,TW003,Yanzihkou Trail (Swallow Grotto)
AT1045,TW003,Dongdamen Night Market
AT1046,TW003,Farglory Ocean Park
AT1047,TW003,Yuli Antong Hot Spring
AT1048,TW003,Su-Hua Highway
AT1049,TW003,Zhuilu Old Trail
AT1050,TW003,Shakadang Trail
AT1051,TW003,Qingshui Cliff
AT1052,TW004,Chihkan Tower (Fort Provintia)
AT1053,TW004,Guanziling Hot Spring
AT1054,TW004,Confucius Temple
AT1055,TW004,Ji Dian Wu Miao
AT1056,TW004,Chimei Museum
AT1057,TW004,National Cheng Kung University
AT1058,TW004,National Museum of Taiwan History
AT1059,TW004,Tainan Art Museum
AT1060,TW004,Anping Fort (Anping gubao)
AT1061,TW004,Tainan Station
AT1062,TW004,안평수옥
AT1063,TW004,National Museum of Taiwan Literature
AT1064,TW004,National Anping Harbor Historic Park
AT1065,TW004,Hayashi Department Store
AT1066,DE001,브란덴부르크 문 (브란덴부르크 토어)
AT1067,DE001,이스트 사이드 갤러리
AT1068,DE001,Berliner Dom
AT1069,DE001,Berlin Central Station
AT1070,DE001,Tiergarten
AT1071,DE001,테러의 토포그래피 박물관
AT1072,DE001,도이쳐 분데슈타크
AT1073,DE001,홀로코스트 기념관 (유대인 학살 추모 공원)
AT1074,DE001,Museum Island
AT1075,DE001,베를린 장벽 기념관
AT1076,DE001,Berliner Fernsehturm
AT1077,DE001,Berliner Philharmonie
AT1078,DE001,젠다르멘 광장
AT1079,DE001,페르가몬 박물관
AT1080,DE001,Mitte
AT1081,DE002,마리엔 광장
AT1082,DE002,New Town Hall (Neus Rathaus)
AT1083,DE002,BMW 박물관
AT1084,DE002,Allianz Arena
AT1085,DE002,Nymphenburg Palace
AT1086,DE002,Olympic Tower
AT1087,DE002,잉글리쉬 가든
AT1088,DE002,Residenz
AT1089,DE002,FC Bayern Museum
AT1090,DE002,Viktualienmarkt
AT1091,DE002,Munich Central Station
AT1092,DE002,St. Peter's Church
AT1093,DE002,Rathaus-Glockenspiel
AT1094,DE002,Theresienwiese
AT1095,DE003,Romer
AT1096,DE003,Cathedral of St. Bartholomew (Dom St. Bartholomaus)
AT1097,DE003,Main Tower
AT1098,DE003,Frankfurt am Main Hauptbahnhof
AT1099,DE003,Roemerberg
AT1100,DE003,Stadel Museum
AT1101,DE003,Messe Frankfurt
AT1102,DE003,Deutsche Bank Park
AT1103,DE003,Iron Bridge
AT1104,DE003,The Hauptwache
AT1105,DE003,Mainkai
AT1106,DE003,Commerzbank
AT1107,DE003,Opera Frankfurt
AT1108,DE003,Eschenheimer Turm
AT1109,DE003,Frankfurt Christmas Market
AT1110,RU001,붉은 광장
AT1111,RU001,모스크바 크렘린
AT1112,RU001,Moscow Metro
AT1113,RU001,성 바실리 성당
AT1114,RU001,Sparrow Hills (Vorobyovy Gory)
AT1115,RU001,Lomonosov Moscow State University (MGU)
AT1116,RU001,Moscow-City
AT1117,RU001,Bolshoi Theatre
AT1118,RU001,High-Speed Train Sapsan
AT1119,RU001,Old Arbat (Stary Arbat)
AT1120,RU001,GUM 백화점
AT1121,RU001,Kremlin Walls and Towers
AT1122,RU001,Moscow Cathedral Mosque
AT1123,RU001,Ostankino TV Tower
AT1124,RU001,Cathedral of Christ the Saviour
AT1125,RU002,피의 사원
AT1126,RU002,네프스키 프로스펙트
AT1127,RU002,Palace Bridge
AT1128,RU002,The State Museum St. Isaac’s Cathedral
AT1129,RU002,Admiralteyskaya Station
AT1130,RU002,Gazprom Arena
AT1131,RU002,University Embankment
AT1132,RU002,The Building Of The Admiralty
AT1133,RU002,Moscow Railway Station
AT1134,RU002,Monument to A. D. Sakharov
AT1135,RU002,Catherine Palace and Park
AT1136,RU002,Smolny Cathedral
AT1137,RU002,Nicholas Naval Cathedral of The Epiphany
AT1138,RU003,Eagle's Nest Mount
AT1139,RU003,Memorial to the Fighters for the Soviet Power in the Far East
AT1140,RU003,Golden Bridge
AT1141,RU003,Russky Bridge
AT1142,RU003,Monument to Sailors
AT1143,RU003,Railroad Terminal
AT1144,RU003,Railway Station
AT1145,RU003,Svetlanskaya Street
