ATTR_CODE,REG_CODE,ATTR_NAME
AT1000,NZ001,오클랜드 도메인
AT1001,NZ001,이든 산
AT1002,NZ001,비아덕트 하버
AT1003,NZ001,퀸 스트리트
AT1004,NZ001,원 트리 힐
AT1005,NZ001,오클랜드 하버 브리지
AT1006,NZ001,스카이 타워
AT1007,NZ001,Tamaki Makaurau Auckland isite
AT1008,NZ001,알버트 파크
AT1009,NZ001,North Head Historic Reserve
AT1010,NZ001,오클랜드 박물관
AT1011,NZ001,폰손비
AT1012,NZ001,랑기토토 섬
AT1013,NZ001,켈리 탈튼의 남극 체험관 & 언더워터 월드
AT1014,NZ001,Tiritiri Matangi Island
AT1015,NZ002,퀸즈타운 스카이 라인 - 곤돌라 & 루지
AT1016,NZ002,Queenstown Hill
AT1017,NZ002,Queenstown Gardens
AT1018,NZ002,Lake Wakatipu
AT1019,NZ002,Tahuna Queenstown isite Visitor Information Centre
AT1020,NZ002,Queenstown Mall
AT1021,NZ002,Frankton Therapeutic Massage Queenstown
AT1022,NZ002,RealNZ
AT1023,NZ002,AJ Hackett Bungy New Zealand
AT1024,NZ003,크라이스트처치 식물원
AT1025,NZ003,해글리 공원
AT1026,NZ003,Quake City
AT1027,NZ003,Christchurch Tramway
AT1028,NZ003,International Antarctic Centre
AT1029,NZ003,Christchurch Cathedral
AT1030,NZ003,캔터베리 박물관
AT1031,NZ003,Robert Falcon Scott Statue
AT1032,NZ003,Margaret Mahy Family Playground
AT1033,NZ003,Mona Vale
AT1034,NZ003,Hassle Free Tours
AT1035,NZ003,Botanic Gardens Tour
AT1036,NZ003,Victoria Park
AT1037,NZ004,웰링턴 케이블 카
AT1038,NZ004,뉴질랜드 박물관 (테파파)
AT1039,NZ004,빅토리아 산
AT1040,NZ004,웰링턴 식물원
AT1041,NZ004,쿠바 스트리트 지구
AT1042,NZ004,Oriental Bay
AT1043,NZ004,국회 의사당
AT1044,NZ004,Wellington Waterfront
AT1045,NZ004,웰링턴 시티 & 해양 박물관
AT1046,NZ004,웰링턴 동물원
AT1047,NZ004,인터아일랜더 쿡 스트레이트 페리
AT1048,NZ004,Wellington Chocolate Factory
AT1049,TW001,장개석 기념관
AT1050,TW001,Taipei Metro System
AT1051,TW001,Ximending
AT1052,TW001,타이베이 101
AT1053,TW001,Shilin Night Market
AT1054,TW001,용산사
AT1055,TW001,Elephant Mountain (aka Nangang District Hiking Trail)
AT1056,TW001,Maokong Gondola
AT1057,TW001,TAIPEI 101 Observatory
AT1058,TW001,Taoyuan International Airport MRT
AT1059,TW001,대만 국립 고궁 박물관
AT1060,TW001,Taiwan High Speed Rail
AT1061,TW001,타이페이 아이
AT1062,TW001,Beitou Hot Spring
AT1063,TW001,양민산 국립 공원
AT1064,TW002,The Pier-2 Art Centre
AT1065,TW002,포광산
AT1066,TW002,Kaohsiung Main Public Library
AT1067,TW002,Kaohsiung Museum of Fine Arts
AT1068,TW002,Fo Guang Shan Buddha Museum
AT1069,TW002,Dragon Tiger Tower
AT1070,TW002,Tuntex 85 Sky Tower
AT1071,TW002,Cijin Island
AT1072,TW002,Xiziwan
AT1073,TW002,Formosa Boulevard Station
AT1074,TW002,Central Park Kaohsiung
AT1075,TW002,Kaohsiung (Cihou) Lighthouse
AT1076,TW002,The Dome of Light
AT1077,TW002,Chengcing Lake
AT1078,TW003,Chishingtan Scenic Area
AT1079,TW003,Taroko National Park
AT1080,TW003,Taroko Gorge
AT1081,TW003,Hualien Tourist Fish Harbor
AT1082,TW003,Hualien Harbor Scenic Bridge
AT1083,TW003,Yanzihkou Trail (Swallow Grotto)
AT1084,TW003,Dongdamen Night Market
AT1085,TW003,Farglory Ocean Park
AT1086,TW003,Yuli Antong Hot Spring
AT1087,TW003,Su-Hua Highway
AT1088,TW003,Zhuilu Old Trail
AT1089,TW003,Shakadang Trail
AT1090,TW003,Qingshui Cliff
AT1091,TW004,Chihkan Tower (Fort Provintia)
AT1092,TW004,Guanziling Hot Spring
AT1093,TW004,Confucius Temple
AT1094,TW004,Ji Dian Wu Miao
AT1095,TW004,Chimei Museum
AT1096,TW004,National Cheng Kung University
AT1097,TW004,National Museum of Taiwan History
AT1098,TW004,Tainan Art Museum
AT1099,TW004,Anping Fort (Anping gubao)
AT1100,TW004,Tainan Station
AT1101,TW004,안평수옥
AT1102,TW004,National Museum of Taiwan Literature
AT1103,TW004,National Anping Harbor Historic Park
AT1104,TW004,Hayashi Department Store
AT1105,DE001,브란덴부르크 문 (브란덴부르크 토어)
AT1106,DE001,이스트 사이드 갤러리
AT1107,DE001,Berliner Dom
AT1108,DE001,Berlin Central Station
AT1109,DE001,Tiergarten
AT1110,DE001,테러의 토포그래피 박물관
AT1111,DE001,도이쳐 분데슈타크
AT1112,DE001,홀로코스트 기념관 (유대인 학살 추모 공원)
AT1113,DE001,Museum Island
AT1114,DE001,베를린 장벽 기념관
AT1115,DE001,Berliner Fernsehturm
AT1116,DE001,Berliner Philharmonie
AT1117,DE001,젠다르멘 광장
AT1118,DE001,페르가몬 박물관
AT1119,DE001,Mitte
AT1120,DE002,마리엔 광장
AT1121,DE002,New Town Hall (Neus Rathaus)
AT1122,DE002,BMW 박물관
AT1123,DE002,Allianz Arena
AT1124,DE002,Nymphenburg Palace
AT1125,DE002,Olympic Tower
AT1126,DE002,잉글리쉬 가든
AT1127,DE002,Residenz
AT1128,DE002,FC Bayern Museum
AT1129,DE002,Viktualienmarkt
AT1130,DE002,Munich Central Station
AT1131,DE002,St. Peter's Church
