year,일본,중국,베트남,태국,필리핀,홍콩,대만,마카오,싱가포르,말레이시아,인도네시아,캄보디아,터키,인도,몽골,미얀마,스페인,독일,영국,슬로베니아,러시아,미국,캐나다,멕시코,오스트레일리아,사이판,괌,뉴질랜드
2014,2755313,4181800,832969,1116493,1175472,1251047,527684,554521,536975,385769,328122,328122,248654,106870,45476,58472,224455,254332,209952,61702,135676,1473365,183770,75090,202820,142081,356286,55488
2015,4002095,4444400,1152349,1372989,1339678,1243293,658757,554144,577082,421161,353729,353729,222580,102993,47213,63715,269570,296900,337039,92021,153189,1775456,204741,95454,226780,182622,427900,64992
2016,5090302,4762163,1543883,1464218,1475081,1392367,884397,662263,566509,444439,343887,343887,106904,111076,57587,64397,312432,318330,316637,112920,161267,1982516,254759,92193,280100,228156,544957,82384
2017,7140438,3854869,2415245,1717867,1607821,1487670,1054380,874253,631363,484528,423191,423191,120622,142383,74921,65829,446069,367172,352012,148014,253764,2334839,301476,106718,302210,334767,685228,91168
2018,7538952,4191790,3435406,1796615,1624251,1421411,1019122,812842,629454,616783,358885,358885,159354,150536,84184,72852,486867,357962,305014,136706,360618,2210597,253236,122307,287990,240577,746986,87853
2019,5584597,4346567,4290802,1890959,1989322,1042540,1242598,743026,645848,673065,388316,388316,207372,149445,101279,111794,630797,342305,301130,139429,431082,2298279,266767,120424,280480,123058,753357,88431
2020,487939,647638,840041,260228,338877,39922,178911,44433,89522,119750,75562,75562,36636,32302,5060,19363,121931,61675,56143,10525,34451,439286,33861,35305,53520,8,124181,26383
2021,18947,185225,32500,12077,6456,626,3300,22,7126,3028,9497,9497,15206,13330,2312,1080,37692,28773,5604,2052,9853,202711,15880,31311,2060,6783,8002,476
2022,1012751,992989,769167,538766,428014,8348,51748,1749,217529,146384,121273,121273,99869,71462,53382,6854,180610,123185,30043,14372,52822,919796,78326,61609,72510,74613,193407,14343
2023,4324376,5165529,2274213,1059851,950219,176267,411791,88946,332855,170576,219777,219777,99009,371746,36050,35655,939533,117518,156284,36605,274779,1021537,79762,50200,137850,115263,239572,28819
