CNT_NAME,REG_NAME,ACCOM_NAME,ACCOM_REV_POS,ACCOM_REV_NEG,score
뉴질랜드,오클랜드,LyLo Auckland,1,0,4.29
뉴질랜드,오클랜드,Imagine Beach Road,1,0,4.29
뉴질랜드,오클랜드,더 애틱 백패커스 (The Attic Backpackers ),2,0,4.32
뉴질랜드,오클랜드,SkyCity Hotel,20,4,4.21
뉴질랜드,오클랜드,아바니 오클랜드 메트로폴리스 레지던스 (Avani Auckland Metropolis Residences),29,5,4.26
뉴질랜드,오클랜드,프레지던트 호텔 오클랜드 (President Hotel Auckland),23,14,3.53
뉴질랜드,오클랜드,오클랜드 시티 호텔 (Auckland City Hotel),27,4,4.31
뉴질랜드,오클랜드,와이엠씨에이 호스텔 (YMCA Hostel),33,11,3.92
뉴질랜드,오클랜드,크라운 플라자 오클랜드 (Crowne Plaza Auckland),7,0,4.44
뉴질랜드,오클랜드,키위 인터내셔널 호텔 (Kiwi International Hotel),21,18,3.25
뉴질랜드,퀸스타운,멜번 로지 (Melbourne Lodge),24,3,4.36
뉴질랜드,퀸스타운,홀리데이 인 익스프레스 앤 스위트 퀸스타운 (Holiday Inn Express And Suites Queenstown),13,2,4.29
뉴질랜드,퀸스타운,YHA 퀸스타운 레이크프론트 (YHA Queenstown Lakefront),8,1,4.31
뉴질랜드,퀸스타운,노마드 퀸스타운 호텔 (Nomads Queenstown Hotel),25,18,3.36
뉴질랜드,퀸스타운,미-패드 스마트 호텔 (mi-pad Smart Hotel),4,1,4.21
뉴질랜드,퀸스타운,코로네이션 로지 (Coronation Lodge),6,0,4.42
뉴질랜드,퀸스타운,알렉시스 모텔 앤 아파트먼트 (Alexis Motels and Apartments),8,0,4.46
뉴질랜드,퀸스타운,스위스-벨스위트 포우나무 퀸스타운 (Swiss-BelSuites Pounamu Queenstown),15,7,3.83
뉴질랜드,퀸스타운,윈덤 가든 퀸스타운 (Wyndham Garden Queenstown),2,0,4.32
뉴질랜드,크라이스트처치,호텔 기브 (Hotel Give),36,8,4.15
뉴질랜드,크라이스트처치,브레이크프리 온 캐셀 크라이스트처치 (BreakFree on Cashel Christchurch),9,9,3.45
뉴질랜드,크라이스트처치,크라이스트처치 시티 호텔 (Christchurch City Hotel),4,0,4.37
뉴질랜드,크라이스트처치,센터 포인트 온 콜롬보 모텔 (CentrePoint on Colombo Motel),7,0,4.44
뉴질랜드,크라이스트처치,이비스 크라이스트처치 (ibis Christchurch),8,2,4.17
뉴질랜드,크라이스트처치,어반즈 어코모데이션 크라이스트처치 (Urbanz Accommodation Christchurch),8,0,4.46
뉴질랜드,크라이스트처치,수디마 크라이스트처치 공항 (Sudima Christchurch Airport),35,4,4.41
뉴질랜드,크라이스트처치,"샤토 온 더 파크 - 크라이스트처치, 어 더블 트리 바이 힐튼 (Chateau on the Park - Christchurch, a DoubleTree by Hilton)",2,1,4.14
뉴질랜드,크라이스트처치,노보텔 크라이스트처치 에어포트 (Novotel Christchurch Airport),6,1,4.26
뉴질랜드,웰링턴,오크스 웰링턴 호텔 (Oaks Wellington Hotel),6,0,4.42
뉴질랜드,웰링턴,Rydges Wellington Airport,2,0,4.32
뉴질랜드,웰링턴,길머 아파트먼트 호텔 (Gilmer Apartment Hotel),1,1,4.11
뉴질랜드,웰링턴,브렌트우드 호텔 (Brentwood Hotel),1,0,4.29
뉴질랜드,웰링턴,Microtel by Wyndham Wellington,52,4,4.54
뉴질랜드,웰링턴,인터컨티넨탈 웰링턴 (InterContinental Wellington),1,0,4.29
뉴질랜드,웰링턴,호텔 워털루 앤 백패커 (Hotel Waterloo & Backpackers),6,3,3.98
뉴질랜드,웰링턴,이비스 웰링턴 (ibis Wellington),5,0,4.4
뉴질랜드,웰링턴,트래블로지 호텔  웰링톤 (Travelodge Hotel Wellington),1,1,4.11
뉴질랜드,웰링턴,YHA 웰링턴 (YHA Wellington),10,1,4.35
대만,타이베이,시저 메트로 타이베이 (Caesar Metro Taipei),21,7,3.97
대만,타이베이,시저 파크 호텔 반차오 (Caesar Park Hotel Banqiao),17,10,3.64
대만,타이베이,호텔 참 참 - 타이베이 (HOTEL CHAM CHAM - Taipei),21,6,4.05
대만,타이베이,호텔 릴렉스 5 (Hotel Relax 5),18,9,3.74
대만,타이베이,타이페이 인터내셔널 호텔 (Taipei International Hotel),9,5,3.84
대만,타이베이,시티즌M 타이베이 노스 게이트 (citizenM Taipei North Gate),16,9,3.69
대만,타이베이,호텔 미드타운 리차드슨 (Hotel Midtown Richardson),18,9,3.74
대만,타이베이,로더스 플러스 호텔 테마 (Roaders Plus Hotel Theme),24,3,4.36
대만,가오슝,그리트 인 (GREET INN),23,4,4.26
대만,가오슝,Hotel YAM LAGOM,14,0,4.55
대만,가오슝,HOTEL YOSHI KAOHSIUNG,6,1,4.26
대만,가오슝,로얄 리스 호텔 (The Lees Hotel),19,8,3.84
대만,가오슝,더 클라우드 호텔 (The Cloud Hotel),16,9,3.69
대만,가오슝,에어라인 인 - 가오슝 스테이션 (Airline Inn - Kaohsiung Station ),24,2,4.45
대만,가오슝,inns hotel,19,6,4.01
대만,가오슝,호텔 두아 (Hotel Dua),18,5,4.08
