CNT_NAME,REG_NAME,ACCOM_NAME,ACCOM_REV_POS,ACCOM_REV_NEG,SCORE
뉴질랜드,오클랜드 중심가,아바니 오클랜드 메트로폴리스 레지던스 (Avani Auckland Metropolis Residences),13,2,3.56
뉴질랜드,오클랜드 중심가,힐튼 오클랜드 (Hilton Auckland),1,2,2.54
뉴질랜드,오클랜드 중심가,Imagine Beach Road,3,0,3.13
뉴질랜드,오클랜드 중심가,이비스 버짓 오클랜드공항 (ibis Budget Auckland Airport),13,2,3.33
뉴질랜드,오클랜드 중심가,JetPark Hotel Auckland Airport,12,3,3.33
뉴질랜드,오클랜드 중심가,크라운 플라자 오클랜드 (Crowne Plaza Auckland),12,0,3.62
뉴질랜드,오클랜드 중심가,Swiss-Belsuites Victoria Park Auckland,14,1,3.64
뉴질랜드,오클랜드 중심가,나우미 호텔 오클랜드 에어포트 (Naumi Hotel Auckland Airport),12,3,3.36
뉴질랜드,오클랜드 중심가,SkyCity Hotel,13,2,3.52
뉴질랜드,오클랜드 중심가,그랜드 밀레니엄 오클랜드 (Grand Millennium Auckland),12,2,3.56
뉴질랜드,퀸즈타운,Garden Court Guest House,3,0,2.64
뉴질랜드,퀸즈타운,Komani Resorts,0,3,2.25
뉴질랜드,크라이스트처치,수디마 크라이스트처치 공항 (Sudima Christchurch Airport),15,0,3.9
뉴질랜드,크라이스트처치,크라이스트처치 시티 호텔 (Christchurch City Hotel),12,0,3.84
뉴질랜드,크라이스트처치,"샤토 온 더 파크 - 크라이스트처치, 어 더블 트리 바이 힐튼 (Chateau on the Park - Christchurch, a DoubleTree by Hilton)",6,3,3.11
뉴질랜드,크라이스트처치,브레이크프리 온 캐셀 크라이스트처치 (BreakFree on Cashel Christchurch),10,5,2.79
뉴질랜드,크라이스트처치,호텔 기브 (Hotel Give),10,5,3.23
뉴질랜드,크라이스트처치,이비스 크라이스트처치 (ibis Christchurch),11,2,3.46
뉴질랜드,크라이스트처치,센터 포인트 온 콜롬보 모텔 (CentrePoint on Colombo Motel),11,0,3.82
뉴질랜드,크라이스트처치,노보텔 크라이스트처치 에어포트 (Novotel Christchurch Airport),4,2,3.23
뉴질랜드,웰링턴,오크스 웰링턴 호텔 (Oaks Wellington Hotel),3,0,3.46
뉴질랜드,웰링턴,리지스 웰링턴 (Rydges Wellington),13,2,3.3
뉴질랜드,웰링턴,Rydges Wellington Airport,6,0,3.54
뉴질랜드,웰링턴,더 매리언 호스텔 (The Marion Hostel),15,0,3.9
뉴질랜드,웰링턴,이비스 웰링턴 (ibis Wellington),9,6,2.69
뉴질랜드,웰링턴,트래블로지 호텔  웰링톤 (Travelodge Hotel Wellington),3,3,2.69
뉴질랜드,웰링턴,Microtel by Wyndham Wellington,13,2,3.26
뉴질랜드,웰링턴,Naumi Hotel Wellington,15,0,3.87
뉴질랜드,웰링턴,호텔 워털루 앤 백패커 (Hotel Waterloo & Backpackers),8,7,2.49
뉴질랜드,웰링턴,윌리스 웰링턴 호텔 (Willis Wellington Hotel),13,2,3.39
대만,타이페이,타이페이 가든 호텔 (Taipei Garden Hotel),42,18,3.59
대만,타이페이,시저 메트로 타이베이 (Caesar Metro Taipei),74,46,3.15
대만,타이페이,코스모스 호텔 타이베이 메인 스테이션 (Cosmos Hotel Taipei Main Station),44,16,3.75
대만,타이페이,로더스 플러스 호텔 타이베이 스테이션 (Roaders Plus Hotel Taipei Station),53,7,4.39
대만,타이페이,호텔 참 참 - 타이베이 (HOTEL CHAM CHAM - Taipei),47,9,4.05
대만,타이페이,시저 파크 호텔 (Caesar Park Hotel),42,18,3.49
대만,타이페이,미라마 가든 호텔 (Miramar Garden Hotel),48,9,4.1
대만,타이페이,저스트 슬립 호텔 시먼딩 (Just Sleep Hotel Ximending),43,17,3.74
대만,타이페이,마예르 인 (Mayer Inn),43,16,3.64
대만,가오슝,더 클라우드 호텔 (The Cloud Hotel),44,13,3.87
대만,가오슝,Hotel YAM LAGOM,9,0,3.56
대만,가오슝,HOTEL YOSHI KAOHSIUNG,24,0,4.25
대만,가오슝,카인드네스 호텔 치서안 (Kindness Hotel Qixian),3,2,2.69
대만,가오슝,그리트 인 (GREET INN),57,3,4.69
대만,가오슝,에어라인 인 - 가오슝 스테이션 (Airline Inn - Kaohsiung Station ),55,3,4.72
대만,가오슝,inns hotel,52,8,4.3
대만,가오슝,스카이원 호텔 (Skyone Hotel),47,13,4.05
대만,가오슝,CU 호텔 가오슝 (CU Hotel Kaohsiung),15,0,3.61
대만,가오슝,레전드 호텔 피어 2 (Legend Hotel Pier 2),58,2,4.75
대만,화롄,메시 호텔 (Meci Hotel),19,5,3.66
대만,화롄,파크 시티 호텔 - 화롄 베케이션 (Park City Hotel - Hualien Vacation),14,5,3.38
대만,화롄,TC HOTEL HUALIEN ZHONG XIAO,15,3,3.44
대만,화롄,찬타이 호텔 (Chantai Hotel),0,12,1.18
대만,화롄,저스트 슬립 화롄 종정 (Just Sleep Hotel Hualien Zhongzheng),30,0,4.34
대만,화롄,레이크쇼 Hotel 화롄 (Lakeshore Hotel Hualien),33,3,4.15
대만,화롄,코지 하우스 호스텔 (Cozy House Hostel),42,3,4.25
대만,화롄,Lakeshore Hotel Hualien Taroko,12,0,3.59
대만,화롄,스태리 인 (Starry Inn),3,0,2.64
대만,화롄,글렌우드 비앤비 (Glenwood Bed and Breakfast),12,0,3.95
대만,타이난,LakeShore Hotel Tainan,16,7,3.31
대만,타이난,U.I.J Hotel&Hostel (UIJ),58,0,4.92
대만,타이난,더 레트로 타이판 (The Retro Tai-Pan),16,1,3.92
대만,타이난,웨이 얏 그랜드호텔 (Wei-Yat Grand Hotel),18,18,2.61
대만,타이난,Oinn Hotel & Hostel,6,0,3.3
대만,타이난,그랜드 반얀 호텔 (Grand Banyan Hotel),2,0,3.07
대만,타이난,Provintia Hotel,56,3,4.61
대만,타이난,창위 호텔 (CHANGYU HOTEL),15,6,3.21
독일,베를린,오칵 호텔 (Ocak Hotel),55,3,4.46
독일,베를린,인터콘티넨탈 베를린 (InterContinental Berlin),9,0,3.95
독일,베를린,더 서커스 호스텔 (The Circus Hostel),52,8,4.39
