CNT_NAME,REG_NAME,ATTR_NAME,ATTR_REV_POS,ATTR_REV_NEG,SCORE
뉴질랜드,오클랜드 중심가,오클랜드 도메인,28,2,4.62
뉴질랜드,오클랜드 중심가,이든 산,30,0,4.7
뉴질랜드,오클랜드 중심가,비아덕트 하버,29,1,4.62
뉴질랜드,오클랜드 중심가,퀸 스트리트,10,0,4.61
뉴질랜드,오클랜드 중심가,원 트리 힐,28,2,4.62
뉴질랜드,오클랜드 중심가,오클랜드 하버 브리지,8,2,4.37
뉴질랜드,오클랜드 중심가,스카이 타워,30,0,4.62
뉴질랜드,오클랜드 중심가,Tamaki Makaurau Auckland isite,10,0,4.67
뉴질랜드,오클랜드 중심가,알버트 파크,10,0,4.64
뉴질랜드,오클랜드 중심가,North Head Historic Reserve,10,0,4.76
뉴질랜드,오클랜드 중심가,오클랜드 박물관,29,1,4.66
뉴질랜드,오클랜드 중심가,폰손비,10,0,4.64
뉴질랜드,오클랜드 중심가,랑기토토 섬,9,1,4.56
뉴질랜드,오클랜드 중심가,켈리 탈튼의 남극 체험관 & 언더워터 월드,10,0,4.55
뉴질랜드,오클랜드 중심가,Tiritiri Matangi Island,10,0,4.82
뉴질랜드,퀸즈타운,퀸즈타운 스카이 라인 - 곤돌라 & 루지,30,0,4.8
뉴질랜드,퀸즈타운,Queenstown Hill,30,0,4.91
뉴질랜드,퀸즈타운,Queenstown Gardens,30,0,4.84
뉴질랜드,퀸즈타운,Lake Wakatipu,28,2,4.64
뉴질랜드,퀸즈타운,Tahuna Queenstown isite Visitor Information Centre,10,0,4.7
뉴질랜드,퀸즈타운,Queenstown Mall,10,0,4.7
뉴질랜드,퀸즈타운,Frankton Therapeutic Massage Queenstown,10,0,4.85
뉴질랜드,퀸즈타운,RealNZ,9,1,4.68
뉴질랜드,퀸즈타운,AJ Hackett Bungy New Zealand,10,0,4.79
뉴질랜드,크라이스트처치,크라이스트처치 식물원,29,1,4.76
뉴질랜드,크라이스트처치,해글리 공원,30,0,4.77
뉴질랜드,크라이스트처치,Quake City,10,0,4.82
뉴질랜드,크라이스트처치,Christchurch Tramway,6,4,3.88
뉴질랜드,크라이스트처치,International Antarctic Centre,7,3,4.08
뉴질랜드,크라이스트처치,Christchurch Cathedral,27,3,4.37
뉴질랜드,크라이스트처치,캔터베리 박물관,29,1,4.6
뉴질랜드,크라이스트처치,Robert Falcon Scott Statue,6,3,4.08
뉴질랜드,크라이스트처치,Margaret Mahy Family Playground,10,0,4.76
뉴질랜드,크라이스트처치,Mona Vale,9,1,4.53
뉴질랜드,크라이스트처치,Hassle Free Tours,10,0,4.82
