CNT_NAME,REG_NAME,ATTR_NAME,ATTR_REV_POS,ATTR_REV_NEG,score
뉴질랜드,오클랜드,오클랜드 박물관,21,0,4.6
뉴질랜드,오클랜드,오클랜드 도메인,20,1,4.5
뉴질랜드,오클랜드,스카이 타워,21,0,4.6
뉴질랜드,오클랜드,이든 산,20,1,4.5
뉴질랜드,오클랜드,Mount Victoria Reserve,10,0,4.5
뉴질랜드,오클랜드,원 트리 힐,21,0,4.6
뉴질랜드,오클랜드,알버트 파크,10,0,4.5
뉴질랜드,오클랜드,뉴질랜드 위투어,10,0,4.5
뉴질랜드,오클랜드,랑기토토 섬,9,1,4.3
뉴질랜드,오클랜드,비아덕트 하버,19,2,4.4
뉴질랜드,퀸스타운,퀸즈타운 스카이 라인 - 곤돌라 & 루지,21,0,4.6
뉴질랜드,퀸스타운,Queenstown Hill,21,0,4.6
뉴질랜드,퀸스타운,Shotover Jet,9,1,4.3
뉴질랜드,퀸스타운,Glenorchy-Queenstown Road,21,0,4.6
뉴질랜드,퀸스타운,Queenstown Gardens,21,0,4.6
뉴질랜드,퀸스타운,Milford Sound,21,0,4.6
뉴질랜드,퀸스타운,JUCY Cruise Milford Sound,10,0,4.5
뉴질랜드,퀸스타운,Lake Wakatipu,19,2,4.4
뉴질랜드,퀸스타운,Canyon Explorers,10,0,4.5
뉴질랜드,퀸스타운,RealNZ,10,0,4.5
뉴질랜드,크라이스트처치,크라이스트처치 식물원,20,1,4.5
뉴질랜드,크라이스트처치,Christ Church Meadow,10,0,4.5
뉴질랜드,크라이스트처치,해글리 공원,20,1,4.5
뉴질랜드,크라이스트처치,Quake City,10,0,4.5
뉴질랜드,크라이스트처치,Christ Church,19,2,4.4
뉴질랜드,크라이스트처치,International Antarctic Centre,7,3,4.0
뉴질랜드,크라이스트처치,Christchurch Tramway,7,3,4.0
뉴질랜드,크라이스트처치,Christchurch Cathedral,18,3,4.3
뉴질랜드,크라이스트처치,캔터베리 박물관,21,0,4.6
뉴질랜드,크라이스트처치,Robert Falcon Scott Statue,7,2,4.2
뉴질랜드,웰링턴,웰링턴 케이블 카,20,1,4.5
뉴질랜드,웰링턴,빅토리아 산,10,0,4.5
뉴질랜드,웰링턴,뉴질랜드 박물관 (테파파),21,0,4.6
뉴질랜드,웰링턴,웰링턴 식물원,10,0,4.5
뉴질랜드,웰링턴,쿠바 스트리트 지구,17,4,4.2
뉴질랜드,웰링턴,Oriental Bay,9,1,4.3
뉴질랜드,웰링턴,Wellington Waterfront,10,0,4.5
뉴질랜드,웰링턴,웰링턴 시티 & 해양 박물관,10,0,4.5
뉴질랜드,웰링턴,국회 의사당,10,0,4.5
뉴질랜드,웰링턴,Mount Wellington,10,0,4.5
대만,타이베이,Casino at Mandalay Bay,8,2,4.2
대만,타이베이,Koi Kei Bakery,21,0,4.6
대만,타이베이,Tenganan Ancient Village,21,0,4.6
대만,타이베이,Hanalei Beach,10,0,4.5
대만,타이베이,Like It Formosa,10,0,4.5
대만,타이베이,Gunung Raya Golf Resort,6,0,4.4
대만,타이베이,Taiwan Railway Steam locomotive No. LDK58,4,1,4.2
대만,타이베이,타이베이 101,21,0,4.6
대만,타이베이,National Museum of Taiwan History,10,0,4.5
대만,타이베이,Galway Bay,10,0,4.5
대만,가오슝,The Pier-2 Art Centre,19,2,4.4
대만,가오슝,포광산,21,0,4.6
대만,가오슝,Kaohsiung Main Public Library,21,0,4.6
대만,가오슝,Kaohsiung Museum of Fine Arts,9,1,4.3
대만,가오슝,Dragon Tiger Tower,21,0,4.6
대만,가오슝,Fo Guang Shan Buddha Museum,21,0,4.6
대만,가오슝,Tuntex 85 Sky Tower,19,2,4.4
대만,가오슝,Cijin Island,21,0,4.6
대만,가오슝,Xiziwan,21,0,4.6
대만,가오슝,Formosa Boulevard Station,20,1,4.5
대만,화롄,Chishingtan Scenic Area,20,1,4.5
대만,화롄,Taroko National Park,20,1,4.5
대만,화롄,Lotung,4,0,4.4
대만,화롄,Taroko Gorge,21,0,4.6
대만,화롄,Hualien Tourist Fish Harbor,1,0,4.3
대만,화롄,Hualien Harbor Scenic Bridge,3,0,4.4
대만,화롄,Xiouyeliu,10,0,4.5
대만,화롄,Yanzihkou Trail (Swallow Grotto),29,1,4.6
대만,화롄,Farglory Ocean Park,21,0,4.6
대만,타이난,Chihkan Tower (Fort Provintia),19,2,4.4
대만,타이난,Guanziling Hot Spring,10,0,4.5
대만,타이난,Confucius Temple,20,1,4.5
대만,타이난,Ji Dian Wu Miao,6,0,4.4
대만,타이난,Chimei Museum,17,4,4.2
대만,타이난,National Cheng Kung University,10,0,4.5
대만,타이난,National Museum of Taiwan History,10,0,4.5
대만,타이난,Tainan Art Museum,6,1,4.3
대만,타이난,Anping Fort (Anping gubao),18,3,4.3
대만,타이난,Tainan Station,10,0,4.5
독일,베를린, 브란덴부르크 문 (브란덴부르크 토어),19,2,4.4
독일,베를린, 이스트 사이드 갤러리,21,0,4.6
독일,베를린,Berliner Dom,21,0,4.6
독일,베를린,Berlin Central Station,19,2,4.4
독일,베를린,Tiergarten,21,0,4.6
독일,베를린,도이쳐 분데슈타크,21,0,4.6
독일,베를린,테러의 토포그래피 박물관,21,0,4.6
독일,베를린, 홀로코스트 기념관 (유대인 학살 추모 공원),21,0,4.6
독일,베를린,Museum Island,19,2,4.4
독일,베를린, 베를린 장벽 기념관,20,1,4.5
독일,뮌헨,마리엔 광장,21,0,4.6
독일,뮌헨,New Town Hall (Neus Rathaus),21,0,4.6
독일,뮌헨,BMW 박물관,20,1,4.5
독일,뮌헨,Allianz Arena,21,0,4.6
독일,뮌헨,Nymphenburg Palace,20,1,4.5
독일,뮌헨,Olympic Tower,19,2,4.4
독일,뮌헨, 다하우 강제 수용소,21,0,4.6
독일,뮌헨,잉글리쉬 가든,21,0,4.6
독일,뮌헨,Residenz,21,0,4.6
독일,뮌헨,FC Bayern Museum,9,1,4.3
독일,프랑크푸르트,Romer,21,0,4.6
독일,프랑크푸르트,Cathedral of St. Bartholomew (Dom St. Bartholomaus),21,0,4.6
독일,프랑크푸르트,Main Tower,18,3,4.3
독일,프랑크푸르트,Frankfurt am Main Hauptbahnhof,20,1,4.5
독일,프랑크푸르트,Roemerberg,10,0,4.5
독일,프랑크푸르트,Stadel Museum,21,0,4.6
독일,프랑크푸르트,Messe Frankfurt,21,0,4.6
독일,프랑크푸르트,Deutsche Bank Park,10,0,4.5
독일,프랑크푸르트,Iron Bridge,21,0,4.6
독일,프랑크푸르트,The Hauptwache,21,0,4.6
독일,함브루크,USS 보우핀 잠수함 박물관 & 공원,21,0,4.6
독일,함브루크,INS 쿠루수라 잠수함 박물관,21,0,4.6
독일,함브루크,Hakodate Morning Market,19,2,4.4
독일,함브루크,하코다테산,21,0,4.6
독일,함브루크,Deyang Quchujian Exhibition Hall,2,0,4.3
독일,함브루크,Goryokaku Tower,21,0,4.6
독일,함브루크,Goryokaku Park,21,0,4.6
독일,함브루크,Mt.Hakodate Ropeway,21,0,4.6
독일,함브루크,Memorial Ship MIKASA,21,0,4.6
러시아,모스크바, 붉은 광장,21,0,4.6
러시아,모스크바, 모스크바 크렘린,21,0,4.6
러시아,모스크바,Moscow Metro,18,3,4.3
러시아,모스크바, 성 바실리 성당,19,2,4.4
러시아,모스크바,Sparrow Hills (Vorobyovy Gory),10,0,4.5
러시아,모스크바,Lomonosov Moscow State University (MGU),10,0,4.5
러시아,모스크바,Moscow-City,9,1,4.3
러시아,모스크바,Bolshoi Theatre,21,0,4.6
러시아,모스크바,High-Speed Train Sapsan,10,0,4.5
러시아,모스크바,Old Arbat (Stary Arbat),17,4,4.2
러시아,상트페테르부르크,피의 사원,21,0,4.6
러시아,상트페테르부르크, 네프스키 프로스펙트,21,0,4.6
러시아,상트페테르부르크,High-Speed Train Sapsan,10,0,4.5
러시아,상트페테르부르크,Leningradskiy Railway Station,7,3,4.0
러시아,상트페테르부르크,Palace Bridge,10,0,4.5
러시아,상트페테르부르크,The State Museum St. Isaac’s Cathedral,21,0,4.6
러시아,상트페테르부르크,Admiralteyskaya Station,1,0,4.3
러시아,상트페테르부르크,Gazprom Arena,10,0,4.5
러시아,상트페테르부르크,University Embankment,9,0,4.5
러시아,상트페테르부르크,The Building Of The Admiralty,10,0,4.5
러시아,블라디보스토크,Eagle's Nest Mount,21,0,4.6
러시아,블라디보스토크,Memorial to the Fighters for the Soviet Power in the Far East,21,0,4.6
러시아,블라디보스토크,Golden Bridge,21,0,4.6
러시아,블라디보스토크,Russky Bridge,20,1,4.5
러시아,블라디보스토크,Monument to Sailors,1,1,4.1
러시아,블라디보스토크,Railroad Terminal,18,3,4.3
러시아,블라디보스토크,Betancourt Bridge,1,0,4.3
러시아,블라디보스토크,Railway Station,3,0,4.4
러시아,블라디보스토크,Svetlanskaya Street,18,3,4.3
러시아,블라디보스토크,Primorsky Aquarim,9,1,4.3
러시아,소치,소치기념관,1,0,4.3
러시아,소치,Arboretum Park,7,3,4.0
러시아,소치,Krasnaya Polyana Mountain Cluster,9,1,4.3
러시아,소치,Riviera Park,7,3,4.0
러시아,소치,Olimpiyskiy Park,21,0,4.6
러시아,소치,Rosa Khutor Ski Resort,21,0,4.6
러시아,소치,Sochi Discovery World Aquarium,21,0,4.6
마카오,윈 팰리스 리조트,Taipa Village Macau,20,1,4.5
마카오,윈 팰리스 리조트,윈 마카오,21,0,4.6
마카오,윈 팰리스 리조트,에미리트 팰리스,20,1,4.5
마카오,윈 팰리스 리조트,자이푸르 시티 팰리스,21,0,4.6
마카오,윈 팰리스 리조트,가르다랜드 리조트,8,2,4.2
마카오,윈 팰리스 리조트, 부다 왕궁 - 로얄 팰리스,21,0,4.6
마카오,윈 팰리스 리조트,유니버셜 올랜도 리조트,20,1,4.5
마카오,윈 팰리스 리조트,리조트 월드 센토사 카지노,9,1,4.3
마카오,윈 팰리스 리조트,벨레트리즈니 팰리스 (국립 미술관),20,1,4.5
마카오,윈 팰리스 리조트,크노벨 어뮤즈먼트 리조트,30,0,4.7
마카오,샌즈 코타이 센트럴,Londoner Macau,20,1,4.5
마카오,샌즈 코타이 센트럴,샌즈 스카이파크,19,2,4.4
마카오,샌즈 코타이 센트럴,센트럴 파크,20,1,4.5
마카오,샌즈 코타이 센트럴,센트럴 월드 플라자,19,2,4.4
마카오,샌즈 코타이 센트럴,센트럴 플라자,9,1,4.3
마카오,마카오 반도,몬테 요새,21,0,4.6
마카오,마카오 반도,Macau-Taipa Bridge,21,0,4.6
마카오,마카오 반도,뉴야오한 백화점,10,0,4.5
마카오,마카오 반도,St. Lawrence's Church,21,0,4.6
마카오,마카오 반도,마카오 역사지구,21,0,4.6
마카오,마카오 반도,꼴로안,20,1,4.5
마카오,마카오 반도,하우스 오브 댄싱 워터,21,0,4.6
마카오,마카오 반도,Outer Harbour Ferry Terminal,20,1,4.5
마카오,마카오 반도,그랜드 캐널 숍스,21,0,4.6
마카오,마카오 반도,Na Tcha Temple,10,0,4.5
마카오,세인트 폴 성당 유적,세인트 폴 대성당,21,0,4.6
마카오,세인트 폴 성당 유적,세이트 패트릭 대성당,21,0,4.6
마카오,세인트 폴 성당 유적,성 바울 거리(다산바),21,0,4.6
마카오,세인트 폴 성당 유적,몬테 요새,21,0,4.6
마카오,세인트 폴 성당 유적,세인트 폴 성당,21,0,4.6
마카오,세인트 폴 성당 유적,Abbazia di San Paolo Fuori Le Mura,10,0,4.5
마카오,세인트 폴 성당 유적,St. Paul's Hill & Church (Bukit St. Paul),21,0,4.6
마카오,세인트 폴 성당 유적,Macao Government Tourism Office,17,4,4.2
마카오,세인트 폴 성당 유적, 올드 세인트 폴 성당,10,0,4.5
마카오,세인트 폴 성당 유적,세인트 패트릭 성당,21,0,4.6
말레이시아,쿠알라룸푸르,페트로나스 트윈 타워,21,0,4.6
말레이시아,쿠알라룸푸르,센트럴 마켓 쿠알라룸푸르,17,4,4.2
말레이시아,쿠알라룸푸르,쿠알라룸푸르 컨벤션 센터,20,1,4.5
말레이시아,쿠알라룸푸르,리틀 인디아 - 쿠알라룸푸르,18,3,4.3
말레이시아,쿠알라룸푸르,KLCC Park,21,0,4.6
말레이시아,쿠알라룸푸르,파빌리온 KL,21,0,4.6
말레이시아,쿠알라룸푸르,쿠알라룸푸르 버드 파크,19,2,4.4
말레이시아,쿠알라룸푸르,GO KL City Bus,20,1,4.5
말레이시아,쿠알라룸푸르,KLIA Ekspres,20,1,4.5
말레이시아,쿠알라룸푸르,바투 동굴,21,0,4.6
말레이시아,코타키나발루,마누칸 섬,18,3,4.3
말레이시아,코타키나발루,Kota Kinabalu City Mosque,21,0,4.6
말레이시아,코타키나발루,Tanjung Aru Beach,20,1,4.5
말레이시아,코타키나발루,Imago Shopping Mall,21,0,4.6
말레이시아,코타키나발루,Mantanani Island,17,4,4.2
말레이시아,코타키나발루,자스민 마사지,19,2,4.4
말레이시아,코타키나발루,Sapi Island,18,3,4.3
말레이시아,코타키나발루,I Love KK,9,1,4.3
말레이시아,코타키나발루,Tanjung Aru Perdana Park,19,2,4.4
말레이시아,코타키나발루,Tunku Abdul Rahman Marine Park,19,2,4.4
말레이시아,랑카위,Panorama Langkawi SkyCab,21,0,4.6
말레이시아,랑카위,랑카위 스카이 브리지,20,1,4.5
말레이시아,랑카위,Eagle Square,21,0,4.6
말레이시아,랑카위,Kilim Karst Geoforest Park,20,1,4.5
말레이시아,랑카위,Tanjung Rhu Beach,19,2,4.4
말레이시아,랑카위,Cenang Beach,19,2,4.4
말레이시아,랑카위,Oriental Village,9,1,4.3
말레이시아,랑카위,Ko Lipe,10,0,4.5
말레이시아,랑카위,Langkawi Night Market,10,0,4.5
말레이시아,랑카위,Fauna Flora Eco,10,0,4.5
말레이시아,말라카, 존커 스트리트,20,1,4.5
말레이시아,말라카,Malacca River,21,0,4.6
말레이시아,말라카,Red Square (Dutch Square),21,0,4.6
말레이시아,말라카,St. Paul's Hill & Church (Bukit St. Paul),21,0,4.6
말레이시아,말라카,Menara Taming Sari,10,0,4.5
말레이시아,말라카,Malacca Heritage Centre,9,1,4.3
말레이시아,말라카,Stadthuys,10,0,4.5
말레이시아,말라카,River Walk,21,0,4.6
말레이시아,말라카,Christ Church,20,1,4.5
말레이시아,말라카,St. Francis Xavier Church,21,0,4.6
멕시코,멕시코시티,Zocalo,21,0,4.6
멕시코,멕시코시티,국립 인류학 박물관,21,0,4.6
멕시코,멕시코시티, 코요아칸,21,0,4.6
멕시코,멕시코시티,Paseo de la Reforma,20,1,4.5
멕시코,멕시코시티,마요르 사원 박물관,10,0,4.5
멕시코,멕시코시티, 테오티우아칸,21,0,4.6
멕시코,멕시코시티,San Angel,9,1,4.3
멕시코,멕시코시티,Mercado De Artesanias La Ciudadela,9,1,4.3
멕시코,멕시코시티,Catedral Metropolitana de la Ciudad de México,21,0,4.6
멕시코,멕시코시티, 차풀테펙 성,20,1,4.5
멕시코,칸쿤, 치첸 이트사,19,2,4.4
멕시코,칸쿤,La Isla,18,3,4.3
멕시코,칸쿤,Xcaret,20,1,4.5
멕시코,칸쿤,Avenida Kukulkan,9,1,4.3
멕시코,칸쿤,Playa Delfines,19,2,4.4
멕시코,칸쿤,Xplor Park by Xcaret,20,1,4.5
멕시코,칸쿤,Happy Shuttle Cancun,10,0,4.5
멕시코,칸쿤,셀하 공원,21,0,4.6
멕시코,칸쿤,Coco Bongo Playa del Carmen,5,5,3.7
멕시코,칸쿤,Coco Bongo Cancun,19,2,4.4
멕시코,툴룸, 툴룸의 마야 유적지,21,0,4.6
멕시코,툴룸,Tulum Avenue,9,1,4.3
멕시코,툴룸,Mayan Beach,10,0,4.5
멕시코,툴룸,OZ Adventures,9,1,4.3
멕시코,툴룸,Playa Paraiso,6,4,3.9
멕시코,툴룸, 코바 유적지,8,2,4.2
멕시코,툴룸,Gran Cenote,9,1,4.3
멕시코,툴룸,Nuestra Senora del Carmen Catholic Church,10,0,4.5
멕시코,툴룸,Scubascoolmexico,10,0,4.5
멕시코,툴룸,Palacio Municipal,1,1,4.1
멕시코,프라야델카르멘,지하 궁전,17,4,4.2
몽골,울란바토르,Zaisan Memorial,21,0,4.6
몽골,울란바토르,Gorkhi-Terelj National Park,21,0,4.6
몽골,울란바토르,Galleria Souvenir Store,10,0,4.5
몽골,울란바토르,Galleria Souvenir,4,0,4.4
몽골,울란바토르,Choijin Lama Temple Museum,9,1,4.3
몽골,울란바토르,Altai Bighorn Statue,3,1,4.2
몽골,울란바토르,Genghis Khan Square,21,0,4.6
몽골,울란바토르,The State Department Store,8,2,4.2
몽골,울란바토르,Datsan Rinpoche Bagsha,8,2,4.2
몽골,울란바토르,National History Museum,21,0,4.6
미국,뉴욕,메트로폴리탄 미술관,19,2,4.4
미국,뉴욕,록펠러 센터 전망대,21,0,4.6
미국,뉴욕,센트럴 파크,20,1,4.5
미국,뉴욕, 타임 스퀘어,19,2,4.4
미국,뉴욕,엠파이어 스테이트 빌딩,20,1,4.5
미국,뉴욕,뉴욕 공공 도서관,21,0,4.6
미국,뉴욕,브로드웨이,20,1,4.5
미국,뉴욕,하이 라인,21,0,4.6
미국,뉴욕,브라이언트 파크,21,0,4.6
미국,뉴욕,그랜드 센트럴 터미널,21,0,4.6
미국,샌프란시스코,금문교,21,0,4.6
미국,샌프란시스코,샌프란시스코 베이,21,0,4.6
미국,샌프란시스코,트윈 픽스,21,0,4.6
미국,샌프란시스코,샌프란시스코 현대 미술관,21,0,4.6
미국,샌프란시스코,케이블 카,20,1,4.5
미국,샌프란시스코,샌프란시스코 시청,21,0,4.6
미국,샌프란시스코,샌프란시스코 베이 브리지,21,0,4.6
미국,샌프란시스코,Lombard Street,21,0,4.6
미국,샌프란시스코,피어 39,18,3,4.3
미국,샌프란시스코, 알카트라즈,21,0,4.6
미국,로스엔젤레스,다저 스타디움,21,0,4.6
미국,로스엔젤레스,그리피스 파크,21,0,4.6
미국,로스엔젤레스,게티 센터,20,1,4.5
미국,로스엔젤레스,Moonstone Beach,10,0,4.5
미국,로스엔젤레스,판타지스 극장,8,2,4.2
미국,로스엔젤레스,Angel Stadium of Anaheim,10,0,4.5
미국,로스엔젤레스,Greystone Mansion and Park,10,0,4.5
미국,로스엔젤레스,Gloria Molina Grand Park,10,0,4.5
미국,로스엔젤레스,Kelso Dunes,9,1,4.3
미국,로스엔젤레스,17-Mile Drive,20,1,4.5
미국,라스베이거스,라스베이거스 프리미엄 아울렛,21,0,4.6
미국,라스베이거스,The Strip,20,1,4.5
미국,라스베이거스,Vegas Rockstar VIP,21,0,4.6
미국,라스베이거스,Welcome to Fabulous Las Vegas Sign,19,2,4.4
미국,라스베이거스,The Spa at Vdara,7,3,4.0
미국,라스베이거스,The Grand Canal Shoppes at The Venetian Resort,20,1,4.5
미국,라스베이거스,라스베가스 다운타운,19,2,4.4
미국,라스베이거스,Paris Las Vegas,21,0,4.6
미국,라스베이거스,Seminole Hard Rock Casino Tampa,3,7,3.4
미국,라스베이거스,Fremont Street Experience,20,1,4.5
미얀마,양곤,Yangon Central Railway Station,18,3,4.3
미얀마,양곤,쉐다곤 파고다,21,0,4.6
미얀마,양곤,Sule Pagoda,19,2,4.4
미얀마,양곤,Yangon Circular Train,14,7,3.8
미얀마,양곤,Botahtaung Pagoda,10,0,4.5
미얀마,양곤,Bogyoke Aung San Market,20,1,4.5
미얀마,양곤,Myanmar Plaza Shopping Center,10,0,4.5
미얀마,양곤,Immaculate Conception Cathedral,20,1,4.5
미얀마,양곤,The Rangoon War Cemetery,10,0,4.5
미얀마,양곤,JJ Express,21,0,4.6
미얀마,만달레이,Mandalay Hill,21,0,4.6
미얀마,만달레이,Kuthodaw Pagoda & the World's Largest Book,20,1,4.5
미얀마,만달레이,미하무니 파고다,19,2,4.4
미얀마,만달레이,우 베인 다리,20,1,4.5
미얀마,만달레이,Shark Reef Aquarium,8,2,4.2
미얀마,만달레이, 황금 궁전 수도원 (쉐난도 짜웅),21,0,4.6
미얀마,만달레이,Sanda Muni Paya,10,0,4.5
미얀마,만달레이,Health Center Thai Massage,8,2,4.2
미얀마,만달레이,Mandalay Palace,10,0,4.5
미얀마,만달레이,Mandalay Fort,7,3,4.0
미얀마,낭우,Nyaung U Market,8,2,4.2
미얀마,바간,바간의 사원들,21,0,4.6
