ATTR_NAME,SCORE
오클랜드 도메인,4.47
이든 산,4.3
비아덕트 하버,4.27
퀸 스트리트,4.2
원 트리 힐,4.47
오클랜드 하버 브리지,4.1
스카이 타워,4.03
Tamaki Makaurau Auckland isite,4.4
알버트 파크,4.3
North Head Historic Reserve,4.7
오클랜드 박물관,4.4
폰손비,4.3
랑기토토 섬,4.4
켈리 탈튼의 남극 체험관 & 언더워터 월드,4.0
Tiritiri Matangi Island,4.9
퀸즈타운 스카이 라인 - 곤돌라 & 루지,4.63
Queenstown Hill,5.0
Queenstown Gardens,4.77
Lake Wakatipu,4.53
Tahuna Queenstown isite Visitor Information Centre,4.5
Queenstown Mall,4.5
Frankton Therapeutic Massage Queenstown,5.0
RealNZ,4.8
AJ Hackett Bungy New Zealand,4.8
크라이스트처치 식물원,4.73
해글리 공원,4.53
Quake City,4.9
Christchurch Tramway,3.2
International Antarctic Centre,3.5
Christchurch Cathedral,3.87
캔터베리 박물관,4.2
Robert Falcon Scott Statue,3.56
Margaret Mahy Family Playground,4.7
Mona Vale,4.3
Hassle Free Tours,4.9
Botanic Gardens Tour,4.9
Victoria Park,4.5
웰링턴 케이블 카,4.3
뉴질랜드 박물관 (테파파),4.63
빅토리아 산,4.7
웰링턴 식물원,4.5
쿠바 스트리트 지구,3.97
Oriental Bay,4.4
국회 의사당,4.4
Wellington Waterfront,4.2
웰링턴 시티 & 해양 박물관,4.4
웰링턴 동물원,3.5
인터아일랜더 쿡 스트레이트 페리,4.0
Wellington Chocolate Factory,4.6
장개석 기념관,4.43
Taipei Metro System,4.6
Ximending,4.03
타이베이 101,4.23
Shilin Night Market,3.83
용산사,4.03
Elephant Mountain (aka Nangang District Hiking Trail),4.27
Maokong Gondola,4.47
TAIPEI 101 Observatory,3.97
Taoyuan International Airport MRT,4.47
대만 국립 고궁 박물관,4.33
Taiwan High Speed Rail,4.43
타이페이 아이,4.33
Beitou Hot Spring,3.97
양민산 국립 공원,4.5
The Pier-2 Art Centre,4.07
포광산,4.53
Kaohsiung Main Public Library,4.23
Kaohsiung Museum of Fine Arts,4.3
Fo Guang Shan Buddha Museum,4.8
Dragon Tiger Tower,4.2
Tuntex 85 Sky Tower,3.83
Cijin Island,4.67
Xiziwan,4.23
Formosa Boulevard Station,4.13
Central Park Kaohsiung,4.03
Kaohsiung (Cihou) Lighthouse,4.17
The Dome of Light,3.73
Chengcing Lake,4.1
Chishingtan Scenic Area,3.9
Taroko National Park,4.83
Taroko Gorge,4.83
Hualien Tourist Fish Harbor,4.0
Hualien Harbor Scenic Bridge,3.0
Yanzihkou Trail (Swallow Grotto),4.53
Dongdamen Night Market,3.5
Farglory Ocean Park,4.3
Yuli Antong Hot Spring,4.03
Su-Hua Highway,4.6
Zhuilu Old Trail,4.4
Shakadang Trail,4.6
Qingshui Cliff,4.4
Chihkan Tower (Fort Provintia),4.2
Guanziling Hot Spring,4.6
Confucius Temple,3.67
Ji Dian Wu Miao,4.17
Chimei Museum,4.5
National Cheng Kung University,4.6
National Museum of Taiwan History,4.3
Tainan Art Museum,4.57
Anping Fort (Anping gubao),4.03
Tainan Station,3.7
안평수옥,4.03
National Museum of Taiwan Literature,3.9
National Anping Harbor Historic Park,4.0
Hayashi Department Store,4.17
브란덴부르크 문 (브란덴부르크 토어),4.1
이스트 사이드 갤러리,3.93
Berliner Dom,4.5
Berlin Central Station,3.9
Tiergarten,4.83
테러의 토포그래피 박물관,4.27
도이쳐 분데슈타크,4.47
홀로코스트 기념관 (유대인 학살 추모 공원),4.63
Museum Island,4.3
베를린 장벽 기념관,3.97
Berliner Fernsehturm,3.7
Berliner Philharmonie,4.8
젠다르멘 광장,4.5
페르가몬 박물관,3.77
Mitte,4.4
마리엔 광장,4.1
New Town Hall (Neus Rathaus),3.83
BMW 박물관,4.3
Allianz Arena,4.43
Nymphenburg Palace,4.63
Olympic Tower,3.87
잉글리쉬 가든,4.63
Residenz,4.53
FC Bayern Museum,4.1
