cnt_name,emi,year
일본,4324376,2023
중국,5165529,2023
베트남,2274213,2023
태국,1059851,2023
필리핀,950219,2023
홍콩,176267,2023
대만,411791,2023
마카오,88946,2023
싱가포르,332855,2023
말레이시아,170576,2023
인도네시아,219777,2023
캄보디아,219777,2023
터키,99009,2023
인도,371746,2023
몽골,36050,2023
미얀마,35655,2023
이스라엘,30200,2023
몰디브,21157,2023
스리랑카,4214,2023
스페인,939533,2023
독일,117518,2023
호주,125120,2023
영국,156284,2023
슬로베니아,36605,2023
러시아,274779,2023
보스니아,7547,2023
핀란드,15042,2023
북마케도니아,582,2023
세르비아,536,2023
남아프리카,6620,2023
미국,1021537,2023
캐나다,79762,2023
도미니카공화국,9079,2023
자메이카,108,2023
코스타리카,2053,2023
멕시코,50200,2023
오스트레일리아,137850,2023
사이판,115263,2023
괌,239572,2023
뉴질랜드,28819,2023
팔라우,574,2023
피지,1154,2023
