CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,626800,2023,7,JP
중국,319733,2023,7,CN
베트남,286126,2023,7,VN
태국,150385,2023,7,TH
필리핀,140718,2023,7,PH
홍콩,29540,2023,7,HK
대만,47811,2023,7,TW
마카오,19740,2023,7,MO
싱가포르,60959,2023,7,SG
말레이시아,21265,2023,7,MY
인도네시아,38225,2023,7,ID
캄보디아,14772,2023,7,KH
터키,15344,2023,7,TR
이스라엘,2600,2023,7,IL
몰디브,1891,2023,7,MV
스리랑카,628,2023,7,LK
독일,24248,2023,7,DE
오스트리아,23544,2023,7,
슬로베니아,6198,2023,7,SI
보스니아,1633,2023,7,BA
핀란드,2675,2023,7,FI
북마케도니아,108,2023,7,MK
세르비아,56,2023,7,RS
남아프리카,782,2023,7,ZA
미국,152145,2023,7,US
캐나다,22611,2023,7,CA
도미니카공화국,1211,2023,7,DO
자메이카,39,2023,7,JM
코스타리카,239,2023,7,CR
멕시코,8037,2023,7,MX
호주,22950,2023,7,AU
사이판,20627,2023,7,MP
괌,26984,2023,7,GU
뉴질랜드,3782,2023,7,NZ
팔라우,145,2023,7,PW
피지,209,2023,7,FJ
