CNT_NAME,EMI,YEAR,MONTH
일본,569100,2023,8
중국,363603,2023,8
베트남,385904,2023,8
태국,146387,2023,8
필리핀,135660,2023,8
홍콩,34356,2023,8
대만,50980,2023,8
마카오,22871,2023,8
싱가포르,62788,2023,8
말레이시아,21903,2023,8
인도네시아,36342,2023,8
캄보디아,15215,2023,8
터키,13495,2023,8
이스라엘,2600,2023,8
몰디브,1939,2023,8
스리랑카,666,2023,8
독일,24975,2023,8
오스트리아,21200,2023,8
슬로베니아,5413,2023,8
보스니아,1682,2023,8
핀란드,4183,2023,8
북마케도니아,111,2023,8
세르비아,162,2023,8
남아프리카,1119,2023,8
미국,147255,2023,8
캐나다,23289,2023,8
도미니카공화국,945,2023,8
자메이카,40,2023,8
코스타리카,201,2023,8
멕시코,8278,2023,8
호주,23638,2023,8
사이판,20319,2023,8
괌,31774,2023,8
뉴질랜드,3895,2023,8
팔라우,165,2023,8
피지,172,2023,8
