ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
아바니 오클랜드 메트로폴리스 레지던스 (Avani Auckland Metropolis Residences),https://pix8.agoda.net/hotelImages/302460/-1/ecebfa93124be59b6645f73acd5fea0d.jpg?ca=6&ce=1&s=1024x768,3561
힐튼 오클랜드 (Hilton Auckland),https://pix8.agoda.net/hotelImages/2289642/0/53ca346437350dc6281bba08a64d5e71.jpg?ce=0&s=1024x768,5238
Imagine Beach Road,https://pix8.agoda.net/hotelImages/41452194/-1/13d7a92fc3652cc13e10595c37b25b03.jpg?ce=0&s=1024x768,3059
이비스 버짓 오클랜드공항 (ibis Budget Auckland Airport),https://pix8.agoda.net/hotelImages/770/770202/770202_20071609090091575021.png?ca=12&ce=1&s=1024x768,2264
JetPark Hotel Auckland Airport,https://pix8.agoda.net/hotelImages/70630/-1/0d17bc94d341ed5882d79a6fece8f534.jpg?ce=0&s=1024x768,2951
크라운 플라자 오클랜드 (Crowne Plaza Auckland),https://pix8.agoda.net/hotelImages/5672382/0/029d93317a1c43a513afeb928a362e0e.jpg?ce=0&s=1024x768,628
Swiss-Belsuites Victoria Park Auckland,https://pix8.agoda.net/hotelImages/127/1277786/1277786_16090710220046175453.jpg?ca=6&ce=1&s=1024x768,380
나우미 호텔 오클랜드 에어포트 (Naumi Hotel Auckland Airport),https://pix8.agoda.net/hotelImages/885749/-1/6795e95a13758e0fd3f91a011d99b3b4.jpg?ca=9&ce=1&s=1024x768,1513
SkyCity Hotel,https://pix8.agoda.net/hotelImages/25/-1/cc15bfeeff0de86901b40e041eb1d7b9.jpg?ce=0&s=1024x768,11971
그랜드 밀레니엄 오클랜드 (Grand Millennium Auckland),https://pix8.agoda.net/hotelImages/236/2366/2366_17051905560053083912.jpg?ca=6&ce=1&s=1024x768,1893
Queens Casino and Hotel,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/185363968.jpg?k=30f2706f4ef2f410c15b88590c79264b339498f4028242c6f9c2451937d339e4&o=,72
Garden Court Guest House,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/419848694.jpg?k=8dae153bc4f3a275f02a7e4df5c80d13761a718e8071b401277131e71b59d278&o=,167
Luxe-Molen Boutique Hotel,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/291059852.jpg?k=8c1ec23ff36d2100e1a6451359d60c6ae6175cf08be27d16c43b546e472143e5&o=,409
a Dam's View Accommodation,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/165262808.jpg?k=0050441ba738d54d9e8606e08cb7e76c829bd4355d114747287e5f5cc7d96ff9&o=,3
Komani Resorts,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/390414852.jpg?k=4ba5cc94802eb6ce2a48938886a8b442cc37f692e0c5c240447e76c0d11d8b5b&o=,4
Madeira Bed,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/494618589.jpg?k=cd829b17846c60bd2d12a73a617e979d8975612d266205aa0116697840a8447e&o=,1
Mentor Guest house,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/234802558.jpg?k=30b49f354f2c0f88602578d48a1f934cbfcb5bae3ba7acf081c5804d05ecb591&o=,6
BD and C Bed & Breakfast,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/395935042.jpg?k=957ead0bf5eda1d4325e032cf30e042c23d1564db262a662cf554700262b1c06&o=,10
벨 뷰 비앤비 (Belle Vue Bed and Breakfast),https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/137883481.jpg?k=88dded5f787d34330579bd5ed8f7e47204e45c2b1b0b904d711123a430e3765a&o=,115
수디마 크라이스트처치 공항 (Sudima Christchurch Airport),https://pix8.agoda.net/hotelImages/11971/-1/8c5ea3c19e303bfc467d75bc9eddd190.jpg?ca=13&ce=1&s=1024x768,7049
크라이스트처치 시티 호텔 (Christchurch City Hotel),https://pix8.agoda.net/hotelImages/26079916/-1/6aa58aa8d1088b111395f3c54c5bea80.jpg?ca=27&ce=0&s=1024x768,282
"샤토 온 더 파크 - 크라이스트처치, 어 더블 트리 바이 힐튼 (Chateau on the Park - Christchurch, a DoubleTree by Hilton)",https://pix8.agoda.net/hotelImages/4980/0/4e78169809649dcbf6d123d41cf45fb1.jpg?ca=7&ce=1&s=1024x768,1533
The Airport Homestay House,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/479075353.jpg?k=4087a9a52113e760dfecba817e5cc9e6063ac554bf1e822fd27545d88a2ff45b&o=,10
브레이크프리 온 캐셀 크라이스트처치 (BreakFree on Cashel Christchurch),https://pix8.agoda.net/hotelImages/861/861964/861964_15051507120027506856.jpg?ca=4&ce=1&s=1024x768,1613
Carnmore Hotel Christchurch,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/322098891.jpg?k=c0bddc73886934f86d13745052421868cd5107bda5b7442673dd7ae83c630be9&o=,4896
호텔 기브 (Hotel Give),https://pix8.agoda.net/hotelImages/186/186452/186452_13041009570011762530.jpg?ca=0&ce=1&s=1024x768,8121
이비스 크라이스트처치 (ibis Christchurch),https://pix8.agoda.net/hotelImages/77468/-1/738939ab59fc83e14dd060f8f0faa8ca.jpg?ca=0&ce=1&s=1024x768,4384
센터 포인트 온 콜롬보 모텔 (CentrePoint on Colombo Motel),https://pix8.agoda.net/hotelImages/648/648848/648848_16060310250043094671.jpg?ca=6&ce=1&s=1024x768,1515
노보텔 크라이스트처치 에어포트 (Novotel Christchurch Airport),https://pix8.agoda.net/hotelImages/240/2402569/2402569_20092901390092496398.jpg?ca=14&ce=1&s=1024x768,322
오크스 웰링턴 호텔 (Oaks Wellington Hotel),https://pix8.agoda.net/hotelImages/13887494/-1/d7d2c53169f417dc0ddf24185f423e2d.jpg?ca=11&ce=1&s=1024x768,383
리지스 웰링턴 (Rydges Wellington),https://pix8.agoda.net/hotelImages/78672/0/8ba3abb5a5180af6284090e409850869.jpg?ca=7&ce=1&s=1024x768,507
Rydges Wellington Airport,https://pix8.agoda.net/hotelImages/23070510/-1/bc5ba5b087a5441356eef409eccfe51a.jpg?ca=18&ce=1&s=1024x768,97
더 매리언 호스텔 (The Marion Hostel),https://pix8.agoda.net/hotelImages/544/5449280/5449280_18081011050067401245.jpg?ca=0&ce=1&s=1024x768,1632
이비스 웰링턴 (ibis Wellington),https://pix8.agoda.net/hotelImages/6770591/0/dca9325103e1810afc68cd2f1c82b7a9.jpg?ce=0&s=1024x768,1050
트래블로지 호텔  웰링톤 (Travelodge Hotel Wellington),https://pix8.agoda.net/hotelImages/183/183613/183613_120511052857143.jpg?ca=0&ce=1&s=1024x768,3846
Microtel by Wyndham Wellington,https://pix8.agoda.net/hotelImages/32826279/0/50392702913f1dfa3a580883fa30a79a.jpg?ce=0&s=1024x768,169
