ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
타이페이 가든 호텔 (Taipei Garden Hotel),https://pix8.agoda.net/hotelImages/109900/-1/e6077e41e05373f765e709b2a5e528c0.jpg?ca=18&ce=1&s=1024x768,16504
시저 메트로 타이베이 (Caesar Metro Taipei),https://pix8.agoda.net/hotelImages/2150639/-1/d2ea775a0772a1cb96502b89f6cadd18.jpg?ca=7&ce=1&s=1024x768,29813
코스모스 호텔 타이베이 메인 스테이션 (Cosmos Hotel Taipei Main Station),https://pix8.agoda.net/hotelImages/4413/-1/54a98034ef0f34862f94be6e485bc83f.jpg?ce=0&s=1024x768,24110
로더스 플러스 호텔 타이베이 스테이션 (Roaders Plus Hotel Taipei Station),https://pix8.agoda.net/hotelImages/17495540/-1/7e6a27ab7d7a8a6b8ebdbc77fc812bbc.jpg?ca=20&ce=0&s=1024x768,3819
호텔 참 참 - 타이베이 (HOTEL CHAM CHAM - Taipei),https://pix8.agoda.net/hotelImages/2416562/-1/31a9b0216e16ae4a69ae652916d5af92.jpg?ca=0&ce=1&s=1024x768,31985
시저 파크 호텔 (Caesar Park Hotel),https://pix8.agoda.net/hotelImages/1368/-1/94ad19d13af30749eea4e61d872ed138.jpg?ca=0&ce=1&s=1024x768,24667
미라마 가든 호텔 (Miramar Garden Hotel),https://pix8.agoda.net/hotelImages/72234/-1/5a13a4ccdd0f4aabe8061e08baef1ce2.jpg?ce=0&s=1024x768,8077
저스트 슬립 호텔 시먼딩 (Just Sleep Hotel Ximending),https://pix8.agoda.net/hotelImages/149218/-1/e45b3b0bb44cfc239bcb11f5a633c3ae.jpg?ca=9&ce=1&s=1024x768,14036
시저 메트로 타이베이 (Caesar Metro Taipei),https://pix8.agoda.net/hotelImages/2150639/-1/d2ea775a0772a1cb96502b89f6cadd18.jpg?ca=7&ce=1&s=1024x768,29815
마예르 인 (Mayer Inn),https://pix8.agoda.net/hotelImages/9377130/-1/e336f2066aa82fd6631226f6797d85cf.jpg?ca=14&ce=1&s=1024x768,5738
더 클라우드 호텔 (The Cloud Hotel),https://pix8.agoda.net/hotelImages/478592/-1/c05eabc8cd09a85ed44d6142f0135921.jpg?ce=0&s=1024x768,6418
Hotel YAM LAGOM,https://pix8.agoda.net/hotelImages/21874089/-1/8a6235eaf9b5c0ae0a9484b253996530.jpg?ca=17&ce=1&s=1024x768,5079
HOTEL YOSHI KAOHSIUNG,https://pix8.agoda.net/hotelImages/931489/-1/bd10a5ae1b9bb9e928877eae9661b480.jpg?ce=0&s=1024x768,945
카인드네스 호텔 치서안 (Kindness Hotel Qixian),https://pix8.agoda.net/hotelImages/284/284702/284702_15081015300033976602.jpg?ca=13&ce=1&s=1024x768,5810
그리트 인 (GREET INN),https://pix8.agoda.net/hotelImages/1637047/-1/f8319da81f97855f8efe7d46555f409f.jpg?ca=16&ce=1&s=1024x768,11785
에어라인 인 - 가오슝 스테이션 (Airline Inn - Kaohsiung Station ),https://pix8.agoda.net/hotelImages/161/1618982/1618982_17031510010051552748.jpg?ca=6&ce=1&s=1024x768,5125
inns hotel,https://pix8.agoda.net/hotelImages/487878/-1/0bcd7224fd3d2a33d3a5bd2c6bf9d4b8.jpg?ce=0&s=1024x768,14301
스카이원 호텔 (Skyone Hotel),https://pix8.agoda.net/hotelImages/2985159/-1/b2edf2b1295adfbb7b217e5a29142dc8.jpg?ca=9&ce=1&s=1024x768,7874
CU 호텔 가오슝 (CU Hotel Kaohsiung),https://pix8.agoda.net/hotelImages/30950337/0/7ceb0c2286b7d17d058e1768e9818def.jpg?ca=27&ce=0&s=1024x768,2553
레전드 호텔 피어 2 (Legend Hotel Pier 2),https://pix8.agoda.net/hotelImages/127/1270823/1270823_17082101490055536178.jpg?ca=6&ce=1&s=1024x768,11107
메시 호텔 (Meci Hotel),https://pix8.agoda.net/hotelImages/409/409492/409492_16041516180041544626.jpg?ca=6&ce=1&s=1024x768,5973
파크 시티 호텔 - 화롄 베케이션 (Park City Hotel - Hualien Vacation),https://pix8.agoda.net/hotelImages/861864/-1/68f702b591dbb4b8f5d1769a296aa07a.jpg?ca=20&ce=0&s=1024x768,9887
TC HOTEL HUALIEN ZHONG XIAO,https://pix8.agoda.net/hotelImages/1195267/-1/f78ec82a747335adb0ecf0b6a0ad170e.jpg?ce=0&s=1024x768,4238
