ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
오칵 호텔 (Ocak Hotel),https://pix8.agoda.net/hotelImages/189/18932450/18932450_20102721220092942558.png?ca=15&ce=1&s=1024x768,1480
인터콘티넨탈 베를린 (InterContinental Berlin),https://pix8.agoda.net/hotelImages/22438914/0/5f62d0f538928e846817253129ffc613.jpg?ca=17&ce=1&s=1024x768,4961
더 서커스 호스텔 (The Circus Hostel),https://pix8.agoda.net/hotelImages/445217/-1/8c3a099e6d9df8a9b93ea90b6439a0e5.jpg?ca=8&ce=1&s=1024x768,2327
에스트렐 호텔 (Estrel Hotel),https://pix8.agoda.net/hotelImages/4895143/0/c9e038a621359fce9ce36649a260f9ce.jpg?ca=9&ce=1&s=1024x768,1391
Locke at East Side Gallery,https://pix8.agoda.net/hotelImages/43366644/-1/683e427bc3da286d73749c2e505bbd33.jpg?ce=0&s=1024x768,12
셀렉트 호텔 베를린 더 월 (Select Hotel Berlin The Wall),https://pix8.agoda.net/hotelImages/28752597/0/7ff938277e30717845020ab36c5ddbdb.jpg?ce=0&s=1024x768,2322
파크 인 바이 래디슨 베를린 알렉산더플라츠 (Park Inn by Radisson Berlin Alexanderplatz),https://pix8.agoda.net/hotelImages/9455355/0/2fedd1b01c1613d3334b32619e81c7fc.jpg?ce=0&s=1024x768,3022
모비주 호텔 (Monbijou Hotel),https://pix8.agoda.net/hotelImages/461/461740/461740_15082421430034956630.jpg?ca=5&ce=1&s=1024x768,1081
호텔 아마노 그랜드 센트럴 (Hotel AMANO Grand Central),https://pix8.agoda.net/hotelImages/931964/0/73bd67ea7828ea76a4b0fb29078e6a60.jpg?ca=7&ce=1&s=1024x768,980
오칵 아파트먼트 앤 호텔 (Ocak Apartment & Hotel),https://pix8.agoda.net/hotelImages/218/2186075/2186075_17042219130052554288.jpg?ca=6&ce=1&s=1024x768,1111
호텔 유로파이세르 호프 (Hotel Europäischer Hof),https://pix8.agoda.net/hotelImages/117/117305/117305_16033016400041180243.jpg?ca=6&ce=1&s=1024x768,597
Bayer 89 Vi Vadi Hotel,https://pix8.agoda.net/hotelImages/805087/-1/198a7da65b0bcc9c4c4ed5bac3e1c121.jpg?ca=10&ce=1&s=1024x768,1454
유료 유스 호텔 (Euro Youth Hotel),https://pix8.agoda.net/hotelImages/117/117413/117413_14050522410019310765.jpg?ca=2&ce=1&s=1024x768,891
호텔 토르브라우 (Hotel Torbraeu),https://pix8.agoda.net/hotelImages/3253595/0/c0039f9ce66d676ccfc523c615d64e86.jpg?ca=9&ce=1&s=1024x768,160
WunderLocke,https://pix8.agoda.net/hotelImages/31188002/-1/76a5193a084370dd833cc68e8395ea20.jpg?ca=29&ce=0&s=1024x768,3768
슈어 호텔 바이 베스트웨스턴 뮌헨 하우프트반호프 (Sure Hotel by Best Western München Hauptbahnhof),https://pix8.agoda.net/hotelImages/937/0/bf8a323019bee92ae02c892640bf14f4.jpg?ca=7&ce=1&s=1024x768,529
"Flightgate Munich Airport Hotel, a member of Radisson Individuals",https://pix8.agoda.net/hotelImages/22309896/-1/c29ee994009cc7c414eea5c960024cc5.jpg?ca=17&ce=1&s=1024x768,5058
부티크 호텔 게르마니아 (Boutique Hotel Germania),https://pix8.agoda.net/hotelImages/6538/-1/95be948de7bfa64c220d7e4f9f8b4284.jpg?ca=16&ce=1&s=1024x768,15252
mk 호텔 뮌헨 시티 (mk hotel muenchen city),https://pix8.agoda.net/hotelImages/695/6956246/6956246_19041519350073755896.jpg?ca=8&ce=1&s=1024x768,193
플레밍 호텔 뮌헨 슈바빙 (Fleming's Hotel Munich Schwabing),https://pix8.agoda.net/hotelImages/678/67853/67853_120925194746078.jpg?ca=0&ce=1&s=1024x768,274
부티크 053 함부르크 메인 스테이션 (Boutique 053 Hamburg Main Station),https://pix8.agoda.net/hotelImages/22309926/-1/d4540ba846b60f20d413028d7994917b.jpg?ca=17&ce=1&s=1024x768,89
유로패에이스처 호프 (Europaeischer Hof),https://pix8.agoda.net/hotelImages/78714/-1/7bfc29367b487b6bd754431c16456f57.jpg?ce=0&s=1024x768,862
NYCE Hotel Hamburg City,https://pix8.agoda.net/hotelImages/7297674/-1/4cde218b3c0c86daca5444f56a964745.jpg?ce=0&s=1024x768,334
루비 로티 호텔 함부르크 (Ruby Lotti Hotel Hamburg),https://pix8.agoda.net/hotelImages/34294759/0/f3345fbeb8e73e48a9b68120b9fd4212.jpeg?ce=0&s=1024x768,98
prizeotel Hamburg-St Pauli,https://pix8.agoda.net/hotelImages/31129974/0/4ed89d71063f38cfae8a83f550cb6ca3.jpg?ce=0&s=1024x768,12081
제너레이터 함부르크 (Generator Hamburg),https://pix8.agoda.net/hotelImages/278/278753/278753_120711133105976.jpg?ca=0&ce=1&s=1024x768,1061
CAB20,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/325914553.jpg?k=a2ff848f5e0da0203d1499079d10f3277de437163866afc5fc5f123d5bfcf949&o=,103
a&o 함부르크 시티 (a&o Hamburg City),https://pix8.agoda.net/hotelImages/319501/-1/12ebc3f33715ecc5d3309e4f5783b2cd.jpg?ca=9&ce=1&s=1024x768,762
마이닝어 호텔 함부르크 시티 센터 (MEININGER Hotel Hamburg City Center),https://pix8.agoda.net/hotelImages/116691/-1/eaffab80ff24bc0f8151118f207067af.jpg?ca=6&ce=1&s=1024x768,128
a&o 함부르크 하우프트반호프 (a&o Hamburg Hauptbahnhof),https://pix8.agoda.net/hotelImages/90357/-1/0d1fc26a8816df96538a2edb0075d8a3.jpg?ca=14&ce=1&s=1024x768,556
