ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
힐튼 가든 인 쿠알라 룸푸르 - 노스 (Hilton Garden Inn Kuala Lumpur - North),https://pix8.agoda.net/hotelImages/3263504/0/956f82c5a1338664f1c8c0021d22a870.jpg?ca=18&ce=1&s=1024x768,5252
Deface Platinum 2 Kuala Lumpur,https://pix8.agoda.net/hotelImages/35956748/-1/f005d8d31dafbb45aaf9cb7425f59948.png?ce=0&s=1024x768,3380
디페이스 플래티넘 쿠알라룸푸르 (DeFace Platinum Kuala Lumpur),https://pix8.agoda.net/hotelImages/1622103/-1/d2d6ddf567ae66a23ae51c66ba82d79a.png?ca=12&ce=1&s=1024x768,5336
데 루나 호텔 스리 페탈링 (De Luna Hotel Sri Petaling),https://pix8.agoda.net/hotelImages/102/10264620/10264620_19101916470082197105.jpg?ca=9&ce=1&s=1024x768,1104
홀리데이 인 익스프레스 쿠알라 룸푸르 시티 센터 (Holiday Inn Express Kuala Lumpur City Centre),https://pix8.agoda.net/hotelImages/1191870/-1/15573a9f387606b378b10a1ed30072e9.jpg?ca=10&ce=1&s=1024x768,8450
산타 그랜드 시그니처 쿠알라룸푸르 (Santa Grand Signature Kuala Lumpur),https://pix8.agoda.net/hotelImages/31620440/-1/e4f2fc35a14874af52300d588d20007f.jpg?ce=0&s=1024x768,8456
Park Inn by Radisson Putrajaya,https://pix8.agoda.net/hotelImages/13873149/-1/b79d7a1830d997821d4066a58d16fe20.png?ca=16&ce=1&s=1024x768,3467
힐튼 가든 인 쿠알라 룸푸르 - 사우스 (Hilton Garden Inn Kuala Lumpur - South),https://pix8.agoda.net/hotelImages/5085506/-1/429e5fdc4f8132768287fab2fbb8ee84.jpg?ca=8&ce=1&s=1024x768,7764
산타 그랜드 시그니처 쿠알라룸푸르 (Santa Grand Signature Kuala Lumpur),https://pix8.agoda.net/hotelImages/31620440/-1/e4f2fc35a14874af52300d588d20007f.jpg?ce=0&s=1024x768,8456
Platinum Suites 2 by DM Kuala Lumpur,https://pix8.agoda.net/hotelImages/32218032/-1/1fc9aba2a5b136132b0751713435a834.jpg?ce=0&s=1024x768,1219
힐튼 코타키나발루 (Hilton Kota Kinabalu),https://pix8.agoda.net/hotelImages/38064939/0/97cf7f423ce9b99d746b18b6e7f04cea.jpg?ce=0&s=1024x768,7156
코타 키나발루 메리어트 호텔 (Kota Kinabalu Marriott Hotel),https://pix8.agoda.net/hotelImages/7545188/0/902d8b97b1f12e699186edc20a71bf2f.jpg?ce=0&s=1024x768,2851
호라이즌 호텔 코타키나발루 (Horizon Hotel Kota Kinabalu),https://pix8.agoda.net/hotelImages/271834/-1/50aaa5a4de5029e9711d056e2a6b1614.jpg?ca=0&ce=1&s=1024x768,13541
사바 오리엔탈 호텔 (Sabah Oriental Hotel),https://pix8.agoda.net/hotelImages/43471/-1/358d1ebddfe6e87a94fc7f8fb664e506.jpg?ca=9&ce=1&s=1024x768,12505
