ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
Pod 39,https://pix8.agoda.net/hotelImages/6950566/-1/e2dbd213dacfeb710931865558c5cd06.jpg?ca=8&ce=1&s=1024x768,328
InterContinental New York Times Square,https://pix8.agoda.net/hotelImages/214639/0/9f6b1647f65044399ac90b7d0d738be1.jpg?ca=7&ce=1&s=1024x768,5584
포드 타임스 스퀘어 (Pod Times Square),https://pix8.agoda.net/hotelImages/6950509/-1/07ddf14f1f7c52b335a183348996e549.jpg?ca=8&ce=1&s=1024x768,718
호스텔링 인터내셔널 뉴 욕 (Hostelling International New York),https://pix8.agoda.net/hotelImages/246/246040/246040_17052417280053203878.jpg?ca=6&ce=1&s=1024x768,2385
Indigo NYC Downtown Wall Street,https://pix8.agoda.net/hotelImages/22627095/0/70e763e6c48164cc6bc6641f3d2ac5d9.jpg?ca=28&ce=0&s=1024x768,57
CLUB QUARTERS HOTEL TIMES SQUARE - MIDTOWN,https://pix8.agoda.net/hotelImages/94170/-1/91b979889b10d24743a092d766df4665.jpg?ca=7&ce=1&s=1024x768,416
Paramount Hotel Times Square,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/58134090.jpg?k=5840e8e81d668d132ba2d992297c612a282bfa7c8cb5c333f6b3a74db7cc5efb&o=,528
더 맨하탄 호텔 앳 타임스 스퀘어 (The Manhattan Hotel at Times Square),https://pix8.agoda.net/hotelImages/89388/-1/9568b06108daab7524790f7cd0c585e9.jpg?ca=9&ce=1&s=1024x768,1880
U 호텔 피프스 애비뉴 (U Hotel Fifth Avenue),https://pix8.agoda.net/hotelImages/871173/-1/af568e937efbd87fa6679a791be22e90.jpg?ca=9&ce=1&s=1024x768,382
웨스트 사이드 YMCA 호스텔 (West Side YMCA Hostel),https://pix8.agoda.net/hotelImages/468/46813/46813_16062901000044199131.jpg?ca=6&ce=1&s=1024x768,964
HI San Francisco Downtown Hostel,https://pix8.agoda.net/hotelImages/6950046/-1/82e6173d2d375f42e94738e7f57b9be4.jpg?ca=9&ce=1&s=1024x768,310
킴프턴 알톤 호텔 (Kimpton Alton Hotel),https://pix8.agoda.net/hotelImages/667/-1/f5965da172489fb6ac21192d3bc210f1.jpg?ca=20&ce=0&s=1024x768,124
Samesun San Francisco,https://pix8.agoda.net/hotelImages/254/25451960/25451960_210623073800102819454.jpg?ca=20&ce=1&s=1024x768,312
로드웨이 인 앤 스위트 샌프란시스코-그레이트 하이웨이 (Rodeway Inn & Suites San Francisco-Great Highway),https://pix8.agoda.net/hotelImages/2178215/0/19c156a5f7427b42cac75333b78e50bf.jpg?ca=0&ce=1&s=1024x768,63
샌프란시스코 메리어트 마르키스 (San Francisco Marriott Marquis),https://pix8.agoda.net/hotelImages/770/7702/7702_15033010560026575885.jpg?ca=3&ce=1&s=1024x768,125
챈슬러 호텔 온 유니온 스퀘어 (Chancellor Hotel on Union Square),https://pix8.agoda.net/hotelImages/933/93358/93358_1112221647005323060.jpg?ca=0&ce=1&s=1024x768,403
