ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
호텔 발미 (Hotel Balmi),https://pix8.agoda.net/hotelImages/7960343/-1/b78b1c30653fb91049bb0da5e99b107a.jpg?ca=9&ce=1&s=1024x768,610
체리 힐스 호텔 (Cherry Hills Hotel),https://pix8.agoda.net/hotelImages/536/536028/536028_16070718510044498723.jpg?ca=6&ce=1&s=1024x768,379
제말락스 호텔 앤 레지던스 (Zealax Hotel & Residence),https://pix8.agoda.net/hotelImages/9948508/-1/8909d4caa9c9e7eefc79701faf58391c.jpg?ca=13&ce=1&s=1024x768,116
아웨이 메타 양곤 (Awei Metta Yangon),https://pix8.agoda.net/hotelImages/6417759/-1/4d4e3b0dc9f4cbb4516c8ff95600119d.jpg?ca=13&ce=1&s=1024x768,69
K.C 레지던스 (K.C Residence),https://pix8.agoda.net/hotelImages/6383548/-1/e6fdc3378721cafdcbfc4941dd01f63f.jpg?ca=8&ce=1&s=1024x768,949
후드 호스텔 (HOOD Hostel),https://pix8.agoda.net/hotelImages/9065847/-1/eccaccd04387e5001977e0a4354ad856.jpg?ca=9&ce=1&s=1024x768,227
에스페라도 레이크뷰 호텔 (Esperado Lake View Hotel),https://pix8.agoda.net/hotelImages/860856/-1/4018291a03fe2656dc4d99aa7ea7eb52.jpg?ca=10&ce=1&s=1024x768,2426
호텔 프라임 (Hotel Prime),https://pix8.agoda.net/hotelImages/5251245/-1/323652f492b2c0c6c5db08f0386502cb.jpg?ca=9&ce=1&s=1024x768,177
121 호텔 (121 Hotel),https://pix8.agoda.net/hotelImages/2304530/-1/cd16f8c6d760f24eda7560d45c64a3e6.jpg?ca=7&ce=1&s=1024x768,15
자스민 팰리스 호텔 (Jasmine Palace Hotel),https://pix8.agoda.net/hotelImages/110/1109896/1109896_17060917150053578243.jpg?ca=6&ce=1&s=1024x768,1729
오스텔로 벨로 만달레이 (Ostello Bello Mandalay),https://pix8.agoda.net/hotelImages/623457/-1/8e0b1aa70deee6ee29fa6a07e6214ed6.jpg?ca=7&ce=1&s=1024x768,665
E-아웃피팅 골든 컨트리 호텔 (E-outfitting Golden Country Hotel),https://pix8.agoda.net/hotelImages/10889375/-1/f3533beaa3daa36da5b5896c7f182060.jpg?ca=19&ce=1&s=1024x768,304
로얄 펄 호텔 (Royal Pearl Hotel),https://pix8.agoda.net/hotelImages/665/665876/665876_17030816190051430854.jpg?ca=6&ce=1&s=1024x768,470
더 홈 호텔 (The Home Hotel),https://pix8.agoda.net/hotelImages/920/920712/920712_17091313360056291243.jpg?ca=6&ce=1&s=1024x768,786
더 링크 78 만달레이 부티크 호텔 (The Link 78 Mandalay Boutique Hotel),https://pix8.agoda.net/hotelImages/161/1618023/1618023_16103114350048285655.jpg?ca=6&ce=1&s=1024x768,650
카웅 민트 호텔 (Kaung Myint Hotel),https://pix8.agoda.net/hotelImages/928/928899/928899_15073005020033308880.jpg?ca=5&ce=1&s=1024x768,118
호텔 호미 만달레이 (Hotel Homey Mandalay),https://pix8.agoda.net/hotelImages/109/10954346/10954346_19112817490084634444.jpg?ca=9&ce=1&s=1024x768,18
79 리빙 호텔 (79 Living Hotel),https://pix8.agoda.net/hotelImages/535/535885/535885_16062217200043975614.jpg?ca=6&ce=1&s=1024x768,1050
드래곤 피닉스 호텔 (Dragon Phoenix Hotel),https://pix8.agoda.net/hotelImages/9792631/-1/f69c3f3143e251f64c43e3a6d4e704f9.jpg?ca=9&ce=1&s=1024x768,57
호텔 뉴 웨이브 (Hotel New Wave),https://pix8.agoda.net/hotelImages/134/13439749/13439749_20030915570089234218.jpg?ca=10&ce=1&s=1024x768,44
로얄 바간 호텔 (Royal Bagan Hotel),https://pix8.agoda.net/hotelImages/782677/-1/51c2f6eabc20aaa0bf16f8577837f4e0.jpg?ca=7&ce=1&s=1024x768,2262
"바간 탄데 호텔, 올드 바간 (Bagan Thande Hotel, Old Bagan)",https://pix8.agoda.net/hotelImages/338/338773/338773_16100417450047364128.jpg?ca=6&ce=1&s=1024x768,1989
오스텔로 벨로 바간 풀 (Ostello Bello Bagan Pool),https://pix8.agoda.net/hotelImages/3358674/-1/b00423c552751a4b96c6e303de89b4c8.jpg?ca=7&ce=1&s=1024x768,175
마이 바간 레지던스 바이 아마타 (아마타 부티크 하우스) (My Bagan Residence by Amata (Amata Boutique House)),https://pix8.agoda.net/hotelImages/983/983461/983461_15070713330031795488.jpg?ca=4&ce=1&s=1024x768,144
A Little Bit of BAGAN HOTEL,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/220257110.jpg?k=2b07a7cac0d3d3f20fd4c5578a9bd2fe419796be2725b378844dfa6d0388e662&o=,60
스카이 뷰 호텔 (Sky View Hotel),https://pix8.agoda.net/hotelImages/1135125/-1/d09fa5672e1a825c8a2fe840f66a20da.jpg?ca=8&ce=1&s=1024x768,1376
골든 미얀마 게스트하우스 (Golden Myanmar Guest House),https://pix8.agoda.net/hotelImages/625/625769/625769_14051815150019465942.jpg?ca=2&ce=1&s=1024x768,217
더 호텔 @ 타라바 게이트 (The Hotel @ Tharabar Gate),https://pix8.agoda.net/hotelImages/520/52033/52033_17090519050056008927.jpg?ca=6&ce=1&s=1024x768,799
시위 나 디 게스트하우스 (Shwe Na Di Guest House ),https://pix8.agoda.net/hotelImages/1060003/-1/d2b5f76367f8b18cf42865925c89a40d.jpg?ca=9&ce=1&s=1024x768,1352
골든 미얀마 게스트하우스 (Golden Myanmar Guest House),https://pix8.agoda.net/hotelImages/625/625769/625769_14051815150019465942.jpg?ca=2&ce=1&s=1024x768,217
