ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
호텔 로벡 (Hotel Lovec),https://pix8.agoda.net/hotelImages/843/84360/84360_16091313440046391246.jpg?ca=6&ce=1&s=1024x768,2869
Hotel Starkl - Heritage & Unique,https://pix8.agoda.net/hotelImages/418/418661/418661_13022514390010527311.jpg?ca=0&ce=1&s=1024x768,1281
Vila Alpina,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/497761154.jpg?k=25b8b156d0c27308f0ea790b13251530120362c4a5b4189ae91f7afa993a3a53&o=,2217
호텔 파크 - 사바 호텔 앤 리조트 (Hotel Park - Sava Hotels & Resorts),https://pix8.agoda.net/hotelImages/395/395961/395961_1212231445009868374.jpg?ca=0&ce=1&s=1024x768,4188
호텔 아스토리아 수페리어 (Hotel Astoria Superior),https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/349444250.jpg?k=dae0498cef7bf7da6b1232726eae9862954b92f7620c53ac96bd644393df0a67&o=,1066
블레드 로즈 호텔 (Bled Rose hotel),https://pix8.agoda.net/hotelImages/59342/-1/f915afa766e5db52fa2fd5ffddc23893.jpg?ca=12&ce=1&s=1024x768,1426
올드 패리시 하우스 (Old Parish House),,0
아도라 럭셔리 호텔 (엑스 빌라 이스트라) (Adora Luxury Hotel (ex Vila Istra)),https://pix8.agoda.net/hotelImages/347/347237/347237_1212090725009212075.jpg?ca=0&ce=1&s=1024x768,664
Lake House Sebanc,,0
Vila Rajska ptica,,0
비앤비 호텔 류블랴나 파크 (B&B Hotel Ljubljana Park),https://pix8.agoda.net/hotelImages/734/73444/73444_1003101949002927664.jpg?ca=0&ce=1&s=1024x768,5100
시티 호텔 리주발자나 (City Hotel Ljubljana),https://pix8.agoda.net/hotelImages/511/51156/51156_14022721400018499886.jpg?ca=2&ce=1&s=1024x768,21955
Grand Plaza Hotel & Congress Center,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/480510297.jpg?k=c81b0f9070c47eefe9acc78f50d486078724b6c82d4f347488fc8c2d42f30e35&o=,1946
Sax Pub Hostel,https://pix8.agoda.net/hotelImages/37809278/0/688c4216c8aeb9a2d36e41a8bf8cb6b3.jpg?ce=0&s=1024x768,17
"래디슨 블루 플라자 호텔 류블랴나 (Radisson Blu Plaza Hotel, Ljubljana)",https://pix8.agoda.net/hotelImages/325/325244/325244_14022416340018440140.jpg?ca=2&ce=1&s=1024x768,7870
오스트리아 트랜드 호텔 루블랴나 (Austria Trend Hotel Ljubljana),https://pix8.agoda.net/hotelImages/104/104363/104363_13051616560012475319.jpg?ca=0&ce=1&s=1024x768,6843
Intercontinental Ljubljana,https://pix8.agoda.net/hotelImages/219/2191700/2191700_17051612000053011036.jpg?ca=6&ce=1&s=1024x768,28
홀리데이 인 익스프레스 류블랴나 (Holiday Inn Express Ljubljana),https://pix8.agoda.net/hotelImages/13481308/0/4f1d911e8f9234068738c6503d00c5e1.jpg?ca=20&ce=0&s=1024x768,9582
ibis Styles Ljubljana The Fuzzy Log,https://pix8.agoda.net/hotelImages/39895273/0/484ae8b6008975a522c3e18b449d39f3.jpeg?ce=0&s=1024x768,60
ibis Styles Ljubljana Centre,https://pix8.agoda.net/hotelImages/10265041/-1/d597edeef24d31e471e1466b87e0c36b.jpg?ca=17&ce=1&s=1024x768,7399
호텔 마르코 (Hotel Marko),https://pix8.agoda.net/hotelImages/129/129484/129484_1112011556004672508.jpg?ca=0&ce=1&s=1024x768,3870
호텔 켐핀스키 팰리스 포르토로즈 (Hotel Kempinski Palace Portoroz),https://pix8.agoda.net/hotelImages/129482/-1/52d4e1ff23b97aa6451256feeab7491c.jpg?ca=6&ce=1&s=1024x768,1855
Hotel Neptun - LifeClass Hotels & Spa,https://pix8.agoda.net/hotelImages/182/182812/182812_14100819300022636391.jpg?ca=3&ce=1&s=1024x768,4789
호텔 피란 (Hotel Piran),https://pix8.agoda.net/hotelImages/593/59350/59350_1112210655005269345.jpg?ca=0&ce=1&s=1024x768,73
Hotel Neptun - LifeClass Hotels & Spa,https://pix8.agoda.net/hotelImages/229723/-1/d03ee5fc69047f327eac703b92eb25d8.jpg?ca=0&ce=1&s=1024x768,11
트래디셔널 피란 하우스 (Traditional Piran house),https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/146375123.jpg?k=0bceb01d13184510bc5ff744e9a4042b0e2e97d955f1041804e4663a7c602e12&o=,7
Casa Al Porto Antico,,0
