ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
M 호텔 싱가포르 (M Hotel Singapore),https://pix8.agoda.net/hotelImages/1635/-1/1d62f58abbdec4eb37744dbfd68decbd.jpg?ce=0&s=1024x768,8754
두짓 타니 라구나 싱가포르 (Dusit Thani Laguna Singapore),https://pix8.agoda.net/hotelImages/10672643/-1/5a03fa1e8cd18f94bcfe08ec6d11673a.jpg?ca=22&ce=0&s=1024x768,2903
콥튼 킹 호텔 싱가포르 온 해블록 (Copthorne King's Hotel Singapore on Havelock),https://pix8.agoda.net/hotelImages/44923/-1/975b7c0b56341c0c8fe46831c52e7c5e.jpg?ca=0&ce=1&s=1024x768,5252
빌리지 호텔 알버트 코트 바이 파 이스트 호스피탈리티 (Village Hotel Albert Court by Far East Hospitality),https://pix8.agoda.net/hotelImages/105/10577/10577_18020203490061477225.jpg?ca=6&ce=1&s=1024x768,5100
The Singapore EDITION,https://pix8.agoda.net/hotelImages/46254934/-1/1f025bc6d5cbcfa47f644f871debba76.png?ce=0&s=1024x768,1
Hotel Boss,https://pix8.agoda.net/hotelImages/4894014/0/cd6c560a8ce30e1687175ea73d1f85e8.jpg?ca=23&ce=0&s=1024x768,25016
Hotel Bencoolen @ Hong Kong Street,https://pix8.agoda.net/hotelImages/107/1077771/1077771_16080409220045201232.jpg?ca=6&ce=1&s=1024x768,3251
V Hotel Lavender,https://pix8.agoda.net/hotelImages/4888860/0/c19c108d3f17d73ca68563cbf506b868.jpg?ca=23&ce=0&s=1024x768,45946
Hotel Bencoolen @ Hong Kong Street,https://pix8.agoda.net/hotelImages/107/1077771/1077771_16080409220045201232.jpg?ca=6&ce=1&s=1024x768,3251
푸라마 리버프런트 (Furama RiverFront),https://pix8.agoda.net/hotelImages/10623/-1/7df4c7846536d6861fc8246408c8b9e4.jpg?ca=10&ce=1&s=1024x768,12999
