ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
모우브레이 코트 호텔 (Mowbray Court Hotel),https://pix8.agoda.net/hotelImages/4887179/0/b0174ac0f9f1049faea124604c4fb705.jpg?ca=23&ce=0&s=1024x768,6339
St. Pancras Renaissance Hotel London,https://pix8.agoda.net/hotelImages/428/428283/428283_19051608520074528940.jpg?ca=8&ce=1&s=1024x768,133
메리트 켄싱턴 호텔 (Merit Kensington Hotel),https://pix8.agoda.net/hotelImages/148922/-1/6a5b540bf9e11340d0bf64cd05aa8d27.jpg?ca=9&ce=1&s=1024x768,1319
유스턴 스퀘어 호텔 런던 (Euston Square Hotel),https://pix8.agoda.net/hotelImages/77103/-1/99296d70f4f535d48552929ca64c836c.jpg?ca=9&ce=1&s=1024x768,776
Delta Hotels Heathrow Windsor,https://pix8.agoda.net/hotelImages/35925923/0/2725ff203ff2894ed64ef4dab4eee47f.jpg?ce=0&s=1024x768,61
Kabannas London St Pancras,https://pix8.agoda.net/hotelImages/824037/-1/a38fe1da19759a8d8ce6f07be2cb4c75.jpg?ce=0&s=1024x768,1257
파크 플라자 런던 파크 로얄 (Park Plaza London Park Royal),https://pix8.agoda.net/hotelImages/161/1618272/1618272_17030300310051346471.jpg?ca=6&ce=1&s=1024x768,16614
Royal National Hotel,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/471551205.jpg?k=656c8630c0472ef77f75ef03d22fdc922e5262511bf19eb7ce7919881cc86cc5&o=,1613
아치 호텔 (Arch Hotel),https://pix8.agoda.net/hotelImages/230/23011341/23011341_21031918040095621308.jpg?ca=17&ce=1&s=1024x768,35
나일랜드 호텔 (Nayland Hotel),https://pix8.agoda.net/hotelImages/430/43036/43036_15062914440031168134.jpg?ca=4&ce=1&s=1024x768,827
프레데릭 하우스 호텔 (Frederick House Hotel),https://pix8.agoda.net/hotelImages/6724302/-1/ee437bceb4fe8ae79b4277dcc65b6859.jpg?ca=9&ce=1&s=1024x768,597
힐튼 에든버러 칼튼 (Hilton Edinburgh Carlton),https://pix8.agoda.net/hotelImages/4642/0/84c019f1a8fb868ff15002659b52c286.jpg?ca=7&ce=1&s=1024x768,468
스테이 센트럴 호텔 (Stay Central Hotel),https://pix8.agoda.net/hotelImages/343634/-1/0095d472c737c93606af6bc6815f7d71.jpg?ca=20&ce=0&s=1024x768,336
데스티니 스튜던트 - 무라노 (Destiny Student- Murano),https://pix8.agoda.net/hotelImages/712/7127251/7127251_19042518090074040880.jpg?ca=8&ce=1&s=1024x768,216
Edinburgh Holyrood Hotel,https://pix8.agoda.net/hotelImages/115/11560/11560_16090219240046065895.jpg?ca=6&ce=1&s=1024x768,181
래디슨 블루 호텔 에든버러 시티 센터 (Radisson Blu Hotel Edinburgh City Centre),https://pix8.agoda.net/hotelImages/9456730/0/28511513be288a22bb5c5ce81808474f.jpg?ce=0&s=1024x768,289
Leonardo Royal Hotel Edinburgh,https://pix8.agoda.net/hotelImages/4866019/0/40b3ed00bdc94d3dde853139848b1f12.jpg?ce=0&s=1024x768,7731
브리타니아 호텔 에든버러 (Britannia Hotel Edinburgh),https://pix8.agoda.net/hotelImages/425/42547/42547_15062418410030708962.jpg?ca=4&ce=1&s=1024x768,995
Ten Hill Place,https://pix8.agoda.net/hotelImages/748/74809/74809_18022015100062158161.jpg?ca=6&ce=1&s=1024x768,5833
A&O 에든버러 시티 (A&O Edinburgh City),https://pix8.agoda.net/hotelImages/91245/-1/c1bee8bad7db0f99db68f8f8b0cc08e3.jpg?ca=9&ce=1&s=1024x768,984
더 미트르 호텔 (The Mitre Hotel),https://pix8.agoda.net/hotelImages/460480/-1/cc978f6520dba3d59ae86e26817eaaa4.jpg?ca=9&ce=1&s=1024x768,717
Manchester Piccadilly Hotel,https://pix8.agoda.net/hotelImages/89788/-1/9a6e6d913c8cb464aa2eb95cc6efe9a0.jpg?ca=10&ce=1&s=1024x768,708
이비스 스타일 맨체스터 포트랜드 (ibis Styles Manchester Portland),https://pix8.agoda.net/hotelImages/21610201/0/8ecf424f247f5cf577c90e8a031a5faf.jpg?ca=17&ce=1&s=1024x768,1040
홀리데이 인 익스프레스 맨체스터 시티 센터 아레나 (Holiday Inn Express Manchester City Centre Arena),https://pix8.agoda.net/hotelImages/294375/0/0b50081917d95916444d5f0da55cab7e.jpg?ca=0&ce=1&s=1024x768,302
하얏트 하우스 맨체스터 (Hyatt Regency Manchester),https://pix8.agoda.net/hotelImages/12665289/0/7ccadec5b917abba91d26dec93907362.jpg?ca=10&ce=1&s=1024x768,65
네이티브 맨체스터 (Native Manchester),https://pix8.agoda.net/hotelImages/684/6841190/6841190_19030722360072808196.jpg?ca=8&ce=1&s=1024x768,6018
래디슨 블루 맨체스터 에어포트 (Radisson Blu Manchester Airport),https://pix8.agoda.net/hotelImages/9456973/0/1da9836a540dff93f1e654724a103f25.jpg?ca=28&ce=0&s=1024x768,697
브리타니아 맨체스터 호텔 (Britannia Manchester Hotel),https://pix8.agoda.net/hotelImages/6769985/0/35fdeb397e7a8b832c0808b1fa32adb8.jpg?ca=9&ce=1&s=1024x768,2172
더 타운하우스 맨체스터 (The Townhouse Manchester),https://pix8.agoda.net/hotelImages/6724157/-1/4bda3cf2041ce332db654ebe4bc8a6cf.png?ca=15&ce=1&s=1024x768,231
