ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
조스텔 뭄바이 (Zostel Mumbai),https://pix8.agoda.net/hotelImages/336/3365573/3365573_17111701190059520124.jpg?ca=6&ce=1&s=1024x768,545
레시던시 호텔 (Residency Hotel Fort),https://pix8.agoda.net/hotelImages/109/109709/109709_15061110470029240356.jpg?ca=4&ce=1&s=1024x768,1661
Country Inn & Suites by Turtle ,https://pix8.agoda.net/hotelImages/37262635/-1/ffbd059153119d44386f5b38ff3bd694.jpg?ce=0&s=1024x768,166
씨 프린세스 호텔 (Sea Princess Hotel),https://pix8.agoda.net/hotelImages/405/4052/4052_15052917290028047972.jpg?ca=4&ce=1&s=1024x768,2464
백패커 판다 콜라바 (Backpacker Panda Colaba),https://pix8.agoda.net/hotelImages/4093416/-1/002555d0b90780f36e1a3440da6184ab.jpg?ca=0&ce=1&s=1024x768,292
래디슨 블루 뭄바이 인터내셔널 에어포트 (Radisson Blu Mumbai International Airport),https://pix8.agoda.net/hotelImages/16467924/0/d4a891a438b04bd1bff142cd1850c749.jpg?ca=25&ce=0&s=1024x768,2636
호텔 공항 국제 (Hotel Airport International),https://pix8.agoda.net/hotelImages/917/91737/91737_15082619430035139651.jpg?ca=5&ce=1&s=1024x768,1779
시티 호텔 (City Hotel),https://pix8.agoda.net/hotelImages/32699980/0/228445c7f6573e145a9c87c37387c714.jpg?ce=0&s=1024x768,156
패브호텔 아모르 안데리 이스트 (FabHotel Amour Andheri East),https://pix8.agoda.net/hotelImages/5835918/-1/76480ef1c2fa89bb02009445dfda3e23.jpg?ca=9&ce=1&s=1024x768,751
Hotel Apex International - Near Mumbai Airport,https://pix8.agoda.net/hotelImages/32860654/0/2d5a18355a4894b1578a18ad8cff937a.jpg?ce=0&s=1024x768,773
블룸룸 @ 뉴 델리 레일웨이 스테이션 (bloomrooms @ New Delhi Railway Station),https://pix8.agoda.net/hotelImages/461/461827/461827_13062217540013480909.jpg?ca=0&ce=1&s=1024x768,1897
더 프라임 발라지 디럭스 @ 뉴델리역 호텔 (The Prime Balaji Deluxe @ New Delhi Railway Station Hotel),https://pix8.agoda.net/hotelImages/754561/-1/eea678075b175ba8dcf77337150accba.jpg?ca=9&ce=1&s=1024x768,1988
호텔 디캐피톨 - 델리 에어포트 (HOTEL D'CAPITOL - DELHI AIRPORT),https://pix8.agoda.net/hotelImages/31524864/-1/ef5e999850f9696ada11977234cadc64.jpg?ce=0&s=1024x768,6367
래디슨 블루 타워스 카우샴비 델리 NCR (Radisson Blu Towers Kaushambi Delhi NCR),https://pix8.agoda.net/hotelImages/10951680/-1/c8ffcedce2874a3ac583a09223e6c5c7.jpg?ca=26&ce=0&s=1024x768,1053
래디슨 블루 플라자 델리 에어포트 (Radisson Blu Plaza Delhi Airport),https://pix8.agoda.net/hotelImages/9455124/0/4311c63b7c31d6e42eab66d2078cf3c2.jpg?ca=20&ce=0&s=1024x768,1790
Hari Piorko Grand,https://pix8.agoda.net/hotelImages/37513452/-1/1b024925f7f9a6548fa179ae40156f1a.jpg?ce=0&s=1024x768,449
Zostel Delhi,https://pix8.agoda.net/hotelImages/781484/-1/cba0bc2b0828c70f8cb4ec67fc6cb3af.jpg?ce=0&s=1024x768,1033
예스 보스 바이 백패커스 헤븐 (Yes Boss By Backpackers Heaven),https://pix8.agoda.net/hotelImages/10605653/-1/a6b917d178892d31aa2a395759afb4e9.jpg?ca=10&ce=1&s=1024x768,1485
파크 호텔 (The Park New Delhi Hotel),https://pix8.agoda.net/hotelImages/22032821/0/45373bc18f0e52ee4fd213e8d5a13b35.jpg?ca=17&ce=1&s=1024x768,3278
Jyoti Mahal A Royal Heritage Hotel,https://pix8.agoda.net/hotelImages/159078/-1/0270106111fd1636737be64de06ee33f.jpg?ce=0&s=1024x768,1696
조이스 호스텔 (joey's Hostel),https://pix8.agoda.net/hotelImages/5935859/-1/61541b482234ba822871a1f727d313d9.jpg?ca=17&ce=1&s=1024x768,8596
Sunrise Homestay,,0
호텔 사니야 팰리스 (Hotel Saniya Palace),https://pix8.agoda.net/hotelImages/572476/-1/80af15753e2bbf0fe85c49740367ee83.jpg?ca=17&ce=1&s=1024x768,828
수라세나 레갈비스타 (SURASENA REGALVISTA),https://pix8.agoda.net/hotelImages/32193982/-1/eaa33ddf19ddfd3aa4a68a1da9d19987.jpg?ce=0&s=1024x768,666
Radisson Hotel Agra,https://pix8.agoda.net/hotelImages/13594586/0/da9858b9bc11652c48fae1a65ed0ecc5.jpg?ca=17&ce=1&s=1024x768,1151
호텔 싯다르타 (600 미터 프롬 타지마할) (HOTEL SIDHARTHA (600 meters from Taj Mahal)),https://pix8.agoda.net/hotelImages/256/256529/256529_15071715260032520685.jpg?ca=4&ce=1&s=1024x768,1547
호텔 타지 리조트스 (Hotel Taj Resorts),https://pix8.agoda.net/hotelImages/243640/-1/5018293a6bcc9bd779a0d9c875af6a86.jpg?ca=9&ce=1&s=1024x768,2617
DoubleTree by Hilton Hotel Agra,https://pix8.agoda.net/hotelImages/2285208/0/9100b73d021ec8dedda8613864b6aa69.jpg?ca=17&ce=1&s=1024x768,514
"타즈간즈의 빌라 (144m², 침실 5개, 프라이빗 욕실 5개) (The Orchid Villa)",https://pix8.agoda.net/hotelImages/35755614/0/a1dd018fba3ddee6ae71fdb6da90f517.jpg?ce=0&s=1024x768,147
FabHotel Bhawana,https://pix8.agoda.net/hotelImages/41581302/-1/2dcbf07cf47696c2516a0dde8b3f3ee1.jpg?ce=0&s=1024x768,32
