ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
힐튼 가든 인 발리 응우라 라이 공항 (Hilton Garden Inn Bali Ngurah Rai Airport),https://pix8.agoda.net/hotelImages/661189/-1/7ea18c1e1cc821e51270f407945fa8d8.jpg?ca=11&ce=1&s=1024x768,3252
호텔 테라스 앳 쿠타 (Hotel Terrace at Kuta),https://pix8.agoda.net/hotelImages/462004/-1/0fbdd78b37002774922a460b10563b50.jpg?ca=7&ce=1&s=1024x768,4166
쿠타 파라디소 호텔 (Kuta Paradiso Hotel),https://pix8.agoda.net/hotelImages/103/10344/10344_15072311160032860886.jpg?ca=4&ce=1&s=1024x768,6407
노보텔 발리 응우라 라이 공항 (Novotel Bali Ngurah Rai Airport),https://pix8.agoda.net/hotelImages/21610125/0/4acaed4f4bf199e16d0df3d8ffc02240.jpeg?ce=0&s=1024x768,5846
래디슨 블루 발리 울루와투 (Radisson Blu Bali Uluwatu),https://pix8.agoda.net/hotelImages/9455690/0/7abad2a969bc65024b9c03767f97c114.jpg?ca=9&ce=1&s=1024x768,1697
아디 다르마 호텔 쿠타 (Adi Dharma Hotel Kuta),https://pix8.agoda.net/hotelImages/45540/-1/98ef70d584206e1dd9205a197e1505a8.jpg?ce=0&s=1024x768,2709
레기안 파라디소 호텔 (Legian Paradiso Hotel),https://pix8.agoda.net/hotelImages/585/5856/5856_15070810160031843773.jpg?ca=4&ce=1&s=1024x768,2663
오하나 호텔 쿠타 (Ohana Hotel Kuta),https://pix8.agoda.net/hotelImages/291/291045/291045_15082211470034825964.jpg?ca=5&ce=1&s=1024x768,3180
아비안 하모니 리조트 호텔 앤 스파 (Abian Harmony Resort Hotel and Spa),https://pix8.agoda.net/hotelImages/1061743/-1/4e5123da87c425e31b625543d89d65f4.jpg?ce=0&s=1024x768,1894
아디 다르마 호텔 쿠타 (Adi Dharma Hotel Kuta),https://pix8.agoda.net/hotelImages/45540/-1/98ef70d584206e1dd9205a197e1505a8.jpg?ce=0&s=1024x768,2709
해리스 호텔 앤 컨벤션 치움불레우이트 반둥 (HARRIS Hotel & Conventions Ciumbuleuit Bandung),https://pix8.agoda.net/hotelImages/788414/-1/169b0fadb1471c2b5e1c910b9718ceae.jpg?ca=7&ce=1&s=1024x768,4698
그랜드 호텔 프레안게르 (Grand Hotel Preanger),https://pix8.agoda.net/hotelImages/497/49722/49722_16042117220041687777.jpg?ca=6&ce=1&s=1024x768,5844
