ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
그랜드 센트럴 호텔 상하이 (Grand Central Hotel Shanghai),https://pix8.agoda.net/hotelImages/194/194319/194319_14040113480018926420.jpg?ca=2&ce=1&s=1024x768,5590
센트럴 호텔 (Central Hotel),https://pix8.agoda.net/hotelImages/3648/0/e76ff3bbca4e06aa3b863c20e434b63f.jpg?ca=7&ce=1&s=1024x768,4004
Country lnn & Suites by Radisson Shanghai Hongkou Football Stadium Chifeng Road Metro Station,https://pix8.agoda.net/hotelImages/461/46134943/46134943_231010170200129506181.jpg?s=1024x768,358
Hi Inn Shanghai Xujiahui,https://pix8.agoda.net/hotelImages/268/26853980/26853980_210811190000104840785.jpg?s=1024x768,487
야티 바이 아티젠 홍차오 상하이 (YaTi by Artyzen Hongqiao Shanghai),https://pix8.agoda.net/hotelImages/5690256/-1/ca52abba3a27158f69661cc75f232253.jpg?ca=19&ce=1&s=1024x768,1627
Radisson Collection Hyland Shanghai,https://pix8.agoda.net/hotelImages/10312/-1/b7edec9e07f033f847d13fa9523e4a84.jpg?ca=22&ce=0&s=1024x768,5447
시티 호텔 (City Hotel),https://pix8.agoda.net/hotelImages/840/-1/74dc0975d52c400c410e4a333511017d.jpg?ca=9&ce=1&s=1024x768,2146
상하이 데코 호텔 푸동 (Shanghai Deco Hotel Pudong),https://pix8.agoda.net/hotelImages/2531326/-1/c2f578c75ce70b2fde5b274a0f7eab45.jpg?ca=7&ce=1&s=1024x768,2313
진장 메트로폴로 상하이 신톈디 호텔 (Jinjiang Metropolo Shanghai Xintiandi Hotel),https://pix8.agoda.net/hotelImages/5795967/-1/18ea0dd7d451c168bb41d2db706590c2.jpg?ca=9&ce=1&s=1024x768,3916
샹하이 피쉬 인 번드 (Shanghai Fish Inn Bund),https://pix8.agoda.net/hotelImages/291210/-1/2461dc8d91193f0838195be85bd4ae2a.jpg?ca=7&ce=1&s=1024x768,2055
베이징 신차오 호텔 (Beijing XinQiao Hotel),https://pix8.agoda.net/hotelImages/6411/-1/5cadece53750926d51625768e6ba52e4.jpg?ce=0&s=1024x768,10233
선월드 호텔 왕푸징 (Sunworld Hotel Wangfujing),https://pix8.agoda.net/hotelImages/2004/-1/a244cd8f7d4871e0c9b82c576a242b9e.jpg?ca=19&ce=1&s=1024x768,3096
홀리데이 인 익스프레스 베이징 후아카이 (Holiday Inn Express Beijing Huacai),https://pix8.agoda.net/hotelImages/5106095/0/3844a0c3a97d5baaccff6117a1fe11cf.jpg?ca=23&ce=0&s=1024x768,1794
더 그레이트 월 호텔 베이징 (The Great Wall Hotel Beijing),https://pix8.agoda.net/hotelImages/434/4346/4346_15060515060028680541.jpg?ca=4&ce=1&s=1024x768,4909
파크 플라자 베이징 왕푸징 (Park Plaza Beijing Wangfujing),https://pix8.agoda.net/hotelImages/9455419/0/c972353dbea292778bd7eb7e2e95a54d.jpg?ca=9&ce=1&s=1024x768,5352
구오 지 이 위안 호텔 (GUO JI YI YUAN HOTEL),https://pix8.agoda.net/hotelImages/449/449/449_14080710500020873385.jpg?ca=2&ce=1&s=1024x768,2691
노보텔 피스 베이징 호텔 (Novotel Peace Beijing Hotel),https://pix8.agoda.net/hotelImages/21607665/0/6493846b39a220baf4e05ea915e39310.jpg?ca=16&ce=1&s=1024x768,4117
베이징 푸디 호텔 (Beijing Pudi Hotel),https://pix8.agoda.net/hotelImages/108838/-1/636352dd8cf46631fe359e9a0c52919a.jpg?ca=7&ce=1&s=1024x768,1624
시틱 호텔 베이징 공항 (CITIC Hotel Beijing Airport),https://pix8.agoda.net/hotelImages/278/2788/2788_17031316300051513668.jpg?ca=6&ce=1&s=1024x768,1043
라데가스트 호텔 CBD (Radegast Hotel CBD),https://pix8.agoda.net/hotelImages/169069/-1/70a352e79ac9b89418b54848a76f244c.jpg?ce=0&s=1024x768,2053
젠궈 호텔 광저우 (Jianguo Hotel Guangzhou),https://pix8.agoda.net/hotelImages/63213/73602655/e93a8f6d46d129cd01caf1daa5eb94fe.jpg?ce=0&s=1024x768,11647
노모 베이징 로드 어-지덩 믹스 인터내셔널 아파트먼트 (Nomo Beijing Road A-Jiedeng MIX International Apartment),https://pix8.agoda.net/hotelImages/162/1623002/1623002_16120517250049451367.jpg?ca=6&ce=1&s=1024x768,2001
Country Inn & Suites by Radisson Guangzhou Yonghe,https://pix8.agoda.net/hotelImages/461/46134991/46134991_231010170100129505939.jpg?s=1024x768,1
하이 인 리앙핀 광저우 샤허딩 메트로 스테이션 (Hi Inn Liangpin Guangzhou Shaheding Metro Station),https://pix8.agoda.net/hotelImages/144/14453130/14453130_20042815590090136900.png?ca=11&ce=1&s=1024x768,266
오소토 레크리에이션 호텔 바이윈 (Osotto Recreation Hotel Baiyun),https://pix8.agoda.net/hotelImages/195/195127/195127_17022216490051190664.jpg?ca=6&ce=1&s=1024x768,578
차이나 호텔 (China Hotel),https://pix8.agoda.net/hotelImages/5818201/-1/3888f2af9034a72bbc937d0c8bf49a56.jpg?ca=7&ce=1&s=1024x768,6601
호텔 랜드마크 캔톤 (Hotel Landmark Canton),https://pix8.agoda.net/hotelImages/47665/-1/2aaa3dcd24e24f2a714d1f64816f8c97.jpg?ca=11&ce=1&s=1024x768,8675
Guangzhou Carat Hotel,https://pix8.agoda.net/hotelImages/236869/-1/91b4516b529f324a8a55a1502a507847.jpg?ca=27&ce=0&s=1024x768,1209
라 펄 인터내셔널 호텔 (La Perle International Hotel),https://pix8.agoda.net/hotelImages/338/338817/338817_16112116520048943174.jpg?ca=6&ce=1&s=1024x768,8626
광저우 로열 리버 와이피던 아파트먼트  (Guangzhou Royal River Waifiden Apartment),https://pix8.agoda.net/hotelImages/548575/-1/644e53de551ae18e5d7838fc6ae68498.jpg?ca=7&ce=1&s=1024x768,1678
진장 메트로폴로 호텔 - 항저우 트레인 이스트 스테이션 (Jinjiang Metropolo Hotel - Hangzhou Train East Station),https://pix8.agoda.net/hotelImages/5492808/-1/7856362ad64f238c8209777fd1adc5b0.jpg?ca=0&ce=1&s=1024x768,1577
씨티고 호텔 항저우 시 후 후빈 인타이 (CitiGO Hotel Hangzhou Xi Hu Hubin Yintai),https://pix8.agoda.net/hotelImages/200/20061688/20061688_21011909100094262165.jpg?ca=16&ce=1&s=1024x768,1125
Ji Hotel Hangzhou West Lake Hubin Erqing Building,https://pix8.agoda.net/hotelImages/257/25752077/25752077_210624165900102950023.jpg?ca=20&ce=1&s=1024x768,1462
Ji Hotel Hangzhou Xihu Yinyue Musical Fountain,https://pix8.agoda.net/hotelImages/260/26070349/26070349_210804151500104546450.jpg?s=1024x768,0
래디슨 블루 항저우 신톈디 (Radisson Blu Hangzhou Xintiandi),https://pix8.agoda.net/hotelImages/7302557/-1/0e2a593374ab3c87aee175360884fd21.jpg?ca=10&ce=1&s=1024x768,5291
UrCove by HYATT Hangzhou Westlake,https://pix8.agoda.net/hotelImages/39389876/-1/a79c48d227c133f22ef868ea78bd1042.jpg?ce=0&s=1024x768,1889
그랜드 페트로파크 호텔 항주 (Grand Metropark Hotel Hangzhou),https://pix8.agoda.net/hotelImages/69048/-1/888d771e605dc2878b77867c9da99606.jpg?ca=0&ce=1&s=1024x768,8139
홀리데이 인 익스프레스 항저우 이스트 스테이션 (Holiday Inn Express Hangzhou East Station),https://pix8.agoda.net/hotelImages/281/2817161/2817161_17091914200056564329.jpg?ca=6&ce=1&s=1024x768,4330
산수 호텔 항저우 (Sansu Hotel Hangzhou),https://pix8.agoda.net/hotelImages/5068795/-1/0e5b5f71804b3a09f24322ac515be613.jpg?ca=0&ce=1&s=1024x768,163
Shama Serviced Apartments Zijingang Hangzhou,https://pix8.agoda.net/hotelImages/9583034/-1/2dfe9a95d253d64820df5649f913841f.jpg?ca=13&ce=1&s=1024x768,1951
