ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
로얄 크라운 호텔 앤 스파 (Royal Crown Hotel & Spa),https://pix8.agoda.net/hotelImages/339/339962/339962_16082911490045875909.jpg?ca=6&ce=1&s=1024x768,4818
골든 템플 레지던스 (Golden Temple Residence),https://pix8.agoda.net/hotelImages/736990/-1/0835ded30dcf31cb722222a9d5a6cc15.jpg?ca=0&ce=1&s=1024x768,1941
쿨렌 호텔 (Koulen Hotel),https://pix8.agoda.net/hotelImages/4408282/-1/024efcadb67e28da68f3bc3358cf2af5.jpg?ca=0&ce=1&s=1024x768,1073
The Flex Hostel,https://pix8.agoda.net/hotelImages/37900711/0/439719df3f91dcb74ebc2fb5a63b0f63.jpg?ce=0&s=1024x768,729
ANGKOR LAND URBAN BOUTIQUE,https://pix8.agoda.net/hotelImages/37319056/-1/819e4d082f9b22e9104f3ed0766b217a.jpg?ce=0&s=1024x768,1191
호텔 소마데비 앙코르 리조트 앤 스파 (Hotel Somadevi Angkor Resort & Spa),https://pix8.agoda.net/hotelImages/732/73250/73250_16083115120045963568.jpg?ca=6&ce=1&s=1024x768,4111
앙코르 홀리데이 호텔 (Angkor Holiday Hotel),https://pix8.agoda.net/hotelImages/70228/-1/aa90066234f53f009be18516bf142d3e.jpg?ce=0&s=1024x768,761
치타타 CTS 호텔 씨엠림 (Cheathata CTS Hotel Siem Reap),https://pix8.agoda.net/hotelImages/766215/-1/02915787b37aeab178c0c9dfac95a512.jpg?ce=0&s=1024x768,995
쉐도우 앙코르 레지던스 (Shadow Angkor Residence),https://pix8.agoda.net/hotelImages/117/1179393/1179393_16052614320042754327.jpg?ca=6&ce=1&s=1024x768,285
보크레 앙코르 호스텔 (Bokre Angkor Hostel),https://pix8.agoda.net/hotelImages/3001015/-1/9b412c0c0922c58cda4cf4e7d8f9b794.jpg?ca=7&ce=1&s=1024x768,1038
메타바리 호텔 (Mettavary Hotel ),https://pix8.agoda.net/hotelImages/29191178/-1/4f455059943852e1d1134624a4fe563a.jpg?ca=25&ce=0&s=1024x768,1710
센서리 파크 어반 호텔 (Sensory Park Urban Hotel),https://pix8.agoda.net/hotelImages/28930721/-1/d5bc6f177e76b5632670c246328ef856.jpg?ca=29&ce=0&s=1024x768,1298
맨션 51 호텔 앤 아파트먼트 (Mansion 51 Hotel & Apartment),https://pix8.agoda.net/hotelImages/125/1254484/1254484_16112215150048981864.jpg?ca=6&ce=1&s=1024x768,517
풀사이드 빌라 (Poolside Villa),https://pix8.agoda.net/hotelImages/106/10604412/10604412_19111211240083381428.jpg?ca=9&ce=1&s=1024x768,716
