ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
한치 (HANCHI),https://pix8.agoda.net/hotelImages/227/2277730/2277730_17053123230053372661.jpg?ca=6&ce=1&s=1024x768,2633
인터컨티넨탈 이스탄불 (InterContinental Istanbul),https://pix8.agoda.net/hotelImages/164366/-1/ce1c5da1076eeb11b908d74cda51706d.jpg?ce=0&s=1024x768,640
Zeyn Otel Istanbul,https://pix8.agoda.net/hotelImages/37238548/-1/0d6aeaeafbcbf1db43be2c0347a61520.jpg?ce=0&s=1024x768,4089
모다 드레이 - 컨셉 호스텔 (Moda Drei - Concept Hostel),https://pix8.agoda.net/hotelImages/9057924/-1/537e116d8e3128bb965f2824067dc124.jpg?ca=9&ce=1&s=1024x768,686
콘래드 이스탄불 보스포러스 (Conrad Istanbul Bosphorus),https://pix8.agoda.net/hotelImages/2285600/0/5653fbe7521c025f063e4e6f87b05f2c.jpg?ca=10&ce=1&s=1024x768,5621
Shining Star Hotel,https://pix8.agoda.net/hotelImages/36236408/0/2db57565a89c6f71a7d594fb91bcbcb1.jpg?ce=0&s=1024x768,829
래디슨 블루 호텔 이스탄불 오토마레 (Radisson Blu Hotel Istanbul Ottomare),https://pix8.agoda.net/hotelImages/1166037/0/4483a0d4e40a7f07d8b31104d1b0e27d.jpg?ca=7&ce=1&s=1024x768,5551
VPLUS HOTEL,https://pix8.agoda.net/hotelImages/38587524/-1/1df642e39f1645cbb0b3b9c4b82323af.jpg?ce=0&s=1024x768,1234
랄라한 호텔 (Lalahan Hotel),https://pix8.agoda.net/hotelImages/205/2054314/2054314_17032816440051957014.jpg?ca=6&ce=1&s=1024x768,642
Manu Startup House,https://pix8.agoda.net/hotelImages/39829449/0/89949d8040967c856871d033ba804502.jpg?ce=0&s=1024x768,317
카멜리야 케이브 호스텔 (Kamelya Cave Hostel),https://pix8.agoda.net/hotelImages/28272550/-1/841901022e1489a6426cda0035f644bb.jpg?ca=26&ce=0&s=1024x768,838
사파이어 스톤 호텔 (Sapphire Stone Hotel),https://pix8.agoda.net/hotelImages/31250394/0/1cf640dc8e4e19bd57e18d73767403b2.jpg?ca=28&ce=0&s=1024x768,303
로얄 스톤 하우스 - 괴레메 (Royal Stone Houses - Goreme),https://pix8.agoda.net/hotelImages/316/316652/316652_1212051532009006342.jpg?ca=0&ce=1&s=1024x768,1249
히스토리컬 괴레메 하우스  (Historical Goreme House),https://pix8.agoda.net/hotelImages/974500/-1/76e167c36b3b414a24807e647555d2e5.jpg?ce=0&s=1024x768,1032
Serene Premium Stone House,https://pix8.agoda.net/hotelImages/36913986/0/bb43aeff5633be74db3b1994e6e405ac.jpg?ce=0&s=1024x768,350
올드 타운 스톤 하우스 (Old Town Stone House),https://pix8.agoda.net/hotelImages/9117061/-1/d0e70f91f044c8b59390d23ee41200e1.jpg?ca=27&ce=0&s=1024x768,1213
유수프 베이 하우스 괴레메 (Yusuf Bey House Goreme),https://pix8.agoda.net/hotelImages/332/3328355/3328355_17111015250059116983.jpg?ca=6&ce=1&s=1024x768,1427
Seven Stone Hotel,,0
더 돔 케이브 바이 트래블러스 (The Dorm Cave By Travellers),https://pix8.agoda.net/hotelImages/6755509/-1/52a85fbb0d666f96640ee99ed6853f0f.jpg?ca=16&ce=1&s=1024x768,1122
Balloon View Hotel,https://pix8.agoda.net/hotelImages/35751018/-1/cbceba1cbeb1cce538c449f4c1c479af.jpg?ce=0&s=1024x768,1463
