ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
헤난 파크 리조트 (Henann Park Resort),https://pix8.agoda.net/hotelImages/30968669/0/91628585bbbb685ff9b3ddddc81bfe6e.jpg?ca=28&ce=0&s=1024x768,6108
헤난 가든 리조트 (Henann Garden Resort),https://pix8.agoda.net/hotelImages/651/65125/65125_13111209320017381432.jpg?ca=2&ce=1&s=1024x768,11288
헤난 팜 비치 리조트 (Henann Palm Beach Resort),https://pix8.agoda.net/hotelImages/4408245/-1/76a32724165974c632da2fa634a8f36b.jpg?ca=0&ce=1&s=1024x768,6938
Marzon Beach Resort - Boracay,https://pix8.agoda.net/hotelImages/36802569/-1/347a91144c1169dec2c21882e0531668.jpg?ce=0&s=1024x768,391
헤난 리젠시 리조트 앤 스파 (Henann Regency Resort And Spa),https://pix8.agoda.net/hotelImages/10503/-1/9ca37c9105b3b77a8dee74abe705a8e3.jpg?ca=13&ce=1&s=1024x768,16140
헤난 크리스털 샌즈 리조트 (Henann Crystal Sands Resort),https://pix8.agoda.net/hotelImages/2577211/-1/f48177e96b2e5d2a5d2ad0de2ff1a91c.jpg?ca=7&ce=1&s=1024x768,6150
헤난 라군 리조트 (Henann Lagoon Resort),https://pix8.agoda.net/hotelImages/176889/-1/4af363ba9c6a9dd23bf95965befd3192.jpg?ca=8&ce=1&s=1024x768,8275
페어웨이즈 앤 블루워터 보라카이 (Fairways and Bluewater Boracay),https://pix8.agoda.net/hotelImages/108852/-1/446e4b4aaaea4205061dac2b1174fee0.jpg?ce=0&s=1024x768,24565
Signature Boracay Blue (Formerly La Banca House),https://pix8.agoda.net/hotelImages/4594927/-1/be7ad67cc2b7c02ebf9893ea42f6eb59.jpg?ca=28&ce=0&s=1024x768,174
세린 라 플라야 보라카이 (Serene La Playa Boracay),https://pix8.agoda.net/hotelImages/30058911/-1/487cf0f827808ee7a4cb8a78a8ede1f6.jpg?ce=0&s=1024x768,290
Savoy Hotel Manila,https://pix8.agoda.net/hotelImages/443/4435810/4435810_18022016540062162826.jpg?ca=6&ce=1&s=1024x768,20598
Hotel101 - Fort,https://pix8.agoda.net/hotelImages/41042753/-1/2bb04623fc97d0c4adb81830f4590402.jpg?ce=0&s=1024x768,663
Condo in AZURE Beach Resort Beach View #716,https://pix8.agoda.net/hotelImages/37286438/0/e143d3c73e0cb1873a477697dd0d95ff.jpg?ce=0&s=1024x768,7
마이크로텔 바이 윈덤 몰 오브 아시아 - 다목적 호텔 (Microtel by Wyndham Mall of Asia),https://pix8.agoda.net/hotelImages/178561/-1/7095adfc6b8f3ab2ad73b0f82af9bc44.jpg?ca=9&ce=1&s=1024x768,9330
Belmont Hotel Manila ,https://pix8.agoda.net/hotelImages/1061886/-1/21b2a7a88199aa8cb2025a3940cd45cf.jpg?ce=0&s=1024x768,19975
파크 인 바이 래디슨 노스 에드사 (Park Inn by Radisson North Edsa),https://pix8.agoda.net/hotelImages/9457753/460476152/dedca61bf9ca7367ac72f5dccd2c6bc7.jpg?ca=24&ce=0&s=1024x768,2332
킹스포드 호텔 마닐라 (Kingsford Hotel Manila),https://pix8.agoda.net/hotelImages/28139114/-1/4a5deb8a9fbb1e84039d0671f04fc14b.jpg?ca=22&ce=0&s=1024x768,8361
Bayprime Hotel,https://pix8.agoda.net/hotelImages/41978906/-1/7f07da855ffaaafbc78efa094b643747.jpg?ce=0&s=1024x768,422
Diamond Hotel,https://pix8.agoda.net/hotelImages/105/10560/10560_15102216170037079086.jpg?ca=&ce=1&s=1024x768,4702
Tropicana Suites,https://pix8.agoda.net/hotelImages/539/5399269/5399269_18071721030066920995.jpg?ca=0&ce=1&s=1024x768,1011
사보이 호텔 막탄 뉴타운 (Savoy Hotel Mactan Newtown),https://pix8.agoda.net/hotelImages/124/12488359/12488359_20020412590087772441.jpg?ca=10&ce=1&s=1024x768,7744
Belmont Hotel Mactan,https://pix8.agoda.net/hotelImages/36245829/-1/6be3647295455b0dd726c3e9865b7764.jpg?ce=0&s=1024x768,1248
퀘스트 호텔 앤 컨퍼런스 센터 세부 (Quest Hotel and Conference Center Cebu),https://pix8.agoda.net/hotelImages/289459/-1/51f8f32e7f3de749b49dee599070fea9.jpg?ca=11&ce=1&s=1024x768,19414
"Shangri-La Mactan, Cebu",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/295683105.jpg?k=4d04d806fa093f17101f5652de964f30f91d189b3c097ad770bc40e76dfd0500&o=,1659
