ACCOM_NAME,IMG_PATH,TOTAL_REVIEWS
라마다 홍콩 하버뷰 (Ramada Hong Kong Harbour View),https://pix8.agoda.net/hotelImages/6509060/0/185442a678af6be714291aa0e03d824b.jpg?ca=9&ce=1&s=1024x768,12868
아이클럽 셩완 호텔 (iclub Sheung Wan Hotel),https://pix8.agoda.net/hotelImages/633/633676/633676_15073111410033409608.jpg?ca=5&ce=1&s=1024x768,6524
Regala Skycity Hotel,https://pix8.agoda.net/hotelImages/32199969/-1/795e60bf1b44ea4ee532b5b622ce34f9.jpg?ce=0&s=1024x768,8235
홍콩 디즈니랜드 호텔 (Hong Kong Disneyland Hotel),https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/375261727.jpg?k=20332ba028209d40c0b3a0d270d57c199d458f023672a98d3873e8bf0aa12cdd&o=,9203
베스트웨스턴 플러스 호텔 홍콩 (Best Western Plus Hotel Hong Kong),https://pix8.agoda.net/hotelImages/63277/-1/a8fc4340c13228bbe5300c4864d2c655.jpg?ca=0&ce=1&s=1024x768,7311
Ramada Hong Kong Grand,https://pix8.agoda.net/hotelImages/400843/-1/12826764c8e233e01d569bb0699a1085.jpg?ca=13&ce=1&s=1024x768,11241
이비스 홍콩 센트럴 앤 셩완 호텔 (Ibis Hong Kong Central & Sheung Wan Hotel),https://pix8.agoda.net/hotelImages/21674595/0/43d0de0d72a8110f8372f0192ca6cd99.jpg?ca=17&ce=1&s=1024x768,15521
B P 인터내셔널 (B P International),https://pix8.agoda.net/hotelImages/8073/-1/bdf556183456d9f93ea3238d500de95f.jpg?ca=11&ce=1&s=1024x768,25909
비숍 레이 인터내셔널 하우스 (Bishop Lei International House),https://pix8.agoda.net/hotelImages/8099920/0/9399134841b69b91b9ddca70947caf69.jpg?ca=9&ce=1&s=1024x768,8820
Dash Living on Hollywood,https://pix8.agoda.net/hotelImages/304066/-1/1464cdfb469f34bda4060f7ce31f9f79.jpg?ce=0&s=1024x768,6691
