ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
장개석 기념관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/82/ee/be/national-concert-hall.jpg?w=600&h=500&s=1,7682
Taipei Metro System,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d1/2b/c3/photo0jpg.jpg?w=600&h=500&s=1,8297
Ximending,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/11/e6/95/b4/img-20171222-122235-largejpg.jpg?w=600&h=500&s=1,2624
타이베이 101,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/62/e9/2b/101.jpg?w=600&h=500&s=1,12228
Shilin Night Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/bf/7b/54/1909.jpg?w=600&h=500&s=1,5299
용산사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3c/c0/1a/photo5jpg.jpg?w=600&h=500&s=1,6906
Elephant Mountain (aka Nangang District Hiking Trail),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0f/55/30/photo4jpg.jpg?w=600&h=500&s=1,3316
Maokong Gondola,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c8/f9/ee/maokong.jpg?w=600&h=500&s=1,4633
TAIPEI 101 Observatory,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/60/34/a4/photo3jpg.jpg?w=600&h=500&s=1,2606
Taoyuan International Airport MRT,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/cd/8e/33/caption.jpg?w=600&h=500&s=1,1329
대만 국립 고궁 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/cd/db/0b/photo0jpg.jpg?w=600&h=500&s=1,8886
Taiwan High Speed Rail,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f6/fd/5b/ta-img-20170414-175921.jpg?w=600&h=500&s=1,2016
타이페이 아이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/be/50/19/caption.jpg?w=600&h=500&s=1,297
Beitou Hot Spring,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/8f/6f/f4/photo3jpg.jpg?w=600&h=500&s=1,2181
양민산 국립 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/82/4e/74/caption.jpg?w=600&h=500&s=1,1420
The Pier-2 Art Centre,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/32/9c/f2/dsc-2154-largejpg.jpg?w=600&h=500&s=1,1847
포광산,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3a/ec/dd/the-main-shrine.jpg?w=600&h=500&s=1,660
Kaohsiung Main Public Library,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ff/80/39/photo0jpg.jpg?w=600&h=500&s=1,440
Kaohsiung Museum of Fine Arts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a6/e2/34/caption.jpg?w=600&h=500&s=1,179
Fo Guang Shan Buddha Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/6e/88/cf/bird-s-eye-view-of-the.jpg?w=600&h=500&s=1,1216
