ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
브란덴부르크 문 (브란덴부르크 토어),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/1e/2e/caption.jpg?w=600&h=500&s=1&cx=1070&cy=448&chk=v1_b58b92a890cf42edea5b,46484
이스트 사이드 갤러리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/81/58/8d/caption.jpg?w=600&h=500&s=1,16875
Berliner Dom,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2c/54/54/photo0jpg.jpg?w=600&h=500&s=1,10652
Berlin Central Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d0/11/11/berlin-hauptbahnhof.jpg?w=600&h=500&s=1,3223
Tiergarten,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/b4/3f/46/tiergarten.jpg?w=600&h=500&s=1,8512
테러의 토포그래피 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/0e/90/fc/topography-of-terror.jpg?w=600&h=500&s=1,19488
도이쳐 분데슈타크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b3/e9/b6/im-inneren-der-kuppel.jpg?w=600&h=500&s=1,35540
홀로코스트 기념관 (유대인 학살 추모 공원),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9b/8a/38/photo8jpg.jpg?w=600&h=500&s=1,36856
Museum Island,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5a/f0/d6/museum-island.jpg?w=600&h=500&s=1&cx=991&cy=440&chk=v1_2ba60cd793ba70a72934,9026
베를린 장벽 기념관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b6/30/6f/memorial-of-the-berlin.jpg?w=600&h=500&s=1,18133
Berliner Fernsehturm,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/33/4d/d8/der-berliner-fernsehturm.jpg?w=600&h=500&s=1,11816
Berliner Philharmonie,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c1/9a/fd/grosser-saal.jpg?w=600&h=500&s=1,3241
젠다르멘 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/29/9c/8b/gendarmenmarkt.jpg?w=600&h=500&s=1,7603
페르가몬 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b9/6e/70/caption.jpg?w=600&h=500&s=1,20754
Mitte,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/86/5e/29/mitte.jpg?w=600&h=500&s=1,1619
마리엔 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/82/c5/ab/the-neues-rathaus-building.jpg?w=600&h=500&s=1,25640
New Town Hall (Neus Rathaus),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/24/5a/48/new-town-hall-neus-rathaus.jpg?w=600&h=500&s=1,4544
BMW 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/10/c9/d0/bmw-museum.jpg?w=600&h=500&s=1,10004
Allianz Arena,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b5/f3/6b/allianz-arena.jpg?w=600&h=500&s=1,7478
Nymphenburg Palace,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/8a/e0/fa/the-palace-outside-view.jpg?w=600&h=500&s=1,7426
Olympic Tower,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8d/12/27/olympic-tower.jpg?w=600&h=500&s=1,1415
잉글리쉬 가든,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c7/0b/16/3.jpg?w=600&h=500&s=1,18107
Residenz,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/8f/19/the-great-hall.jpg?w=600&h=500&s=1,5672
FC Bayern Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/df/30/b0/via-triumphalis.jpg?w=600&h=500&s=1,492
Viktualienmarkt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/62/04/74/abundance.jpg?w=600&h=500&s=1,3582
Munich Central Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/83/51/eb/20170902-110816munich.jpg?w=600&h=500&s=1,716
St. Peter's Church,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/1a/51/b2/st-peter-s-church-peterskirche.jpg?w=600&h=500&s=1,3715
Rathaus-Glockenspiel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/b8/63/de/vista-pajaro.jpg?w=600&h=500&s=1,2203
Theresienwiese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/93/db/f6/colorful-amusements.jpg?w=600&h=500&s=1,1476
Romer,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a8/5e/68/photo0jpg.jpg?w=600&h=500&s=1,6423
Cathedral of St. Bartholomew (Dom St. Bartholomaus),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/5a/0b/50/20180606-143707-largejpg.jpg?w=600&h=500&s=1,2655
Main Tower,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/0b/4f/05/view-from-tower.jpg?w=600&h=500&s=1,3838
Frankfurt am Main Hauptbahnhof,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/20/9f/9f/caption.jpg?w=600&h=500&s=1,4270
Roemerberg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/f4/8a/e7/roemerbery-at-night.jpg?w=600&h=500&s=1,377
Stadel Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/54/e3/4a/stadel-museum.jpg?w=600&h=500&s=1,2562
Messe Frankfurt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/88/24/47/messe-frankfurt.jpg?w=600&h=500&s=1,396
Deutsche Bank Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7d/aa/7e/seit-01072020-heisst.jpg?w=600&h=500&s=1,645
Iron Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c7/20/a7/eiserner-steg.jpg?w=600&h=500&s=1,1619
The Hauptwache,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/bf/d5/b8/the-hauptwache-frankfurt.jpg?w=600&h=500&s=1,861
Mainkai,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/08/73/volksfest-stimmung-im.jpg?w=600&h=500&s=1,535
