ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
붉은 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/da/f2/3e/roter-platz.jpg?w=600&h=500&s=1,20586
모스크바 크렘린,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/78/2a/f5/cremlino-moskovsky-kreml.jpg?w=600&h=500&s=1,7925
Moscow Metro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d2/37/5e/photo6jpg.jpg?w=600&h=500&s=1,17070
성 바실리 성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/37/20/ab/photo0jpg.jpg?w=600&h=500&s=1,12437
Sparrow Hills (Vorobyovy Gory),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/23/19/caption.jpg?w=600&h=500&s=1,2195
Lomonosov Moscow State University (MGU),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/14/63/ac/caption.jpg?w=600&h=500&s=1,1481
Moscow-City,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/89/63/57/moscow-city.jpg?w=600&h=500&s=1,756
Bolshoi Theatre,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e4/34/84/caption.jpg?w=600&h=500&s=1,3901
High-Speed Train Sapsan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/2b/56/64/it-s-a-train.jpg?w=600&h=500&s=1,6189
Old Arbat (Stary Arbat),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/27/2c/06/old-arbat-stary-arbat.jpg?w=600&h=500&s=1,1574
GUM 백화점,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/46/b4/photo0jpg.jpg?w=600&h=500&s=1,6004
Kremlin Walls and Towers,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/75/59/53/caption.jpg?w=600&h=500&s=1,2894
Moscow Cathedral Mosque,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/56/36/83/23-2015.jpg?w=600&h=500&s=1,113
Ostankino TV Tower,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c9/a7/e6/2018.jpg?w=600&h=500&s=1,953
Cathedral of Christ the Saviour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/37/8e/69/caption.jpg?w=600&h=500&s=1,2163
피의 사원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/a4/29/renkli.jpg?w=600&h=500&s=1,21724
네프스키 프로스펙트,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e0/32/0b/20190112-172501-largejpg.jpg?w=600&h=500&s=1,4721
High-Speed Train Sapsan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/2b/56/64/it-s-a-train.jpg?w=600&h=500&s=1,6189
Leningradskiy Railway Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/fc/6c/93/caption.jpg?w=600&h=500&s=1,101
Palace Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/51/30/aa/shore-side-illuminated.jpg?w=600&h=500&s=1,1656
The State Museum St. Isaac’s Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/ab/7c/63/caption.jpg?w=600&h=500&s=1,10342
Admiralteyskaya Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a0/78/e7/caption.jpg?w=600&h=500&s=1,5
Gazprom Arena,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c1/93/c9/caption.jpg?w=600&h=500&s=1,155
University Embankment,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/3c/23/a0/university-embankment.jpg?w=600&h=500&s=1,40
The Building Of The Admiralty,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/43/75/b6/caption.jpg?w=600&h=500&s=1,209
Moscow Railway Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/59/83/f0/moskovskiy-vokzal-10.jpg?w=600&h=500&s=1,56
Monument to A. D. Sakharov,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f2/e2/ac/photo2jpg.jpg?w=600&h=500&s=1,9
Catherine Palace and Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fd/c2/c3/photo5jpg.jpg?w=600&h=500&s=1,8675
Smolny Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4c/74/d8/smolny-cathedral.jpg?w=600&h=500&s=1,614
Nicholas Naval Cathedral of The Epiphany,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a8/73/d3/vista-entre-los-arboles.jpg?w=600&h=500&s=1,482
Eagle's Nest Mount,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3f/61/21/caption.jpg?w=600&h=500&s=1,566
Memorial to the Fighters for the Soviet Power in the Far East,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ee/1e/7e/memorial-to-the-fighters.jpg?w=600&h=500&s=1,148
Golden Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9a/ba/98/1497395268342-largejpg.jpg?w=600&h=500&s=1,907
Russky Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c9/65/9e/caption.jpg?w=600&h=500&s=1,1384
Monument to Sailors,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0b/7d/b8/caption.jpg?w=600&h=500&s=1,19
Railroad Terminal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0f/43/27/photo2jpg.jpg?w=600&h=500&s=1,720
Railway Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/21/b7/b9/valdivostok-railway-station.jpg?w=600&h=500&s=1,16
Svetlanskaya Street,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2e/de/dc/photo0jpg.jpg?w=600&h=500&s=1,369
Monument of Cyril and Methodius/ Educators and creators of the Slavic alphabet,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/56/16/3a/golden-bridge.jpg?w=600&h=500&s=1,95
Lighthouse Egersheld,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/17/7d/17/7c/20190504142117-img-0051.jpg?w=600&h=500&s=1,792
Funicular in Vladivostok,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0a/2e/cc/photo7jpg.jpg?w=600&h=500&s=1,770
Explore Primorye,,0
Railroad Square,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/0f/5c/2b/2f/beautiful-design.jpg?w=600&h=500&s=1,0
운림산방,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/eb/9b/2f/photo-of-a-building-on.jpg?w=600&h=500&s=1,18
소치기념관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/69/eb/57/caption.jpg?w=600&h=500&s=1,1
Arboretum Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/c2/1e/d9/caption.jpg?w=600&h=500&s=1,2966
Krasnaya Polyana Mountain Cluster,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e4/21/9c/caption.jpg?w=600&h=500&s=1,1408
남도전통미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/69/ee/c6/caption.jpg?w=600&h=500&s=1,1
쌍계사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/be/ed/2a/entrance.jpg?w=600&h=500&s=1,5
Riviera Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/f4/58/81/caption.jpg?w=600&h=500&s=1,1607
Rosa Khutor Ski Resort,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/bf/03/4a/1100.jpg?w=600&h=500&s=1,5092
Olimpiyskiy Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b1/ca/6d/img-20170620-154853-largejpg.jpg?w=600&h=500&s=1,3046
Skypark,,0
Southern Cultures Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a2/c0/69/caption.jpg?w=600&h=500&s=1,810
Sochi Discovery World Aquarium,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/7d/1c/20180508-162455-largejpg.jpg?w=600&h=500&s=1,944
Sochi Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c2/b3/aa/caption.jpg?w=600&h=500&s=1,3000
Agura Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/14/09/b8/photo2jpg.jpg?w=600&h=500&s=1,378
The Observation Tower on Akhun Mountain,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2e/aa/08/20181028-131808-largejpg.jpg?w=600&h=500&s=1,1205
