ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
페트로나스 트윈 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/76/d5/e8/die-petronas-towers-sind.jpg?w=600&h=500&s=1,30381
센트럴 마켓 쿠알라룸푸르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/8c/99/41/central-market.jpg?w=600&h=500&s=1,4974
쿠알라룸푸르 컨벤션 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1c/19/d5/kuala-lumpur-convention.jpg?w=600&h=500&s=1,942
리틀 인디아 - 쿠알라룸푸르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/6d/a5/0d/little-india-calle-principal.jpg?w=600&h=500&s=1,1162
KLCC Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1a/78/94/kuala-lumpur-city-centre.jpg?w=600&h=500&s=1,13174
파빌리온 KL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/87/e5/a9/pavilion-kl-s-facade.jpg?w=600&h=500&s=1,4160
쿠알라룸푸르 버드 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e2/f5/f5/kuala-lumpur-bird-park.jpg?w=600&h=500&s=1,8036
GO KL City Bus,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/14/9a/b0/the-new-gokl-body-wrapping.jpg?w=600&h=500&s=1,2000
KLIA Ekspres,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1a/81/c7/the-new-klia-ekspres.jpg?w=600&h=500&s=1,10576
Kuala Lumpur Sentral Railway Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e6/94/9b/main-platform.jpg?w=600&h=500&s=1,1547
부킷 빈탕,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bd/31/dc/vine-dine-music.jpg?w=600&h=500&s=1,1512
잘란 알로,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/dd/72/22/jalan-alor.jpg?w=600&h=500&s=1,7576
Kuala Lumpur City Gallery,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2c/96/1c/20170706-095513-richtone.jpg?w=600&h=500&s=1,1677
로열 슬랑고르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/05/e4/db/learn-about-animal-shaped.jpg?w=600&h=500&s=1,2673
마누칸 섬,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c2/15/fa/photo2jpg.jpg?w=600&h=500&s=1,2133
Kota Kinabalu City Mosque,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ea/d8/7b/photo0jpg.jpg?w=600&h=500&s=1,1178
Tanjung Aru Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/0f/4b/5f/1492872460010-largejpg.jpg?w=600&h=500&s=1,484
