ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
Zocalo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a8/91/4f/20180911-193522-01-largejpg.jpg?w=600&h=500&s=1,5622
국립 인류학 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/26/fa/3e/photo1jpg.jpg?w=600&h=500&s=1,20173
코요아칸,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5d/a9/dd/mexico-cdmx-coyoacan.jpg?w=600&h=500&s=1,7913
Paseo de la Reforma,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6e/86/ca/photo1jpg.jpg?w=600&h=500&s=1,6418
마요르 사원 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/36/57/caption.jpg?w=600&h=500&s=1,4416
테오티우아칸,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f0/19/86/20180809-111723-hdr-2.jpg?w=600&h=500&s=1,8932
San Angel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c2/74/06/img-20181217-145243-507.jpg?w=600&h=500&s=1,900
Mercado De Artesanias La Ciudadela,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b8/8f/ae/skeleton-heads-of-clay.jpg?w=600&h=500&s=1,1000
Catedral Metropolitana de la Ciudad de México,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e6/d1/cd/metropolitan-cathedral.jpg?w=600&h=500&s=1,5009
차풀테펙 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ee/58/f6/garden-on-the-roof.jpg?w=600&h=500&s=1,10860
역사 지구,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/11/d7/58/historic-center-centro.jpg?w=600&h=500&s=1,3614
Mercado de San Juan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ce/48/3b/mercado-de-san-juan.jpg?w=600&h=500&s=1,345
Basilica de Santa Maria de Guadalupe,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/50/a6/a0/overview-of-complex-with.jpg?w=600&h=500&s=1,7906
프리다 칼로 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/36/96/8e/photo2jpg.jpg?w=600&h=500&s=1,9846
La Merced,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/7a/ab/be/mercado-la-merced-scenes.jpg?w=600&h=500&s=1,86
치첸 이트사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d2/04/66/photo5jpg.jpg?w=600&h=500&s=1,26252
La Isla,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/10/5d/70/la-isla-paradise-experience.jpg?w=600&h=500&s=1,10941
Xcaret,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9f/30/0a/excelentes-sitio-para.jpg?w=600&h=500&s=1,48358
Avenida Kukulkan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/6a/2a/e4/impactantes-hoteles-en.jpg?w=600&h=500&s=1,6106
Playa Delfines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/75/39/c5/caption.jpg?w=600&h=500&s=1,5609
Xplor Park by Xcaret,,0
Happy Shuttle Cancun,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f5/fd/e6/happy-shuttle-cancun.jpg?w=600&h=500&s=1,13808
Coco Bongo Cancun,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/80/ef/20/20181125-052642-largejpg.jpg?w=600&h=500&s=1,19175
Terminal Autobuses ADO,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/be/c3/65/ado.jpg?w=600&h=500&s=1,993
Entertainment Plus,,0
Beto Avila Stadium,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/3f/c3/beto-avila-stadium.jpg?w=600&h=500&s=1,91
Plaza Las Americas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ab/b5/32/plaza-las-americas.jpg?w=600&h=500&s=1,1146
Isla Mujeres Trips,,0
툴룸의 마야 유적지,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/d2/6f/1d/mayan-ruins-of-tulum.jpg?w=600&h=500&s=1,30279
Tulum Avenue,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/48/d1/18/beach.jpg?w=600&h=500&s=1,1007
Mayan Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/48/76/db/imag2893-largejpg.jpg?w=600&h=500&s=1,960
OZ Adventures,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/5c/7c/e1/caption.jpg?w=600&h=600&s=1,46
Playa Paraiso,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/8c/0f/a3/playa-paraiso.jpg?w=600&h=500&s=1,4956
코바 유적지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/3d/5b/68/full-day-tour-to-the.jpg?w=600&h=500&s=1,8465
Gran Cenote,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/29/36/9f/gran-cenote.jpg?w=600&h=500&s=1,4348
V'Spirit Cruises,,0
Laguna Kaan Luum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/7f/b2/4f/20190718-093831-largejpg.jpg?w=600&h=500&s=1,392
프라하 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/21/d9/21/history-buffs-may-want.jpg?w=600&h=500&s=1,36925
프라낭 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/fd/37/5b/fb-img-1474058408344.jpg?w=600&h=500&s=1,6344
성 비투스 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0d/f7/9c/para-admirar-la-fachada.jpg?w=600&h=500&s=1,23741
경복궁,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/62/0a/35/photo0jpg.jpg?w=600&h=500&s=1,10793
Wat Phra Singh,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/9e/8b/c360-2018-12-09-16-47.jpg?w=600&h=500&s=1,3579
프라우엔,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d8/ce/4e/frauenkirche.jpg?w=600&h=500&s=1,6707
Mayan Dive Center,,0
Global Mall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/6f/35/dd/screenshot-20180623-171053.jpg?w=600&h=500&s=1,43
