ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
Zaisan Memorial,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/f6/a9/bb/fb-img-1507961222102.jpg?w=600&h=500&s=1,470
Gorkhi-Terelj National Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/29/b0/9c/terelj-national-park.jpg?w=600&h=500&s=1,1103
Galleria Souvenir Store,,0
Galleria Souvenir,,0
Choijin Lama Temple Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/da/63/ff/choijin-lama-museum.jpg?w=600&h=500&s=1,371
Altai Bighorn Statue,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/6d/ea/bb/caption.jpg?w=600&h=600&s=1,0
Genghis Khan Square,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/18/7e/7b/dscf6390-largejpg.jpg?w=600&h=500&s=1,901
The State Department Store,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/97/14/a0/caption.jpg?w=600&h=500&s=1,157
National History Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/68/cb/2f/national-history-museum.jpg?w=600&h=500&s=1,776
Genghis Khan Statue Complex,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/ab/c3/img-20190325-105022-largejpg.jpg?w=600&h=500&s=1,0
Dream Mongolia Tours,,0
Lotus Thai Massage,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/26/e7/20180816-072040-largejpg.jpg?w=600&h=500&s=1,14
Galleria Ulaanbaatar,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/14/e3/getlstd-property-photo.jpg?w=600&h=500&s=1,137
Hustai National Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/76/63/35/a-very-beautiful-view.jpg?w=600&h=500&s=1,523
