ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
메트로폴리탄 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/61/95/89/the-met-fifth-avenue.jpg?w=600&h=500&s=1,55169
록펠러 센터 전망대,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/68/68/new-york-traumblick-auf.jpg?w=600&h=500&s=1,80137
센트럴 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/90/ab/88/central-park-manhattan.jpg?w=600&h=500&s=1,133985
타임 스퀘어,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/97/38/c7/one-of-my-favourite-places.jpg?w=600&h=500&s=1,56767
엠파이어 스테이트 빌딩,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/74/9f/photo0jpg.jpg?w=600&h=500&s=1,94779
뉴욕 공공 도서관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/21/75/2c/new-york-public-library.jpg?w=600&h=500&s=1,14622
브로드웨이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/eb/86/photo3jpg.jpg?w=600&h=500&s=1,31665
하이 라인,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/92/81/32/photo1jpg.jpg?w=600&h=500&s=1,62992
브라이언트 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/86/f4/72/bryan-parc.jpg?w=600&h=500&s=1,23866
그랜드 센트럴 터미널,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/d7/27/fb-img-1556736015619.jpg?w=600&h=500&s=1,44724
현대 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3c/8b/a5/photo1jpg.jpg?w=600&h=500&s=1,18339
자유의 여신상,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/ba/d3/e8/statue-of-liberty_rotated_90.jpg?w=600&h=500&s=1,44017
록펠러 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/b6/dd/empire-state-view.jpg?w=600&h=500&s=1,25594
5번가,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3a/a5/0c/5th-avenue-ny.jpg?w=600&h=500&s=1,8580
One World Observatory,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0e/f5/46/sky-portal-step-on-this.jpg?w=600&h=500&s=1,28990
금문교,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/32/dd/10/golden-gate-bridge.jpg?w=600&h=500&s=1,49805
샌프란시스코 베이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1c/14/18/20160926-115435-largejpg.jpg?w=600&h=500&s=1,7348
케이블 카,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/fb/e5/89/a-parked-car-on-the-california.jpg?w=600&h=500&s=1,25541
트윈 픽스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6e/6a/95/the-most-amazing-views.jpg?w=600&h=500&s=1,6427
