ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
Yangon Central Railway Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d9/b4/c5/caption.jpg?w=600&h=500&s=1,855
쉐다곤 파고다,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f9/a0/f4/shwedagon-pagoda.jpg?w=600&h=500&s=1,14024
Sule Pagoda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/47/38/60/sule-pagoda.jpg?w=600&h=500&s=1,2585
Yangon Circular Train,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/01/bc/4c/img-20170417-194035-036.jpg?w=600&h=500&s=1,2031
Botahtaung Pagoda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/46/28/e7/exterior-view.jpg?w=600&h=500&s=1,1016
Bogyoke Aung San Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/47/e5/05/bogyoke-aung-san-market.jpg?w=600&h=500&s=1,1997
Myanmar Plaza Shopping Center,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bb/df/11/myanmar-plaza.jpg?w=600&h=500&s=1,149
Immaculate Conception Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/0f/82/9c/side-view.jpg?w=600&h=500&s=1,635
The Rangoon War Cemetery,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/28/f4/79/20171103-085616-largejpg.jpg?w=600&h=500&s=1,0
JJ Express,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/89/a5/7b/jj-express-bus-and-heavy.jpg?w=600&h=500&s=1,667
Maha Bandula Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c2/e7/76/maha-bandoola-garden.jpg?w=600&h=500&s=1,350
Junction Square,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/7d/d4/8a/junction-square.jpg?w=600&h=500&s=1,119
Yangon Chinatown,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/36/4c/f8/indian-quarter-of-yangon.jpg?w=600&h=500&s=1,404
Inya Lake,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/46/ee/e1/scenic-view.jpg?w=600&h=500&s=1,739
Hledan Centre,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/0e/99/front-view-of-hledan.jpg?w=600&h=500&s=1,9
Mandalay Hill,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f3/c2/90/scenery-from-mandalay.jpg?w=600&h=500&s=1,2852
Kuthodaw Pagoda & the World's Largest Book,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ad/9b/6b/caption.jpg?w=600&h=500&s=1,1689
미하무니 파고다,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3e/a4/79/the-mahamuni-pagoda-or.jpg?w=600&h=500&s=1,1514
우 베인 다리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/71/13/f3/u-bein-bridge.jpg?w=600&h=500&s=1,1521
Shark Reef Aquarium,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/42/2d/a6/essa-e-a-parte-mais-bonita.jpg?w=600&h=500&s=1,4335
Sanda Muni Paya,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b4/2b/bd/sanda-muni-paya.jpg?w=600&h=500&s=1,296
황금 궁전 수도원 (쉐난도 짜웅),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9d/1d/8b/caption.jpg?w=600&h=500&s=1,1878
Health Center Thai Massage,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/5c/5b/15/health-center-thai-massage.jpg?w=600&h=500&s=1,50
Mandalay Palace,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/77/18/61/dsc-1357-largejpg.jpg?w=600&h=500&s=1,1218
Mandalay Fort,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5e/f0/2d/caption.jpg?w=600&h=500&s=1,0
Kyauk Taw Gyi Pagoda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b6/63/f7/kyauk-taw-gyi-pagoda.jpg?w=600&h=500&s=1,88
Pahtodawgyi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/bd/20/3a/mingun-birmania.jpg?w=600&h=500&s=1,929
Innwa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3b/90/57/caption.jpg?w=600&h=500&s=1,326
Maha Aung Mye Bon Zan Monastery,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d9/be/6a/img-20181226-212004-574.jpg?w=600&h=500&s=1,228
바간의 사원들,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/3a/a5/79/temples-de-bagan.jpg?w=600&h=500&s=1,6493
아난다 사원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4b/01/94/ananda-temple-exterieur.jpg?w=600&h=500&s=1,1976
쉐산도 파고다,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e8/bd/5f/caption.jpg?w=600&h=500&s=1,981
Sulamani Guphaya Temple,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/44/af/76/caption.jpg?w=600&h=500&s=1,544
쉐지곤 파야,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e2/78/95/phwa-saw-brick-monastery.jpg?w=600&h=500&s=1,1063
Dhammayangyi Temple,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/a5/76/20/templo.jpg?w=600&h=500&s=1,606
Htilominlo Pahto,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/d7/d2/photo1jpg.jpg?w=600&h=500&s=1,395
Thatbyinnyu Temple,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f0/84/65/thatbyinnyu-temple.jpg?w=600&h=500&s=1,389
Oriental Ballooning Bagan,,0
Bagan Viewing Tower,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a7/3c/e3/bagan-viewing-tower.jpg?w=600&h=500&s=1,451
Shwe-gyu-gyi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/2d/a9/shwe-gyu-gyi.jpg?w=600&h=500&s=1,139
Buphaya Paya,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/aa/59/6a/entrada-com-pagode-ao.jpg?w=600&h=500&s=1,326
Bagan Archaeological Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/42/f6/4b/caption.jpg?w=600&h=500&s=1,165
Jasmine Family Lacquerware Workshop,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/74/f6/41/winmyinthan-win-jasmine.jpg?w=600&h=500&s=1,164
