ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
사그라다 파밀리아 성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/56/2a/e7/hay-construcciones-monumentale.jpg?w=600&h=500&s=1,166883
구엘 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/df/fe/01/beautiful-architecture.jpg?w=600&h=500&s=1,77321
Spotify Camp Nou,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/50/29/36/spotify-camp-nou-gol.jpg?w=600&h=500&s=1,40354
몬주익 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/33/2d/85/museum-of-national-art.jpg?w=600&h=500&s=1,11211
고딕 지구 (바리 고틱),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/4a/a9/05/photo0jpg.jpg?w=600&h=500&s=1,40464
Barcelona Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/37/29/photo1jpg.jpg?w=600&h=500&s=1,9883
Aerobús,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c1/55/b9/a2-aeropuerto-terminal.jpg?w=600&h=500&s=1,18097
Parc d’Atraccions Tibidabo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/94/21/e0/parc-d-atraccions-tibidabo.jpg?w=600&h=500&s=1,7790
카탈루냐 국립 미술관 - MNAC,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/48/f2/2f/caption.jpg?w=600&h=500&s=1,7349
Plaza de Catalunya,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ca/ee/ab/fb-img-1537875790852.jpg?w=600&h=500&s=1,5094
그라시아 거리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c8/1d/b1/passeig-de-gracia.jpg?w=600&h=500&s=1,13960
Abadia de Montserrat,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/83/9f/1d/montserrat-monastery.jpg?w=600&h=500&s=1,8089
보케리아 시장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/39/23/59/mercat-de-la-boqueria.jpg?w=600&h=500&s=1,26748
MUHBA Turó de la Rovira,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/30/fe/9f/muhba-turo-de-la-rovira.jpg?w=600&h=500&s=1,946
프라도 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/64/f0/28/museo-nacional-del-prado.jpg?w=600&h=500&s=1,58101
Puerta del Sol,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/88/fb/24/puerta-del-sol.jpg?w=600&h=500&s=1,10917
마드리드 왕궁,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/af/ca/4f/caption.jpg?w=600&h=500&s=1,35394
Santiago Bernabeu Stadium,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/19/44/3b/tour-bernabeu.jpg?w=600&h=500&s=1,23206
Gran Via,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/bb/58/05/hotel-metropolis.jpg?w=600&h=500&s=1,14705
Plaza de Cibeles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ac/2a/af/beautiful-evening-in.jpg?w=600&h=500&s=1,5596
레티로 파크 (파르 델 레티로),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/53/53/2c/img-20160729-205021-largejpg.jpg?w=600&h=500&s=1,56834
Palacio de Cibeles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/1d/65/view-from-the-mirador.jpg?w=600&h=500&s=1,5035
Plaza Mayor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f7/4a/c6/plaza-mayor.jpg?w=600&h=500&s=1,27131
Templo de Debod,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2a/69/02/img-20170113-201236-048.jpg?w=600&h=500&s=1,13627
Estacion de Atocha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2e/fb/0a/photo1jpg.jpg?w=600&h=500&s=1,6402
Madrid Metro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c5/20/e6/madrid-metro.jpg?w=600&h=500&s=1,9095
티센-보르네밋사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/3f/b3/de/fachada-principal-del.jpg?w=600&h=500&s=1,16869
소피아 여왕 예술 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/b5/c1/the-reina-sofia-museum.jpg?w=600&h=500&s=1,16651
Catedral de Sta Maria la Real de la Almudena,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ed/31/b6/cattedral-nostra-signora.jpg?w=600&h=500&s=1,3831
스페인 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/12/e8/20/photo3jpg.jpg?w=600&h=500&s=1,44917
세비야 대성당 (카테드랄 데 세비야),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e8/5c/55/img-20190610-124258-largejpg.jpg?w=600&h=500&s=1,26833
Torre Giralda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/9c/e5/be/giralda-tower.jpg?w=600&h=500&s=1,10901
알카사르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/01/a6/e5/fontanna-i-czesc-zamku.jpg?w=600&h=500&s=1,36053
Centro Historico de Sevilla,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/9b/b9/f0/centro-historico-de-sevilla.jpg?w=600&h=500&s=1,3183
Setas de Sevilla (Metropol Parasol),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/54/7c/5a/photo0jpg.jpg?w=600&h=500&s=1,10147
Barrio Santa Cruz,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/cc/2e/photo4jpg.jpg?w=600&h=500&s=1,8941
마리아 루이사 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/6a/30/c5/fabulosa-arquitectura.jpg?w=600&h=500&s=1,7089
Torre del Oro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c2/63/c4/sevilla.jpg?w=600&h=500&s=1,2388
Iglesia Colegial del Salvador,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c4/25/73/beautiful-church.jpg?w=600&h=500&s=1,2137
Museo del Baile Flamenco,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ef/50/e2/caption.jpg?w=600&h=500&s=1&cx=344&cy=394&chk=v1_dd107328b8d1ba9b02a3,3059
Plaza Nueva,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/dd/ff/73/big-square-in-the-city.jpg?w=600&h=500&s=1,659
Plaza del Triunfo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b4/d1/a2/plaza-del-triunfo.jpg?w=600&h=500&s=1,694
Plaza Mayor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/87/d2/21/plaza-mayor.jpg?w=600&h=500&s=1,778
New Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/cb/1c/ca/puente-nuevo-bridge.jpg?w=600&h=500&s=1,7227
Ciudad de las Artes y las Ciencias,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6b/bd/fe/img-20151104-145054-largejpg.jpg?w=600&h=500&s=1,18819
Oceanogràfic València,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/10/0f/27/oceanografic-valencia.jpg?w=600&h=500&s=1,27763
Central Market of Valencia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f9/d4/2f/img-20160913-195729-largejpg.jpg?w=600&h=500&s=1,23919
Valencia Cathedral,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e8/cf/69/valencia-cathedral.jpg?w=600&h=500&s=1,6441
Estació del Nord,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e4/4b/29/estacion-del-norte.jpg?w=600&h=500&s=1,4563
Miguelete,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/62/64/ff/miguelete-bell-tower.jpg?w=600&h=500&s=1,2032
Plaza del Ayuntamiento,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ec/f9/92/plaza-ayuntamiento.jpg?w=600&h=500&s=1&cx=483&cy=464&chk=v1_2de493d185b91bd13703,2121
Plaza del Mercado (Placa del Mercat),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/c5/07/a0/vue-sur-une-des-entrees.jpg?w=600&h=500&s=1,3551
Museu Faller de València,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/04/4e/a4/photo0jpg.jpg?w=600&h=500&s=1,1030
La Lonja de la Seda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/18/b0/24/view-from-upstairs.jpg?w=600&h=500&s=1,5487
Segway Anyway Valencia,,0
Rent Bike Virgen,,0
Puerto de Valencia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/e1/08/94/carlos.jpg?w=600&h=500&s=1,427
Torres de Serranos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f2/04/62/valencia-torres-de-serranos.jpg?w=600&h=500&s=1,1997
