ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
블레드 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/eb/76/f5/photo3jpg.jpg?w=600&h=500&s=1,4573
빈트가르 협곡,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/dc/95/b0/vintgar-gorge.jpg?w=600&h=500&s=1,5126
Lake Bled,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/35/66/8b/lake-bled-in-autumn-photo.jpg?w=600&h=500&s=1,9744
Lake Bohinj,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/dc/f9/58/lake-bohinj.jpg?w=600&h=500&s=1,1522
Bled Island,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d1/90/6f/photo0jpg.jpg?w=600&h=500&s=1,2863
Vogel Ski Center,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/96/55/breathtaking-view-from.jpg?w=600&h=500&s=1,693
성모 승천 교회,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/03/49/9c/church-of-the-assumption.jpg?w=600&h=500&s=1,469
Mamut Slovenija,,0
Straza Bled,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/61/11/bc/straza-bled-view-of-the.jpg?w=600&h=500&s=1,604
Triglav National Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/96/32/a9/triglav-national-park.jpg?w=600&h=500&s=1,586
Zipline Dolinka,,0
3glav Adventures,,0
Petros,,0
The Ljubljana Castle,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/82/85/d8/ljubljana-castle.jpg?w=600&h=500&s=1,8341
프레세렌 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3f/cb/1b/photo0jpg.jpg?w=600&h=500&s=1,2164
River Ljubljanica Kanal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a7/f1/4f/boat-cruise-ljublanica.jpg?w=600&h=500&s=1,1230
삼중교 (트로모스토브예),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ce/32/bc/photo0jpg.jpg?w=600&h=500&s=1,3785
Cankarjevo Nabrežje,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ba/0e/0a/uno-spettacolo-imperdibile.jpg?w=600&h=500&s=1,213
Ljubljana Free Tour,,0
Franciscan Church (Frančiškanska cerkev),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/01/e7/89/vista-da-ponte-tripla.jpg?w=600&h=500&s=1,532
Skyscraper (Nebotičnik),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/1e/b5/6c/vue-de-ljubljana-du-cafe.jpg?w=600&h=500&s=1,529
성 니콜라스 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/92/87/8e/interieur.jpg?w=600&h=500&s=1,1072
Ljubljana Old Town,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8a/92/bf/img-20160605-wa0126-largejpg.jpg?w=600&h=500&s=1,7960
Town Hall (Magistrat),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/7c/14/b0/bellissima-illuminazione.jpg?w=600&h=500&s=1,366
용의 다리 (즈마이스키 모스트),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a9/00/d2/dsc-7517-largejpg.jpg?w=600&h=500&s=1,2714
Tivoli Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/81/82/61/tivoli-park.jpg?w=600&h=500&s=1,1512
Shoemaker's Bridge (Cevljarski Most),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/50/2e/d1/shoemaker-s-bridge-cevljarski.jpg?w=600&h=500&s=1,289
Vodnik Square (Vodnikov trg),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0a/7f/19/pittoresco-e-gustoso.jpg?w=600&h=500&s=1,513
Piran Town Walls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/51/9c/al-fondo-la-gran-muralla.jpg?w=600&h=500&s=1,652
Church of St. George (Cerkev sv. Jurija) in Piran,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/83/12/28/pirano.jpg?w=600&h=500&s=1,525
타르티니 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a6/f5/f1/tartini-square-tartinijev.jpg?w=600&h=500&s=1,1319
Port Piran,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/89/05/94/port-piran.jpg?w=600&h=500&s=1,153
First of May Square,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/40/4c/a9/piran-tartini-square.jpg?w=600&h=500&s=1,70
임시수도기념관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/b3/38/88/provisional-capital-memorial.jpg?w=600&h=500&s=1,15
Church of St. Francis of Assisi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e6/36/cf/chiostro.jpg?w=600&h=500&s=1,99
Town Hall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/42/55/cb/rathaus.jpg?w=600&h=500&s=1,45
에이칸도,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/65/f9/24/you-can-also-enjoy-the.jpg?w=600&h=500&s=1,1734
40계단 문화관광테마거리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/94/3e/09/caption.jpg?w=600&h=500&s=1,123
조나 리빈이린엣,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/84/f5/64/zona-ribeirinha.jpg?w=600&h=500&s=1,11025
Douro River,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/fd/47/a4/rio-douro.jpg?w=600&h=500&s=1,7544
Taylor's Port,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/95/4b/60/photo.jpg?w=600&h=500&s=1,2908
Liberdade Square,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/10/28/c9/avenida-dos-aliados.jpg?w=600&h=500&s=1,2045
로즈 밸리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e7/73/4f/rose-valley-goreme-turchia.jpg?w=600&h=500&s=1,1570
Church of Santa Clara,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/6b/93/0c/igreja-de-santa-clara.jpg?w=600&h=500&s=1,600
Livraria Lello,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fa/10/7d/20200910-113406-largejpg.jpg?w=600&h=500&s=1,17777
폰 D. 루이스 I,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/e6/28/a3/caption.jpg?w=600&h=500&s=1,25182
