ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
가든즈 바이 더 베이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d9/0e/f0/gardens-by-the-bay.jpg?w=600&h=500&s=1,60307
유니버셜 스튜디오 싱가포르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/1a/9e/23/img-20181020-113259-largejpg.jpg?w=600&h=500&s=1,20401
마리나 베이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d7/53/1f/caption.jpg?w=600&h=500&s=1,13146
싱가포르 케이블 카,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a4/4d/d1/singapore-cable-car.jpg?w=600&h=500&s=1,4231
차이나 타운,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/73/65/d0/photo9jpg.jpg?w=600&h=500&s=1,14526
싱가포르 식물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7f/e5/ce/beautiful-botanic-gardens.jpg?w=600&h=500&s=1,20006
싱가포르 동물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/d8/92/9b/rhino-feeding.jpg?w=600&h=500&s=1,22529
머라이언 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/4d/a7/97/photo2jpg.jpg?w=600&h=500&s=1,9634
싱가포르 플라이어,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/97/54/a5/r65-memories-at-time.jpg?w=600&h=500&s=1,17403
오차드 로드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/dc/78/87/photo1jpg.jpg?w=600&h=500&s=1,13572
Cloud Forest,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ef/a4/41/cloud-forest.jpg?w=600&h=500&s=1,15149
싱가포르 국립 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/45/9d/0f/national-museum-of-singapore.jpg?w=600&h=500&s=1,2898
Singapore Mass Rapid Transit (SMRT),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/17/d1/43/inside-smrt-train.jpg?w=600&h=500&s=1,24424
싱가포르 국립 도서관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/70/7c/caption.jpg?w=600&h=500&s=1,574
싱가포르 시티 갤러리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4f/48/03/photo8jpg.jpg?w=600&h=500&s=1,524
