ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
런던아이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/12/e3/28/photo-2.jpg?w=600&h=500&s=1,89624
대영 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ef/2d/8e/photo1jpg.jpg?w=900&h=600&s=1,73882
국립 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/69/8d/bb/the-national-gallery.jpg?w=900&h=600&s=1,40611
런던 지하철,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a3/6a/22/london-underground.jpg?w=900&h=600&s=1,45278
빅 벤,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/63/f8/bb/big-ben.jpg?w=900&h=600&s=1,31934
버킹엄 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d6/a1/6b/buckingham-palace.jpg?w=900&h=600&s=1,29763
런던 자연사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/bf/f4/52/photo1jpg.jpg?w=900&h=600&s=1,37908
타워 브리지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/8d/60/eb/tower-bridge.jpg?w=900&h=600&s=1,40013
런던 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/dc/f8/tower-of-london-white.jpg?w=900&h=600&s=1&cx=2515&cy=1577&chk=v1_1e1764bee68456e4ca27,67773
Sky Garden,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ca/96/33/sky.jpg?w=900&h=600&s=1,16975
하이드 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/1e/a7/99/photo1jpg.jpg?w=900&h=600&s=1,22471
The View from The Shard,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bf/d0/7e/ask-our-lovely-guest.jpg?w=900&h=600&s=1,19343
피카딜리 서커스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9e/a5/6f/regent-str.jpg?w=900&h=600&s=1,5950
빅토리아 앨버트 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f9/27/b7/v-a-museum.jpg?w=900&h=600&s=1,32780
Borough Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bc/8e/68/photo0jpg.jpg?w=900&h=600&s=1,13814
에든버러 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ff/32/2a/edinburgh-castle.jpg?w=900&h=600&s=1,52960
로열 마일,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ed/61/6b/adicionar-uma-legenda.jpg?w=900&h=600&s=1,25807
Calton Hill,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/0f/44/c2/view-from-calton-hill.jpg?w=900&h=600&s=1,9501
Scott Monument,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/29/c9/7c/scott-monument.jpg?w=900&h=600&s=1,2784
Edinburgh Old Town,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/72/89/e7/edinburgh-old-town.jpg?w=900&h=600&s=1,16315
프린세스 스트리트 가든,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/a4/5a/93/princes-street-gardens.jpg?w=900&h=600&s=1,7424
Castle Rock,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/8d/a0/61/castle-rock.jpg?w=900&h=600&s=1,296
The Royal Edinburgh Military Tattoo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/64/09/5a/2017-royal-edinburgh.jpg?w=900&h=600&s=1,6807
Grassmarket,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8c/f8/8b/la-piazza-e-propsio-sotto.jpg?w=900&h=600&s=1,1926
홀리루드 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/84/06/ff/summer-in-holyrood.jpg?w=900&h=600&s=1,2717
Edinburgh Waverley Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/84/b5/ef/edinburgh-waverley-station.jpg?w=900&h=600&s=1,270
Palace of Holyroodhouse,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/00/df/a4/palace-of-holyroodhouse.jpg?w=900&h=600&s=1,11985
The Great Hall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b0/f3/9a/the-great-hall-1.jpg?w=900&h=600&s=1,45
St. Margaret's Chapel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/8d/90/aa/st-margaret-s-chapel.jpg?w=900&h=600&s=1,162
The Edinburgh Dungeon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/10/43/78/white-lady-halloween.jpg?w=900&h=600&s=1,6302
Old Trafford,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8f/69/90/stadium-with-75-000-people.jpg?w=900&h=600&s=1,6598
Etihad Stadium,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d5/4a/02/fb-img-1472486295335.jpg?w=900&h=600&s=1,5233
National Football Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e5/64/4f/national-football-museum.jpg?w=900&h=600&s=1,3882
The John Rylands Library,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/09/ac/73/photo0jpg.jpg?w=900&h=600&s=1,5589
J-UK Golf,,0
Manchester Metrolink,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d1/91/1c/manchester-metrolink.jpg?w=900&h=600&s=1,1098
Victoria Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e7/9a/0b/caption.jpg?w=900&h=600&s=1,487
Science and Industry Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/d2/0d/4c/photo-of-the-science.jpg?w=900&h=600&s=1,8226
Arndale Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9f/75/71/arghyakolkata-arndale.jpg?w=900&h=600&s=1,187
Chinatown,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/bd/86/ad/img-20190531-105340-largejpg.jpg?w=900&h=600&s=1,902
Edinburgh Waverley Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/84/b5/ef/edinburgh-waverley-station.jpg?w=900&h=600&s=1,270
세인트 판크라스 역,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6d/ca/32/st-pancras-international.jpg?w=900&h=600&s=1,3442
The River Cam,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/67/a6/48/img-20180831-123113-largejpg.jpg?w=900&h=600&s=1,2457
Fitzwilliam Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ed/03/71/photo1jpg.jpg?w=900&h=600&s=1,3653
The Book of Kells & Old Library,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/a0/78/c7/don-t-miss-the-brian.jpg?w=900&h=600&s=1,23963
하버드 대학교,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/88/cb/6d/harvard-university.jpg?w=900&h=600&s=1,3180
매사추세츠 공과 대학교,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/86/e0/d7/mit-sanju-2.jpg?w=900&h=600&s=1,1062
Galt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/3a/f1/57/all-in-downtown-galt.jpg?w=900&h=600&s=1,148
하버드 광장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/75/d0/a9/harvard-square.jpg?w=900&h=600&s=1,1420
하버드 자연사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/84/b7/80/caption.jpg?w=900&h=600&s=1,1210
Salt Fork State Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/75/b1/cf/salt-fork-state-park.jpg?w=900&h=600&s=1,284
University of Cambridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/4c/29/92/university-of-cambridge.jpg?w=900&h=600&s=1,828
Cambridge Butterfly Conservatory,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/3b/1f/2e/inside-the-conservatory.jpg?w=900&h=600&s=1,561
Hamilton Family Theatre Cambridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/08/4d/67/hamilton-family-theatre.jpg?w=900&h=600&s=1,919
Cambridge to Paris Rail Trail,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d6/78/46/murray-overlook.jpg?w=900&h=600&s=1,132
The Cambridge Gin Laboratory,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1b/d6/82/cambridge-gin-lab.jpg?w=900&h=600&s=1,1143
찰스 리버,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/58/a7/96/charles-river.jpg?w=900&h=600&s=1,802
