ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
게이트웨이 오브 인디아,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/16/f3/a1/fb-img-1474806779807.jpg?w=600&h=500&s=1,12564
차트라바띠 시와지 역,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/1e/1e/5d/caption.jpg?w=600&h=500&s=1,4516
마린 드라이브,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/40/ce/df/marine-drive-seen-as.jpg?w=600&h=500&s=1,8197
Bandra-Worli Sea Link,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/12/d3/17/bandra-worli-sea-link.jpg?w=600&h=500&s=1,9552
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0c/42/80/museum-visit.jpg?w=600&h=500&s=1,981
Powai Lake,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c3/fe/29/photo0jpg.jpg?w=600&h=500&s=1,289
Hanging Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/75/34/e0/hanging-garden.jpg?w=600&h=500&s=1,535
High Street Phoenix,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/fc/81/aa/img-20160714-210049-largejpg.jpg?w=600&h=500&s=1,436
High Court Principal Bench Bombay,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0d/76/de/img-20190404-153428-largejpg.jpg?w=600&h=500&s=1,378
Sanjay Gandhi National Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ca/47/88/sanjay-gandhi-national.jpg?w=600&h=500&s=1,934
Juhu Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ab/77/f9/img-20190525-192344-01.jpg?w=600&h=500&s=1,2322
St. Thomas Cathedral Mumbai,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/4c/98/c0/st-thomas-cathedral-mumbai.jpg?w=600&h=500&s=1,137
WOB India Tours,,0
리틀 인디아,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/39/fb/02/little-india.jpg?w=600&h=500&s=1,4104
시바지 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/65/d7/f4/shivaji.jpg?w=600&h=500&s=1,381
꾸뜹 미나르,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/1f/31/qutab-minar.jpg?w=600&h=500&s=1,13367
인디아 게이트,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/dc/5a/af/india-gate-a-beautiful.jpg?w=600&h=500&s=1,10369
Delhi Airport Metro Express,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/84/ad/e4/delhi-airport-metro-express.jpg?w=600&h=500&s=1,2661
후마윤의 묘,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c9/39/b3/humayun-s-tomb.jpg?w=600&h=500&s=1,10517
Connaught Place,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/40/ba/3c/connaught-place.jpg?w=600&h=500&s=1,3654
Driver India Private Tours,,0
대통령 관저 (라파티 바반),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/23/9a/2f/rashtrapati-bhavan.jpg?w=600&h=500&s=1,1774
Classic Golf Resort,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/32/ad/fd/classic-golf-resort.jpg?w=600&h=500&s=1,12
하우즈 카스 빌리지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6f/c4/64/hauz-khas-village.jpg?w=600&h=500&s=1,1601
North India Private Driver,,0
잔타르 만타르 - 델리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b4/aa/d9/jantar-mantar.jpg?w=600&h=500&s=1,716
타지마할,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9a/30/d6/agra.jpg?w=600&h=500&s=1,32089
붉은 요새 (랄 킬라),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3c/4a/42/fb-img-1502472371491.jpg?w=600&h=500&s=1,5559
Private India Tour Advisor,,0
아그라 요새,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/01/08/32/agra-fort.jpg?w=600&h=500&s=1,12034
타지마할,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9a/30/d6/agra.jpg?w=600&h=500&s=1,32089
Raj Travels India,,0
Discover India By Car,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/ea/f1/6c/dibc-info.jpg?w=600&h=500&s=1,1836
시칸드라 (악바르 황제의 무덤),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/94/13/c3/main-tomb.jpg?w=600&h=500&s=1,329
Private India Tour Advisor,,0
Sheesh Mahal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cb/29/bb/sheesh-mahal.jpg?w=600&h=500&s=1,510
City of love boat tour,,0
Ashok Cosmos Mall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/50/ff/24/mall-front-view.jpg?w=600&h=600&s=1,10
Keeper Landwey,,0
Ranthambore Tour Cab,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/32/d9/c5/group-tour.jpg?w=600&h=500&s=1,662
안 벨성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d3/a8/57/images-30-largejpg.jpg?w=600&h=500&s=1,18509
바람의 궁전 (하와 마할),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0d/e3/4b/img-20180921-184349-largejpg.jpg?w=600&h=500&s=1,9095
자이푸르 시티 팰리스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/96/8a/82/this-is-the-time-when.jpg?w=600&h=500&s=1,6737
Discover India By Car,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/ea/f1/6c/dibc-info.jpg?w=600&h=500&s=1,1836
Sunny Tour Travels,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/9c/a7/58/auto-tour-of-jaipur.jpg?w=600&h=500&s=1,0
Jaigarh Fort,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/06/25/d9/jaigarh-fort.jpg?w=600&h=500&s=1,2301
Unique Jaipur Tour,,0
Easy Peasy Tours,,0
Nahargarh Fort,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a3/3b/8a/screenshot-2017-09-12.jpg?w=600&h=500&s=1,2267
Namaste Jaipur Tours,,0
