ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
워터밤 발리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/53/5e/42/photo0jpg.jpg?w=600&h=500&s=1,16736
발리 컬렉션,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f6/9e/a9/lobby-a-main-enterance.jpg?w=600&h=500&s=1,4688
Kuta Beach - Bali,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ea/ac/8a/kuta.jpg?w=600&h=500&s=1,10504
발리 고급 스파 & 한국 식당 로즈힐,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a1/4d/8f/couple-room-with-shower.jpg?w=600&h=500&s=1,82
UP2U 서프 스쿨 발리,,0
Bali SUN Tours,,0
Bali Swing,,0
몽키 포레스트,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/49/31/ed/photo5jpg.jpg?w=600&h=500&s=1,35343
몰 발리 갤러리아,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e9/2f/f7/img-20190604-165749-largejpg.jpg?w=600&h=500&s=1,480
The Care Day Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ac/18/3e/the-care-day-spa.jpg?w=600&h=500&s=1,726
Nusa Bali Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/dd/d0/8d/tropical-fruit-bath.jpg?w=600&h=500&s=1,1195
Zahra Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ee/16/c5/spa-entrance.jpg?w=600&h=500&s=1,5758
띠르따 엠풀 사원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/5c/55/bath-time.jpg?w=600&h=500&s=1,3488
Bhava Spa Kuta,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/4d/79/dc/bhava-spa-at-amnaya-resort.jpg?w=600&h=500&s=1,1050
Karsa Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/08/ee/86/garden-flower-bath.jpg?w=600&h=500&s=1,2540
Braga Street,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/1a/4f/18/streetcross-with-suniaraja.jpg?w=600&h=500&s=1,1941
