ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
상하이의 와이탄 (와이탄),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e5/2b/20/old-buidling-from-colonial.jpg?w=600&h=500&s=1,19515
동방 명주 타워 (Dongfang Mingzhu),https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/14/e4/a0/64/caption.jpg?w=600&h=500&s=1,6605
신천지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9c/14/2f/grazioso-borgo.jpg?w=600&h=500&s=1,1689
번드 인터내셔널 아키텍처 익스히비션,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/54/fb/f3/20151017-014856-largejpg.jpg?w=600&h=500&s=1,920
Shanghai Urban Planning Exhibition Hall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/aa/05/9d/exhibition-hall.jpg?w=600&h=500&s=1,1395
Shanghai Metro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/05/5a/0b/caption.jpg?w=600&h=500&s=1,4151
상하이 세계 금융 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/70/01/c8/632.jpg?w=600&h=500&s=1,4340
상하이 역사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/ee/4a/13/model-of-a-teahouse.jpg?w=600&h=500&s=1,748
Pudong New Area,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/79/1a/73/photo1jpg.jpg?w=600&h=500&s=1,1189
상하이 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/42/fd/e6/shanghai-museum-shanghai.jpg?w=600&h=500&s=1,4848
중국 고속 철도,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/3a/2f/77/photo5jpg.jpg?w=600&h=500&s=1,2887
난징로드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/aa/07/38/shopping-street.jpg?w=600&h=500&s=1,4673
상하이 서커스 월드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/65/b8/18/shanghai-circus-world.jpg?w=600&h=500&s=1,2031
Former French Concession,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4c/76/c6/photo0jpg.jpg?w=600&h=500&s=1,3964
상해 대한민국 임시정부 유적지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/93/25/76/20171222-142513-largejpg.jpg?w=600&h=500&s=1,104
만리장성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e4/10/e4/it-was-an-amazing-experience.jpg?w=600&h=500&s=1,23915
이화원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d8/a4/19/the-palace-and-walkway.jpg?w=600&h=500&s=1,15033
천안문,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d2/ac/22/gate-of-heavenly-peace.jpg?w=600&h=500&s=1,2370
The Great Wall at Badaling,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c3/9b/c5/the-great-wall-at-badaling.jpg?w=600&h=500&s=1,11051
