ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
Pub Street,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/18/25/a4/96/photo0jpg.jpg?w=600&h=500&s=1,10092
Lucky Mall Siem Reap,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/70/be/3c/fb-img-1446790931521.jpg?w=600&h=500&s=1,480
보디아 스파 시엠립,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/35/47/84/1-st-floor-area.jpg?w=600&h=500&s=1,888
Siem Reap Shuttle Tours,,0
Thai Zen Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/65/af/af/painting.jpg?w=600&h=500&s=1,198
Mudita Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f2/07/bb/entrance2.jpg?w=600&h=500&s=1,1131
ArtBox,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/c3/58/df/photos-within-the-artbox.jpg?w=600&h=500&s=1,346
Psar Chaa - Old Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/bc/22/93/barraca-do-mercado.jpg?w=600&h=500&s=1,895
Heng Transport Service,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/62/b2/89/heng-transport-service.jpg?w=600&h=500&s=1,84
Helicopters Cambodia,,0
Chong Kneas Floating Village,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/95/e9/db/casas-flutuantes.jpg?w=600&h=500&s=1,1187
프놈 바켕,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/28/3f/40/phnom-bakheng-12.jpg?w=600&h=500&s=1,682
반테아이 스레이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/b5/8e/bb/banteay-srei.jpg?w=600&h=500&s=1,7255
Srah Srang,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a4/59/21/srah-srang.jpg?w=600&h=500&s=1,294
Cambodia Private Taxi Driver,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a5/41/8e/tuk-tuk-driver-to-angkor.jpg?w=600&h=500&s=1,8
프놈펜 독립 기념탑,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/00/df/50/photo1jpg.jpg?w=600&h=500&s=1,1812
Angkor Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/0c/07/d8/angkor-spa-phnom-penh.jpg?w=600&h=500&s=1,611
뚜얼 슬렝 대량학살 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/81/d1/1e/barbed-wire.jpg?w=600&h=500&s=1,12861
왓 프놈,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/7a/8f/37/wat-phnomstupa-and-lawn.jpg?w=600&h=500&s=1,2940
