ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
BTS 스카이트레인,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6e/c1/95/bts-map-largejpg.jpg?w=800&h=700&s=1,49468
석가모니 열반상이 있는 사원 (왓 포),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/fa/67/3c/temple-of-the-reclining.jpg?w=800&h=700&s=1,51189
카오산 로드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/70/7d/de/dsc-0561-1-largejpg.jpg?w=800&h=700&s=1,14108
왕궁,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e3/cc/e6/photo2jpg.jpg?w=800&h=700&s=1,35762
Chatuchak Weekend Market,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/56/c6/14/dsc-2066-largejpg.jpg?w=800&h=700&s=1,18065
시암 파라곤,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/d7/7c/c2/apply-tourist-card-to.jpg?w=800&h=700&s=1,10468
에메랄드 사원 (왓 프라깨우),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f7/25/18/caption.jpg?w=800&h=700&s=1,16097
Asiatique The Riverfront,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/38/a4/11/inside-asiatique.jpg?w=800&h=700&s=1,10364
룸피니 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b8/3b/d3/lumpini-park-4.jpg?w=800&h=700&s=1,7681
짐 톰슨 하우스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f3/f2/f8/outside.jpg?w=800&h=700&s=1,14409
Airport Rail Link,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/79/08/7e/filename-15-jpg-thumbnail0.jpg?w=800&h=700&s=1,14360
차오프라야 강,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e4/5c/bf/caption.jpg?w=800&h=700&s=1,8557
새벽 사원 (왓 아룬),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ee/e6/a5/wat-arun-is-an-ancient.jpg?w=800&h=700&s=1,21278
Retreat on VITAYU,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/14/cc/1c/retreat-on-vitayu.jpg?w=800&h=700&s=1,470
방콕 문화 예술 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ce/48/52/photo2jpg.jpg?w=800&h=700&s=1,1161
Banana Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/22/c1/68/photo4jpg.jpg?w=800&h=700&s=1,2203
푸켓 빅 부다,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a4/d0/06/photo0jpg.jpg?w=800&h=700&s=1,16740
오리엔탈 드 푸켓,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/77/e5/ba/orientala-spa-phuket.jpg?w=800&h=700&s=1,319
푸켓 사이먼 쇼,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/22/8c/30/phuket-simon-cabaret.jpg?w=800&h=700&s=1,3212
방라 로드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1b/97/47/bangla-road.jpg?w=800&h=700&s=1,20931
Patong Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/11/63/50/patong.jpg?w=800&h=700&s=1,17031
정실론,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/75/06/ff/more-fun-mall-fun.jpg?w=800&h=700&s=1,7211
왓찰롱,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/13/17/8c/photo3jpg.jpg?w=800&h=700&s=1,3479
카타 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/22/8f/32/photo6jpg.jpg?w=800&h=700&s=1,8263
일요일 산책로 시장(랏야이),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/95/69/58/photo9jpg.jpg?w=800&h=700&s=1,509
Nai Harn Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/48/24/64/img-20190411-110938-largejpg.jpg?w=800&h=700&s=1,4432
Old Phuket Town,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/49/f6/e1/img-20171115-104952-largejpg.jpg?w=800&h=700&s=1,1990
Freedom Beach,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fb/b4/ca/20200221-161652-largejpg.jpg?w=800&h=700&s=1,3753
Night Bazaar,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2d/0c/df/vendors-artists-and-food.jpg?w=800&h=700&s=1,7992
왓 체디 루앙,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f3/be/75/restored-ruin-of-the.jpg?w=800&h=700&s=1,8065
