ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
Aya Sofya Müzesi / Kilisesi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/be/42/hagia-sophia-museum-by.jpg?w=600&h=500&s=1,44867
이스탄불 역사 지구,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1d/71/63/some-of-the-most-visited.jpg?w=600&h=500&s=1,10709
술탄아흐메트 지구,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/81/e6/a0/img-20181123-163637-largejpg.jpg?w=600&h=500&s=1,16787
블루 모스크 (술탄 아흐멧 모스크),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/59/ff/1e/blue-mosque-istanbul.jpg?w=600&h=500&s=1,35127
이스탄불 현대 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d5/86/0a/istanbul-modern.jpg?w=600&h=500&s=1,1780
지하 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3a/2c/dd/istanbul-36h-basilica.jpg?w=600&h=500&s=1,31926
쉴레이마니예 모스크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ac/57/31/suleymaniye.jpg?w=600&h=500&s=1,12646
갈라타 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/db/c5/4d/photo0jpg.jpg?w=600&h=500&s=1,9993
보스포루스 해협,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e7/df/20/bosphorus-yalis.jpg?w=600&h=500&s=1,10440
굴하네 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f1/ba/2a/view-from-the-archeology.jpg?w=600&h=500&s=1,3319
루멜리 성채,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/c7/42/rumeli-fortress-museum.jpg?w=600&h=500&s=1,902
톱카프 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/c7/fd/topkapi-palace-museum.jpg?w=600&h=600&s=1,27970
돌마바흐체 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/82/07/24/palacio-de-dolmabahce.jpg?w=600&h=500&s=1,8125
Sultanahmet Square,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1c/29/d3/caption.jpg?w=600&h=500&s=1,3493
이스티크랄 거리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/dc/ee/df/photo0jpg.jpg?w=600&h=500&s=1,5978
괴레메 야외 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c9/f7/d1/goreme-open-air-museum.jpg?w=600&h=500&s=1,7012
괴레메 국립 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/48/66/31/goreme-national-park.jpg?w=600&h=500&s=1,4192
Fairy Chimneys,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/83/17/0b/fairy-chimneys.jpg?w=600&h=500&s=1,2053
Sunset Point,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/97/c0/11/over-looking-the-town.jpg?w=600&h=500&s=1,515
피존 밸리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/25/2d/ed/love-the-view.jpg?w=600&h=500&s=1,2300
MyTrip Travel & Tourism Agency,,0
Love Valley,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/52/3f/df/20161016-113700-largejpg.jpg?w=600&h=500&s=1,685
Goreme Panorama,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5b/72/ac/goreme-panorama-one-of.jpg?w=600&h=500&s=1,55
로즈 밸리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e7/73/4f/rose-valley-goreme-turchia.jpg?w=600&h=500&s=1,1570
Camel Rock,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d0/33/11/vale-da-imaginacao.jpg?w=600&h=500&s=1,417
Rose Valley,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6a/93/be/rose-valley.jpg?w=600&h=500&s=1,0
Cappadocia Life Travel,,0
Village Dowry Carpets - Cappadocia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5c/ea/ee/village-dowry-carpets.jpg?w=600&h=500&s=1,51
