ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
화이트 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6f/f9/90/20160721-132816-1024x768.jpg?w=800&h=700&s=1,6593
D'Mall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/5f/00/20161001-132507-largejpg.jpg?w=800&h=700&s=1,426
Red Whale Boracay,,0
Crystal Cove Island,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ba/49/3f/some-huts.jpg?w=800&h=700&s=1,1172
루호산,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/76/02/d2/photo0jpg.jpg?w=800&h=700&s=1,523
윌리스 록,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/41/04/bc/willy-s-rock.jpg?w=800&h=700&s=1,1369
불라복 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/75/97/bc/photo0jpg.jpg?w=800&h=700&s=1,991
Fisheye Divers,,0
야팍 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/43/a7/18/received-2389196027962541.jpg?w=800&h=700&s=1,2820
Funfun Boracay,,0
디니위드 비치,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/c5/b4/73/img-20180109-wa0011-largejpg.jpg?w=800&h=700&s=1,946
iSite Boracay,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/b7/65/93/isite-boracay.jpg?w=800&h=700&s=1,39
WaterColors Boracay Diving Adventures,,0
티르타 스파,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/c3/a2/ff/inside-the-tirta-spa.jpg?w=800&h=700&s=1,297
마닐라 베이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/15/76/a3/manila-bay.jpg?w=800&h=700&s=1,1166
마닐라 오션 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4b/85/41/grosses-aquarium.jpg?w=800&h=700&s=1,2237
마닐라 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/8b/81/e2/manila-cathedral.jpg?w=800&h=700&s=1,1143
인트라무로스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/44/da/ac/caption.jpg?w=800&h=700&s=1,3597
산 아구스틴 교회,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/a0/5e/69/1550855253322-largejpg.jpg?w=800&h=700&s=1,1581
SM Mall of Asia,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1a/2d/5b/pasay.jpg?w=800&h=700&s=1,1920
산티아고 요새,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/09/6b/92/spanish-fortress.jpg?w=800&h=700&s=1,2110
리살 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fd/09/2c/large-open-space-park.jpg?w=800&h=700&s=1,2086
Bonifacio Global City,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e9/cf/19/part-of-bgc.jpg?w=800&h=700&s=1,882
Malate District,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/62/15/85/malate-district.jpg?w=800&h=700&s=1,183
Venice Grand Canal Mall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7f/07/df/gondolas.jpg?w=800&h=700&s=1,415
산 아구스틴 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/31/ee/gang.jpg?w=800&h=700&s=1,517
Roxas Boulevard,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/64/26/c8/roxas-boulevard.jpg?w=800&h=700&s=1,207
그린벨트 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b9/94/61/greenbelt-park.jpg?w=800&h=700&s=1,543
아얄라 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1a/67/3f/img-20180529-150647-largejpg.jpg?w=800&h=700&s=1,868
Ayala Center Cebu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/36/cb/10/ayala-center-cebu.jpg?w=800&h=700&s=1,1824
Santo Nino Bazilikası,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/19/ff/8d/20180525-134655-01-largejpg.jpg?w=800&h=700&s=1,2170
Tops Lookout,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/34/2c/af/with-an-easy-platform.jpg?w=800&h=700&s=1,1005
Gold Moon Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/47/9e/93/goldmoon-spa-building.jpg?w=800&h=700&s=1,80
Taoist Temple,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b9/2c/d5/photo0jpg.jpg?w=800&h=700&s=1,1492
Fort San Pedro,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/21/42/04/dsc-2869-largejpg.jpg?w=800&h=700&s=1,1327
Magellan's Cross,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/99/cb/12/magellan-s-cross.jpg?w=800&h=700&s=1,1829
SM City Cebu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/1e/79/64/sm-city-cebu.jpg?w=800&h=700&s=1,717
Marcelo Fernan Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/40/0a/b7/marcelo-fernan-bridge.jpg?w=800&h=700&s=1,347
Oslob Whale Sharks,,0
Lapu Lapu Statue,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e5/0a/a1/20190612-150733-largejpg.jpg?w=800&h=700&s=1,981
Cebu Top,,0
Osmena Peak,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b1/b0/b1/received-358929614869345.jpg?w=900&h=600&s=1,201
Nature Wellness Massage & Spa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e4/18/8c/interior-the-new-spa.jpg?w=800&h=700&s=1,89
카라스파,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/04/6c/b0/caption.jpg?w=800&h=-1&s=1,21
Ayala Triangle Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/6e/af/7f/hamparan-rumput-pohon.jpg?w=800&h=700&s=1,1082
Ayala Center,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/bb/ce/75/ayala-center.jpg?w=800&h=700&s=1,331
그린벨트 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b9/94/61/greenbelt-park.jpg?w=800&h=700&s=1,543
Greenbelt Mall,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8f/42/39/photo1jpg.jpg?w=800&h=700&s=1,1708
