ATTR_NAME,IMG_PATH,TOTAL_REVIEWS
빅토리아 피크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/50/88/photo3jpg.jpg?w=1000&h=800&s=1,36206
스타 페리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/8f/59/20/star-ferry.jpg?w=1000&h=800&s=1,24514
홍콩 디즈니랜드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/85/02/ca/hong-kong-disneyland.jpg?w=1000&h=800&s=1,17383
피크 트램,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/6e/22/24/city-view.jpg?w=1000&h=800&s=1,9080
MTR,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/99/24/e4/mtr-photos.jpg?w=1000&h=800&s=1,23665
침사추이 산책로,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/18/fd/21/beautiful.jpg?w=1000&h=800&s=1,5275
미드 레벨 에스컬레이터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ba/18/c2/the-central-to-mid-levels.jpg?w=1000&h=800&s=1,2655
홍콩 스카이라인,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e1/df/05/photo0jpg.jpg?w=1000&h=800&s=1,14727
Airport Express,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/99/25/1e/mtr-photos.jpg?w=1000&h=800&s=1,14718
몽콕,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/02/68/caption.jpg?w=1000&h=800&s=1,3189
이층 케이블 카,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c1/22/6e/caption.jpg?w=1000&h=800&s=1&cx=498&cy=488&chk=v1_dc8aebc94e688732636d,10777
홍콩 과학 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/57/72/37/10.jpg?w=1000&h=800&s=1,946
홍콩 공원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/56/2e/ca/hong-kong-park.jpg?w=1000&h=800&s=1,3141
