ATTR_NAME,IMG_PATH
도쿄 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/8e/ce/e3/caption.jpg?w=100&h=-1&s=1
오다이바,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a1/47/bb/caption.jpg?w=1000&h=800&s=1
에도-도쿄 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/df/ac/d1/caption.jpg?w=800&h=700&s=1
도쿄역,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/29/16/4d/avatar.jpg?w=100&h=-1&s=1
모리 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/59/ec/16/chic800.jpg?w=100&h=-1&s=1
도쿄 스카이 트리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/32/e3/41/tokyo-skytree-tembo-galleria.jpg?w=800&h=700&s=1
도쿄돔,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/77/a3/06/avatar.jpg?w=100&h=-1&s=1
도쿄 국립 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a1/3c/51/caption.jpg?w=800&h=700&s=1
도쿄 도청,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/63/be/41/tokyo-metropolitan-government.jpg?w=800&h=700&s=1
Tokyo Metropolitan Government Building Observation Decks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a0/20/4d/baron-de-richebourg.jpg?w=100&h=-1&s=1
아사쿠사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/29/16/4d/avatar.jpg?w=100&h=-1&s=1
긴자 환락가,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/75/81/e0/kimnasin.jpg?w=100&h=-1&s=1
도쿄 돔 시티,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/4d/d7/50/mint-g.jpg?w=100&h=-1&s=1
도톤보리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6c/92/dc/dotonbori.jpg?w=800&h=700&s=1
유니버셜 스튜디오 재팬,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/33/49/48/super-nintendo-world.jpg?w=800&h=700&s=1
우메다 스카이 빌딩 - 공중 정원 전망대,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/7b/c8/e8/floating-garden.jpg?w=800&h=700&s=1
오사카 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/19/ad/ef/osaka-castle.jpg?w=800&h=700&s=1
신사이바시,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/84/8a/c6/beautiful-evening-scenes.jpg?w=800&h=700&s=1
쿠로몬 시장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bf/ef/a1/vista-de-uma-loja.jpg?w=800&h=700&s=1
Osaka Kale Parkı,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c3/bc/76/photo0jpg.jpg?w=800&h=700&s=1
HEP FIVE 관람차,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/29/16/4d/avatar.jpg?w=100&h=-1&s=1
오사카 생활 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/ce/3d/3d/soo-in-seoul.jpg?w=100&h=-1&s=1
텐포잔 대관람차,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/91/7d/50/ferris-wheel.jpg?w=800&h=700&s=1
키즈 플라자 오사카,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d2/52/06/caption.jpg?w=800&h=700&s=1
오사카 시립 동양 도자 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1a/0b/f6/photo0jpg.jpg?w=800&h=700&s=1
Akiba Kart Osaka,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0c/2e/af/so-much-fun.jpg?w=1000&h=800&s=1
오사카 텐만구,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/74/70/f7/dreamseeker58.jpg?w=100&h=-1&s=1
오사카 역사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/4f/b5/bf/snoopy419.jpg?w=100&h=-1&s=1
