DATE,CNT_CODE,CURRENCY,EXCHANGE_RATE
20231128,CN,CNH,180.71
20231128,TH,THB,36.83
20231128,HK,HKD,165.79
20231128,SG,SGD,966.12
20231128,MY,MYR,275.93
20231128,ES,EUR,1415.19
20231128,DE,EUR,1415.19
20231128,SI,EUR,1415.19
20231128,AU,AUD,853.26
20231128,AU,AUD,853.26
20231128,GB,GBP,1631.36
20231128,US,USD,1291.65
20231128,CA,CAD,948.66
20231128,NZ,NZD,787.39
20231127,CN,CNH,180.21
20231127,TH,THB,36.5
20231127,HK,HKD,165.42
20231127,SG,SGD,962.28
20231127,MY,MYR,275.18
20231127,ES,EUR,1410.51
20231127,DE,EUR,1410.51
20231127,SI,EUR,1410.51
20231127,AU,AUD,848.66
20231127,AU,AUD,848.66
20231127,GB,GBP,1624.37
20231127,US,USD,1289.07
20231127,CA,CAD,946.04
20231127,NZ,NZD,783.95
20231124,CN,CNH,179.79
20231124,TH,THB,36.44
20231124,HK,HKD,164.87
20231124,SG,SGD,959.02
20231124,MY,MYR,274.78
20231124,ES,EUR,1402.06
20231124,DE,EUR,1402.06
20231124,SI,EUR,1402.06
20231124,AU,AUD,843.17
20231124,AU,AUD,843.17
20231124,GB,GBP,1611.51
20231124,US,USD,1285.71
20231124,CA,CAD,938.71
20231124,NZ,NZD,777.59
20231123,CN,CNH,179.49
20231123,TH,THB,36.41
20231123,HK,HKD,164.52
20231123,SG,SGD,955.88
20231123,MY,MYR,274.21
20231123,ES,EUR,1396.58
20231123,DE,EUR,1396.58
20231123,SI,EUR,1396.58
20231123,AU,AUD,839.23
20231123,AU,AUD,839.23
20231123,GB,GBP,1602.53
20231123,US,USD,1282.74
20231123,CA,CAD,937.19
20231123,NZ,NZD,772.27
20231122,CN,CNH,178.41
20231122,TH,THB,36.24
20231122,HK,HKD,163.52
20231122,SG,SGD,952.85
20231122,MY,MYR,273.98
20231122,ES,EUR,1391.4
20231122,DE,EUR,1391.4
20231122,SI,EUR,1391.4
20231122,AU,AUD,835.96
20231122,AU,AUD,835.96
20231122,GB,GBP,1598.82
20231122,US,USD,1274.82
20231122,CA,CAD,930.6
20231122,NZ,NZD,771.52
20231121,CN,CNH,177.77
20231121,TH,THB,36.36
20231121,HK,HKD,164.19
20231121,SG,SGD,956.54
20231121,MY,MYR,274.12
20231121,ES,EUR,1400.25
20231121,DE,EUR,1400.25
20231121,SI,EUR,1400.25
20231121,AU,AUD,839.78
20231121,AU,AUD,839.78
20231121,GB,GBP,1600.87
20231121,US,USD,1279.47
20231121,CA,CAD,932.43
20231121,NZ,NZD,773.06
20231120,CN,CNH,176.59
20231120,TH,THB,36.51
20231120,HK,HKD,164.37
20231120,SG,SGD,953.74
20231120,MY,MYR,273.81
20231120,ES,EUR,1398.13
20231120,DE,EUR,1398.13
20231120,SI,EUR,1398.13
20231120,AU,AUD,835.31
20231120,AU,AUD,835.31
20231120,GB,GBP,1596.5
20231120,US,USD,1281.45
20231120,CA,CAD,934.14
20231120,NZ,NZD,
20231117,CN,CNH,177.69
20231117,TH,THB,36.65
20231117,HK,HKD,165.44
20231117,SG,SGD,958.42
20231117,MY,MYR,275.32
20231117,ES,EUR,1401.09
20231117,DE,EUR,1401.09
20231117,SI,EUR,1401.09
20231117,AU,AUD,835.25
20231117,AU,AUD,835.25
20231117,GB,GBP,1602.67
20231117,US,USD,1290.86
20231117,CA,CAD,938.53
20231117,NZ,NZD,770.64
20231116,CN,CNH,177.61
20231116,TH,THB,36.26
20231116,HK,HKD,165.11
20231116,SG,SGD,954.65
20231116,MY,MYR,275.86
20231116,ES,EUR,1398.41
20231116,DE,EUR,1398.41
20231116,SI,EUR,1398.41
20231116,AU,AUD,838.93
20231116,AU,AUD,838.93
20231116,GB,GBP,1600.46
20231116,US,USD,1288.98
20231116,CA,CAD,942.1
20231116,NZ,NZD,776.47
20231115,CN,CNH,179.86
20231115,TH,THB,36.96
20231115,HK,HKD,168.08
20231115,SG,SGD,972.6
20231115,MY,MYR,278.03
20231115,ES,EUR,1427.57
20231115,DE,EUR,1427.57
20231115,SI,EUR,1427.57
20231115,AU,AUD,853.54
20231115,AU,AUD,853.54
20231115,GB,GBP,1639.66
20231115,US,USD,1312.04
20231115,CA,CAD,958.08
20231115,NZ,NZD,788.67
